,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12088,1965,,,,,,,,,,,0.368,,,,,,,,,,,,0.539,,,,,,,,,,27.118,,,,,,,31.082,,,,,,,
12089,1966,,,,,,14.449,4.491,,,,0.309,,,,,,,,,,,,0.678,,,,,,,,,,28.096,,,,,,,35.573,,,,,,,
12090,1967,,,,,,6.663,2.37,,,,0.352,,,,,,,,,,,,0.712,,,,,,,,,,30.127,,,,,,,37.943,,,,,,,
12091,1968,,,,,,3.399,1.29,,,,0.287,,,,,,,,,,,,0.66,,,,,,,,,,31.143,,,,,,,39.232,,,,,,,
12092,1969,,,,,,7.3,2.864,,,,0.269,,,,,,,,,,,,0.964,,,,,,,,,,33.41,,,,,,,42.096,,,,,,,
12093,1970,,,,,,4.668,1.965,,,,0.333,,,,,,,,,,,,0.322,,,,,,,,,,34.746,,,,,,,44.061,,,,,,,
12094,1971,,,,,,10.406,4.585,,,,0.312,,,,,,,,,,,,0.348,,,,,,,,,,37.478,,,,,,,48.646,,,,,,,
12095,1972,,,,,,10.889,5.297,,,,0.303,,,,,,,,,,,,0.506,,,,,,,,,,43.637,,,,,,,53.943,,,,,,,
12096,1973,,,,,,3.497,1.886,,,,0.26,,,,,,,,,,,,0.59,,,,,,,,,,44.079,,,,,,,55.83,,,,,,,
12097,1974,,,,,,-7.294,-4.072,,,,0.281,,,,,,,,,,,,1.459,,,,,,,,,,39.151,,,,,,,51.757,,,,,,,
12098,1975,,,,,,10.22,5.29,,,,0.294,,,,,,,,,,,,1.262,,,,,,,,,,44.862,,,,,,,57.047,,,,,,,
12099,1976,,,,,,1.327,0.757,,,,0.262,,,,,,,,,,,,1.549,,,,,,,,,,45.771,,,,,,,57.804,,,,,,,
12100,1977,,,,,,6.373,3.684,,,,0.252,,,,,,,,,,,,1.71,,,,,,,,,,48.297,,,,,,,61.488,,,,,,,
12101,1978,,,,,,13.098,8.054,,,,0.048,,,,,,,,,,,,3.283,,,,,,,,,,54.859,,,,,,,69.542,,,,,,,
12102,1979,,,,,,4.236,2.946,,,,0.07,,,,,,,,,,,,3.451,,,,,,,,,,57.766,,,,,,,72.488,,,,,,,
12103,1980,,,,,,5.722,4.148,,,,0.064,,,,,,,,,,,,3.382,,,,,,,,,,56.297,,,,,,,76.636,,,,,,,
12104,1981,,,,,,-5.984,-4.586,,,,0.053,,,,,,,,,,,,3.429,,,,,,,,,,54.085,,,,,,,72.049,,,,,,,
