,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12143,1965,,,,,,,,,,,0.215,,,,,,,,,,,,0.0,,,,,,,,,,0.302,,,,,,,0.576,,,,,,,
12144,1966,,,,,,57.048,0.328,,,,0.545,,,,,,,,,,,,0.0,,,,,,,,,,0.301,,,,,,,0.904,,,,,,,
12145,1967,,,,,,13.711,0.124,,,,0.616,,,,,,,,,,,,0.0,,,,,,,,,,0.334,,,,,,,1.028,,,,,,,
12146,1968,,,,,,15.105,0.155,,,,0.753,,,,,,,,,,,,0.0,,,,,,,,,,0.334,,,,,,,1.183,,,,,,,
12147,1969,,,,,,11.813,0.14,,,,0.824,,,,,,,,,,,,0.0,,,,,,,,,,0.338,,,,,,,1.323,,,,,,,
12148,1970,,,,,,21.2,0.281,,,,0.989,,,,,,,,,,,,0.0,,,,,,,,,,0.345,,,,,,,1.604,,,,,,,
12149,1971,,,,,,6.463,0.104,,,,1.075,,,,,,,,,,,,0.0,,,,,,,,,,0.363,,,,,,,1.707,,,,,,,
12150,1972,,,,,,3.363,0.057,,,,1.082,,,,,,,,,,,,0.0,,,,,,,,,,0.363,,,,,,,1.765,,,,,,,
12151,1973,,,,,,10.12,0.179,,,,1.147,,,,,,,,,,,,0.0,,,,,,,,,,0.458,,,,,,,1.943,,,,,,,
12152,1974,,,,,,-0.243,-0.005,,,,1.075,,,,,,,,,,,,0.0,,,,,,,,,,0.508,,,,,,,1.939,,,,,,,
