,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12319,1997,,,,,,,,,,,,0.0,0.0,,,,,,,,0.162,589.242,,,,,,,,,,,,,,,,,2872000.0,1.692,,,,,10435919872.0,,
12320,1998,,0.0,,,,55.581,0.941,,,,,0.0,0.0,,,,,,,,0.222,877.344,,,,,,,,,,,,,,,,,3001000.0,2.633,,,,,11881539584.0,,
12321,1999,,0.0,,,,9.023,0.238,,,,,0.0,0.0,,,,,,,,0.221,920.028,,,,,,,,,,,,,,,,,3120000.0,2.87,,,,,13002640384.0,,
12322,2000,,0.0,,,,22.088,0.634,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,1087.01,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,3224000.0,3.505,0.0,,,0.0,11838749696.0,,0.0
12323,2001,,0.0,,,,63.879,2.239,,,,,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.547,1735.101,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9.97,3310000.0,5.743,0.0,0.0,0.0,0.0,10496685056.0,0.0,0.0
12324,2002,,0.0,,,,-13.999,-0.804,,,,,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.536,1461.301,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,41.42,3380000.0,4.939,0.0,0.0,0.0,0.0,9216515072.0,0.0,0.0
12325,2003,,0.0,,,,10.509,0.519,,,,,0.0,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.512,1585.784,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,93.26,3442000.0,5.458,0.0,0.0,0.0,0.0,10664354816.0,0.0,0.0
12326,2004,,0.0,,,,69.0,3.766,,,,,0.0,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.767,2631.797,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,105.849,3505000.0,9.224,0.0,0.0,0.0,0.0,12032027648.0,0.0,0.0
12327,2005,,0.0,,,,26.059,2.404,,,,,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.883,3249.927,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,131.358,3578000.0,11.628,0.0,0.0,0.0,0.0,13171185664.0,0.0,0.0
12328,2006,,0.0,,,,-16.601,-1.93,,,,,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.757,2648.242,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,88.476,3662000.0,9.698,0.0,0.0,0.0,0.0,12815959040.0,0.0,0.0
12329,2007,,0.0,,,,2.997,0.291,,,,,0.0,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.729,2659.351,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,104.366,3756000.0,9.989,0.0,0.0,0.0,0.0,13693920256.0,0.0,0.0
12330,2008,,0.0,,,,-12.165,-1.215,,,,,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.593,2274.682,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,103.708,3857000.0,8.773,0.0,0.0,0.0,0.0,14785008640.0,0.0,0.0
12331,2009,,0.0,,,,2.341,0.205,,,,,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.561,2268.523,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,118.747,3958000.0,8.979,0.0,0.0,0.0,0.0,15997046784.0,0.0,0.0
12332,2010,,0.0,,,,-2.032,-0.182,,,,,0.0,0.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.51,2168.719,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,109.714,4056000.0,8.796,0.0,0.0,0.0,0.0,17253312512.0,0.0,0.0
12333,2011,,0.0,,,,11.218,0.987,,,,,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.503,2357.382,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,128.916,4150000.0,9.783,0.0,0.0,0.0,0.0,19437410304.0,0.0,0.0
12334,2012,,0.0,,,,-2.883,-0.282,,,,,0.0,0.0,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.462,2239.759,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,102.074,4242000.0,9.501,0.0,0.0,0.0,0.0,20587167744.0,0.0,0.0
12335,2013,,0.0,,,,11.241,1.068,,,,,0.0,0.0,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.514,2438.646,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,115.819,4334000.0,10.569,0.0,0.0,0.0,0.0,20543225856.0,0.0,0.0
12336,2014,,0.0,,,,9.481,1.002,,,,,0.0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.621,2612.597,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,71.524,4429000.0,11.571,0.0,0.0,0.0,0.0,18634184704.0,0.0,0.0
