,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12342,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,4.909,27090.891,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1978000.0,53.586,,,,,10915239936.0,,
12343,1981,,0.0,0.0,,0.0,1.391,0.745,,,,,0.0,0.0,,,,,,,,4.621,26816.894,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2026000.0,54.331,,,,,11758117888.0,,
12344,1982,,0.0,0.0,,0.0,-5.584,-3.034,,,,,0.0,0.0,,,,,,,,4.319,24733.517,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2074000.0,51.297,,,,,11876880384.0,,
12345,1983,,0.0,0.0,,0.0,1.032,0.529,,,,,0.0,0.0,,,,,,,,4.082,24423.427,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2122000.0,51.827,,,,,12696180736.0,,
12346,1984,,0.0,0.0,,0.0,2.297,1.19,,,,,0.0,0.0,,,,,,,,4.22,24431.683,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2170000.0,53.017,,,,,12563913728.0,,
12347,1985,,0.0,0.0,,0.0,-9.532,-5.053,,,,,0.0,0.0,,,,,,,,3.852,21614.868,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2219000.0,47.963,,,,,12452992000.0,,
12348,1986,,0.0,0.0,,0.0,3.184,1.527,,,,,0.0,0.0,,,,,,,,3.488,21811.553,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2269000.0,49.49,,,,,14187767808.0,,
12349,1987,,0.0,0.0,,0.0,3.654,1.808,,,,,0.0,0.0,,,,,,,,3.338,22130.569,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2318000.0,51.299,,,,,15367913472.0,,
12350,1988,,0.0,0.0,,0.0,-0.9,-0.462,,,,,0.0,0.0,,,,,,,,3.702,21459.159,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2369000.0,50.837,,,,,13733732352.0,,
12351,1989,,0.0,0.0,,0.0,-2.738,-1.392,,,,,0.0,0.0,,,,,,,,3.568,20440.209,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2419000.0,49.445,,,,,13859035136.0,,
12352,1990,,0.0,0.0,,0.0,5.7,2.818,,,,,0.0,0.0,,,,,,,,3.481,21150.538,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2471000.0,52.263,,,,,15013682176.0,,
12353,1991,,0.0,0.0,,0.0,-1.148,-0.6,,,,,0.0,0.0,,,,,,,,3.056,20476.88,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2523000.0,51.663,,,,,16903924736.0,,
12354,1992,,0.0,0.0,,0.0,1.909,0.986,,,,,0.0,0.0,,,,,,,,2.947,20438.388,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2576000.0,52.649,,,,,17863553024.0,,
12355,1993,,0.0,0.0,,0.0,0.427,0.225,,,,,0.0,0.0,,,,,,,,2.849,20104.262,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2630000.0,52.874,,,,,18557855744.0,,
12356,1994,,0.0,0.0,,0.0,11.572,6.119,,,,,0.0,0.0,,,,,,,,3.073,21979.418,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2684000.0,58.993,,,,,19195195392.0,,
12357,1995,,0.0,0.0,,0.0,5.137,3.03,,,,,0.0,0.0,,,,,,,,3.246,22636.199,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2740000.0,62.023,,,,,19107033088.0,,
12358,1996,,0.0,0.0,,0.0,-10.14,-6.289,,,,,0.0,0.0,,,,,,,,2.747,19933.562,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2796000.0,55.734,,,,,20287979520.0,,
12359,1997,,0.0,0.0,,0.0,3.324,1.852,,,,,0.0,0.0,,,,,,,,2.569,20177.548,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2854000.0,57.587,,,,,22412992512.0,,
12360,1998,,0.0,0.0,,0.0,5.337,3.073,,,,,0.0,0.0,,,,,,,,2.488,20831.042,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2912000.0,60.66,,,,,24378652672.0,,
12361,1999,,0.0,0.0,,0.0,-30.604,-18.564,,,,,0.0,0.0,,,,,,,,1.666,14168.815,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2971000.0,42.096,,,,,25273151488.0,,
12362,2000,,0.0,0.0,,0.0,57.93,24.386,,,,,0.0,0.0,4.766,3.384,0.0,0.024,3.408,0.0,0.0,2.503,21941.093,,0.0,0.0,71.003,1116.832,71.507,3.408,1124.752,0.0,0.0,,0.0,0.0,7.921,0.504,1572.937,3030000.0,66.482,1124.752,71.507,0.0,0.0,26563999744.0,0.0,0.0
12363,2001,,0.0,0.0,,0.0,2.076,1.38,,,,,0.0,0.0,4.943,2.474,0.0,0.023,2.497,0.0,0.0,2.517,21961.62,,0.0,0.0,50.051,800.647,50.516,2.497,808.091,0.0,0.0,,0.0,0.0,7.443,0.465,1599.676,3090000.0,67.861,808.091,50.516,0.0,0.0,26963568640.0,0.0,0.0
12364,2002,,0.0,0.0,,0.0,-1.29,-0.876,,,,,0.0,0.0,5.147,3.367,0.0,0.018,3.385,0.0,0.0,2.348,21272.069,,0.0,0.0,65.417,1069.228,65.766,3.385,1074.944,0.0,0.0,,0.0,0.0,5.716,0.35,1634.487,3149000.0,66.986,1074.944,65.766,0.0,0.0,28525496320.0,0.0,0.0
12365,2003,,0.0,0.0,,0.0,1.262,0.846,,,,,0.0,0.0,5.384,2.795,0.0,0.021,2.816,0.0,0.0,2.104,21137.849,,0.0,0.0,51.913,870.988,52.303,2.816,877.532,0.0,0.0,,0.0,0.0,6.544,0.39,1677.781,3209000.0,67.831,877.532,52.303,0.0,0.0,32244131840.0,0.0,0.0
12366,2004,,0.0,0.0,,0.0,1.811,1.228,,,,,0.0,0.0,5.606,3.741,0.0,0.024,3.765,0.0,0.0,2.099,21125.587,,0.0,0.0,66.732,1144.387,67.16,3.765,1151.728,0.0,0.0,,0.0,0.0,7.342,0.428,1714.898,3269000.0,69.06,1151.728,67.16,0.0,0.0,32902400000.0,0.0,0.0
12367,2005,,0.0,0.0,,0.0,-0.145,-0.1,,,,,0.0,0.0,5.665,3.687,0.0,0.023,3.71,0.0,0.0,1.708,20708.517,,0.0,0.0,65.084,1107.207,65.49,3.71,1114.114,0.0,0.0,,0.0,0.0,6.907,0.406,1701.201,3330000.0,68.959,1114.114,65.49,0.0,0.0,40384000000.0,0.0,0.0
12368,2006,,0.0,0.0,,0.0,8.777,6.052,,,,,0.0,0.0,5.862,3.544,0.0,0.072,3.616,0.0,0.0,1.689,22114.34,,0.0,0.0,60.457,1044.811,61.685,3.616,1066.038,0.0,0.0,,0.0,0.0,21.226,1.228,1728.184,3392000.0,75.012,1066.038,61.685,0.0,0.0,44422336512.0,0.0,0.0
12369,2007,,0.0,0.0,,0.0,-5.461,-4.096,,,,,0.0,0.0,6.328,3.629,0.0,0.076,3.705,0.0,0.0,1.658,20531.496,,0.0,0.0,57.352,1050.666,58.553,3.705,1072.669,0.0,0.0,,0.0,0.0,22.003,1.201,1831.963,3454000.0,70.916,1072.669,58.553,0.0,0.0,42761248768.0,0.0,0.0
12370,2008,,0.0,0.0,,0.0,16.931,12.007,,,,,0.0,0.0,6.241,3.933,0.0,0.016,3.949,0.0,0.0,1.804,23584.288,,0.0,0.0,63.022,1118.601,63.278,3.949,1123.151,0.0,0.0,,0.0,0.0,4.551,0.256,1774.949,3516000.0,82.922,1123.151,63.278,0.0,0.0,45965971456.0,0.0,0.0
