,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12382,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,2385.336,,,,,,,,,,,,,,,,,3571000.0,8.518,,,,,,,
12383,1981,,,,,,-0.168,-0.014,0.0,0.0,0.0,,,,,,,,,,,,2318.361,,,,,,,,,,,,,,,,,3668000.0,8.504,,,,,,,
12384,1982,,,,,,-0.202,-0.017,0.0,0.0,0.0,,,,,,,,,,,,2252.284,,,,,,,,,,,,,,,,,3768000.0,8.487,,,,,,,
12385,1983,,,,,,2.693,0.229,0.0,0.0,0.0,,,,,,,,,,,,2251.402,,,,,,,,,,,,,,,,,3871000.0,8.715,,,,,,,
12386,1984,,,,,,10.917,0.951,0.0,0.0,0.0,,,,,,,,,,,,2431.237,,,,,,,,,,,,,,,,,3976000.0,9.667,,,,,,,
12387,1985,,,,,,6.445,0.623,0.0,0.0,0.0,,,,,,,,,,,,2521.344,,,,,,,,,,,,,,,,,4081000.0,10.29,,,,,,,
12388,1986,,,,,,0.588,0.06,0.0,0.0,0.0,,,,,,,,,,,,2472.545,,,,,,,,,,,,,,,,,4186000.0,10.35,,,,,,,
12389,1987,,,,,,9.801,1.014,0.0,0.0,0.0,,,,,,,,,,,,2647.225,,,,,,,,,,,,,,,,,4293000.0,11.365,,,,,,,
12390,1988,,,,,,-5.761,-0.655,0.0,0.0,0.0,,,,,,,,,,,,2434.609,,,,,,,,,,,,,,,,,4399000.0,10.71,,,,,,,
12391,1989,,,,,,2.418,0.259,0.0,0.0,0.0,,,,,,,,,,,,2433.717,,,,,,,,,,,,,,,,,4507000.0,10.969,,,,,,,
12392,1990,,,,,,1.312,0.144,0.0,0.0,0.0,,,,,,,,,,,,2407.436,,,,,,,,,,,,,,,,,4616000.0,11.113,,,,,,,
12393,1991,,,,,,-1.122,-0.125,0.0,0.0,0.0,,,,,,,,,,,,2325.01,,,,,,,,,,,,,,,,,4726000.0,10.988,,,,,,,
12394,1992,,,,,,5.551,0.61,0.0,0.0,0.0,,,,,,,,,,,,2398.262,,,,,,,,,,,,,,,,,4836000.0,11.598,,,,,,,
12395,1993,,,,,,1.656,0.192,0.0,0.0,0.0,,,,,,,,,,,,2382.31,,,,,,,,,,,,,,,,,4949000.0,11.79,,,,,,,
12396,1994,,,,,,-4.242,-0.5,0.0,0.0,0.0,,,,,,,,,,,,2228.56,,,,,,,,,,,,,,,,,5066000.0,11.29,,,,,,,
12397,1995,,,,,,15.544,1.755,0.0,0.0,0.0,,,,,,,,,,,,2514.902,,,,,,,,,,,,,,,,,5187000.0,13.045,,,,,,,
12398,1996,,,,,,4.261,0.556,0.0,0.0,0.0,,,,,,,,,,,,2559.399,,,,,,,,,,,,,,,,,5314000.0,13.601,,,,,,,
12399,1997,,,,,,-4.794,-0.652,0.0,0.0,0.0,,,,,,,,,,,,2377.195,,,,,,,,,,,,,,,,,5447000.0,12.949,,,,,,,
12400,1998,,,,,,0.587,0.076,0.0,0.0,0.0,,,,,,,,,,,,2333.312,,,,,,,,,,,,,,,,,5582000.0,13.025,,,,,,,
12401,1999,,,,,,1.061,0.138,0.0,0.0,0.0,,,,,,,,,,,,2302.791,,,,,,,,,,,,,,,,,5716000.0,13.163,,,,,,,
12402,2000,,,,,,13.831,1.821,0.0,0.0,0.0,,,,2.115,0.921,0.0,0.013,0.934,0.0,0.0,,2562.117,,,,43.546,157.49,44.161,0.934,159.713,0.0,0.0,,,,2.223,0.615,361.662,5848000.0,14.983,159.713,44.161,0.0,0.0,,0.0,0.0
12403,2001,,,,,,14.283,2.14,0.0,0.0,0.0,,,,2.585,0.921,0.0,0.013,0.934,0.0,0.0,,2865.825,,,,35.629,154.142,36.132,0.934,156.318,0.0,0.0,,,,2.176,0.503,432.636,5975000.0,17.123,156.318,36.132,0.0,0.0,,0.0,0.0
12404,2002,,,,,,4.975,0.852,0.0,0.0,0.0,,,,2.77,0.921,0.0,0.012,0.933,0.0,0.0,,2947.239,,,,33.249,151.008,33.682,0.933,152.976,0.0,0.0,,,,1.968,0.433,454.173,6099000.0,17.975,152.976,33.682,0.0,0.0,,0.0,0.0
12405,2003,,,,,,13.677,2.458,0.0,0.0,0.0,,,,3.097,0.92,0.0,0.063,0.983,0.0,0.0,,3283.569,,,,29.706,147.839,31.74,0.983,157.962,0.0,0.0,,,,10.124,2.034,497.67,6223000.0,20.434,157.962,31.74,0.0,0.0,,0.0,0.0
12406,2004,,,,,,12.066,2.466,0.0,0.0,0.0,,,,3.174,0.886,0.0,0.059,0.945,0.0,0.0,,3603.907,,,,27.914,139.44,29.773,0.945,148.725,0.0,0.0,,,,9.285,1.859,499.528,6354000.0,22.899,148.725,29.773,0.0,0.0,,0.0,0.0
12407,2005,,,,,,-3.446,-0.789,0.0,0.0,0.0,,,,3.332,0.882,0.0,0.309,1.192,0.0,0.0,,3404.189,,,,26.467,135.797,35.754,1.192,183.449,0.0,0.0,,,,47.575,9.272,513.087,6495000.0,22.11,183.449,35.754,0.015,0.077,,0.0,0.0
12408,2006,,,,,,2.621,0.579,0.0,0.0,0.0,,,,3.254,0.854,0.0,0.311,1.166,0.0,0.0,,3413.518,,,,26.241,128.479,35.812,1.166,175.342,0.0,0.0,,,,46.788,9.556,489.619,6647000.0,22.69,175.342,35.812,0.015,0.075,,0.0,0.0
12409,2007,,,,,,7.825,1.775,0.0,0.0,0.0,,,,3.34,0.854,0.0,0.412,1.266,0.0,0.0,,3593.053,,,,25.573,125.422,37.925,1.266,186.004,0.0,0.0,,,,60.508,12.337,490.454,6809000.0,24.465,186.004,37.925,0.015,0.073,,0.0,0.0
12410,2008,,,,,,-0.171,-0.042,0.0,0.0,0.0,,,,3.274,0.846,0.0,0.412,1.258,0.0,0.0,,3501.026,,,,25.844,121.273,38.445,1.258,180.404,0.0,0.0,,,,59.06,12.586,469.252,6976000.0,24.423,180.404,38.445,0.015,0.072,,0.0,0.0
12411,2009,,,,,,3.219,0.786,0.0,0.0,0.0,,,,3.346,0.845,0.0,0.414,1.26,0.0,0.0,,3528.244,,,,25.258,118.265,37.648,1.26,176.277,0.0,0.0,,,,57.943,12.375,468.23,7145000.0,25.209,176.277,37.648,0.015,0.07,,0.0,0.0
12412,2010,,,,,,-3.67,-0.925,0.0,0.0,0.0,,,,3.388,0.85,0.0,0.42,1.27,0.0,0.0,,3321.571,,,,25.092,116.263,37.506,1.27,173.779,0.0,0.0,,,,57.448,12.399,463.343,7311000.0,24.284,173.779,37.506,0.015,0.068,,0.0,0.0
12413,2011,,,,,,9.648,2.343,0.0,0.0,0.0,,,,3.524,0.96,0.0,0.424,1.384,0.0,0.0,,3563.57,,,,27.246,128.48,39.293,1.384,185.292,0.0,0.0,,,,56.745,12.033,471.56,7472000.0,26.627,185.292,39.293,0.014,0.067,,0.0,0.0
12414,2012,,,,,,-8.219,-2.188,0.0,0.0,0.0,,,,3.222,0.973,0.0,0.028,1.001,0.0,0.0,,3202.544,,,,30.203,127.506,31.088,1.001,131.241,0.0,0.0,,,,3.669,0.869,422.16,7631000.0,24.439,131.241,31.088,0.016,0.066,,0.0,0.0
12415,2013,,,,,,7.162,1.75,0.0,0.0,0.0,,,,3.409,0.985,0.0,0.034,1.019,0.0,0.0,,3362.725,,,,28.89,126.477,29.902,1.019,130.905,0.0,0.0,,,,4.366,0.997,437.788,7788000.0,26.189,130.905,29.902,0.014,0.063,,0.0,0.0
12416,2014,,,,,,2.473,0.648,0.0,0.0,0.0,,,,3.615,1.01,0.0,0.035,1.045,0.0,0.0,,3376.944,,,,27.935,127.092,28.917,1.045,131.558,0.0,0.0,,,,4.404,0.968,454.951,7947000.0,26.837,131.558,28.917,0.014,0.062,,0.0,0.0
12417,2015,,,,,,0.004,0.001,0.0,0.0,0.0,,,,3.757,1.002,0.0,0.037,1.04,0.001,0.0,,3310.035,,,,26.668,123.582,27.687,1.04,128.302,0.0,0.0,,,,4.563,0.985,463.403,8108000.0,26.838,128.302,27.687,0.034,0.157,,0.0,0.0
12418,2016,,,,,,0.202,0.054,0.0,0.0,0.0,,,,3.874,0.995,0.0,0.038,1.035,0.002,0.0,,3250.965,,,,25.685,120.285,26.712,1.035,125.095,0.0,0.0,,,,4.594,0.981,468.301,8272000.0,26.892,125.095,26.712,0.046,0.215,,0.0,0.0
12419,2017,,,,,,,,0.0,0.0,0.0,,,,3.864,0.79,0.0,0.039,0.831,0.002,0.0,,,,,,20.447,93.624,21.501,0.831,98.451,0.0,0.0,,,,4.622,1.009,457.897,8438000.0,,98.451,21.501,0.045,0.205,,0.0,0.0
12420,2018,,,,,,,,0.0,0.0,0.0,,,,4.062,0.78,0.0,0.04,0.822,0.001,0.0,,,,,,19.204,90.634,20.23,0.822,95.479,0.0,0.0,,,,4.683,0.992,471.961,8606000.0,,95.479,20.23,0.034,0.161,,0.0,0.0
12421,2019,,,,,,,,0.0,0.0,0.0,,,,4.257,0.8,0.0,0.041,0.843,0.001,0.0,,,,,,18.792,91.158,19.797,0.843,96.034,0.0,0.0,,,,4.718,0.973,485.088,8776000.0,,96.034,19.797,0.033,0.158,,0.0,0.0
