,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12422,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.709,2486.292,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3182000.0,7.911,,,,,11155923968.0,,
12423,1981,,0.0,0.0,,0.0,-1.946,-0.154,,,,,0.0,0.0,,,,,,,,0.636,2370.134,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3273000.0,7.757,,,,,12204254208.0,,
12424,1982,,0.0,0.0,,0.0,-5.794,-0.449,,,,,0.0,0.0,,,,,,,,0.593,2169.187,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3369000.0,7.308,,,,,12317219840.0,,
12425,1983,,0.0,0.0,,0.0,8.544,0.624,,,,,0.0,0.0,,,,,,,,0.652,2286.64,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3469000.0,7.932,,,,,12166439936.0,,
12426,1984,,0.0,0.0,,0.0,11.846,0.94,,,,,0.0,0.0,,,,,,,,0.71,2484.454,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3571000.0,8.872,,,,,12496208896.0,,
12427,1985,,0.0,0.0,,0.0,101.458,9.001,,,,,0.0,0.0,,,,,,,,1.385,4862.16,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3676000.0,17.873,,,,,12908049408.0,,
12428,1986,,0.0,0.0,,0.0,127.155,22.727,,,,,0.0,0.0,,,,,,,,3.16,10732.239,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3783000.0,40.6,,,,,12846900224.0,,
12429,1987,,0.0,0.0,,0.0,50.806,20.627,,,,,0.0,0.0,,,,,,,,4.53,15731.574,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3892000.0,61.227,,,,,13517349888.0,,
12430,1988,,0.0,0.0,,0.0,5.76,3.527,,,,,0.0,0.0,,,,,,,,4.489,16180.471,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4002000.0,64.754,,,,,14425320448.0,,
12431,1989,,0.0,0.0,,0.0,22.578,14.62,,,,,0.0,0.0,,,,,,,,5.324,19303.163,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4112000.0,79.375,,,,,14907892736.0,,
12432,1990,,0.0,0.0,,0.0,10.164,8.068,,,,,0.0,0.0,,,,,,,,5.253,20706.17,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4223000.0,87.442,,,,,16644599808.0,,
12433,1991,,0.0,0.0,,0.0,6.166,5.392,,,,,0.0,0.0,,,,,,,,5.366,21419.992,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4334000.0,92.834,,,,,17300965376.0,,
