,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12462,1900,,,,,,,,,,,,0.391,106.177,,,,,,,,,,,0.0,0.0,,,,,,,,,0.442,120.081,,,,3680342.0,,,,,,2203392000.0,,
12463,1901,-6.25,-0.024,0.0,2.632,0.012,,,,,,,0.366,98.34,,,,,,,,,,,0.0,0.0,,,,,,,,,0.454,121.754,,,,3725308.0,,,,,,2364160000.0,,
12464,1902,-100.0,-0.366,0.0,-17.949,-0.081,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.372,98.666,,,,3771939.0,,,,,,2513952000.0,,
12465,1903,,0.301,0.0,15.625,0.058,,,,,,,0.301,78.848,,,,,,,,,,,0.0,0.0,,,,,,,,,0.43,112.641,,,,3820202.0,,,,,,2685691904.0,,
12466,1904,62.162,0.187,0.0,5.405,0.023,,,,,,,0.488,126.249,,,,,,,,,,,0.0,0.0,,,,,,,,,0.454,117.231,,,,3869039.0,,,,,,2773427968.0,,
12467,1905,25.0,0.122,0.0,28.205,0.128,,,,,,,0.611,155.816,,,,,,,,,,,0.0,0.0,,,,,,,,,0.582,148.396,,,,3918562.0,,,,,,2979794944.0,,
12468,1906,6.667,0.041,0.0,42.0,0.244,,,,,,,0.651,164.101,,,,,,,,,,,0.0,0.0,,,,,,,,,0.826,208.057,,,,3968772.0,,,,,,3218011904.0,,
12469,1907,132.5,0.863,0.0,40.845,0.337,,,,,,,1.514,376.845,,,,,,,,,,,0.0,0.0,,,,,,,,,1.163,289.436,,,,4018167.0,,,,,,3418272000.0,,
12470,1908,67.204,1.018,0.0,26.0,0.302,,,,,,,2.532,622.139,,,,,,,,,,,0.0,0.0,,,,,,,,,1.465,360.08,,,,4069594.0,,,,,,3481341952.0,,
12471,1909,13.183,0.334,0.0,49.206,0.721,,,,,,,2.866,695.265,,,,,,,,,,,0.0,0.0,,,,,,,,,2.186,530.478,,,,4121642.0,,,,,,3541694976.0,,
12472,1910,-12.784,-0.366,0.0,-10.638,-0.233,,,,,,,2.499,598.731,,,,,,,,,,,0.0,0.0,,,,,,,,,1.954,468.063,,,,4174309.0,,,,,,3603326976.0,,
12473,1911,11.401,0.285,0.0,16.071,0.314,,,,,,,2.784,658.625,,,,,,,,,,,0.0,0.0,,,,,,,,,2.268,536.474,,,,4227329.0,,,,,,3677942016.0,,
12474,1912,-18.421,-0.513,0.0,20.0,0.454,,,,,,,2.271,530.55,,,,,,,,,,,0.0,0.0,,,,,,,,,2.721,635.682,,,,4281104.0,,,,,,3809316096.0,,
12475,1913,-1.792,-0.041,0.0,17.949,0.488,,,,,,,2.231,514.457,,,,,,,,,,,0.0,0.0,,,,,,,,,3.21,740.303,,,,4335904.0,,,,,,3934220032.0,,
12476,1914,3.65,0.081,0.0,-6.884,-0.221,,,,,,,2.312,526.495,,,,,,,,,,,0.0,0.0,,,,,,,,,2.989,680.63,,,,4391393.0,,,,,,3910650112.0,,
