,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12704,1900,,,,,,,,,,,,190.975,7731.471,,,,,,,,,,,0.0,0.0,,,,,,,,,4.036,163.379,,,,24700968.0,,,,,,53806501888.0,,
12705,1901,5.481,10.466,0.0,16.715,0.675,,,,,,,201.441,8093.379,,,,,,,,,,,0.0,0.0,,,,,,,,,4.71,189.242,,,,24889642.0,,,,,,,,
12706,1902,-2.684,-5.407,0.0,28.642,1.349,,,,,,,196.035,7816.635,,,,,,,,,,,0.0,0.0,,,,,,,,,6.059,241.604,,,,25079180.0,,,,,,,,
12707,1903,3.961,7.765,0.0,29.175,1.768,,,,,,,203.799,8065.731,,,,,,,,,,,0.0,0.0,,,,,,,,,7.827,309.768,,,,25267314.0,,,,,,,,
12708,1904,0.648,1.32,0.0,22.437,1.756,,,,,,,205.12,8058.062,,,,,,,,,,,0.0,0.0,,,,,,,,,9.583,376.47,,,,25455210.0,,,,,,,,
12709,1905,8.37,17.168,0.0,-3.641,-0.349,,,,,,,222.288,8668.606,,,,,,,,,,,0.0,0.0,,,,,,,,,9.234,360.109,,,,25642856.0,,,,,,,,
12710,1906,5.498,12.222,0.0,-7.179,-0.663,,,,,,,234.509,9078.29,,,,,,,,,,,0.0,0.0,,,,,,,,,8.571,331.812,,,,25831884.0,,,,,,,,
12711,1907,9.565,22.43,0.0,52.782,4.524,,,,,,,256.939,9875.059,,,,,,,,,,,0.0,0.0,,,,,,,,,13.095,503.301,,,,26019004.0,,,,,,,,
12712,1908,4.559,11.714,0.0,52.575,6.885,,,,,,,268.653,10249.722,,,,,,,,,,,0.0,0.0,,,,,,,,,19.98,762.295,,,,26210804.0,,,,,,,,
12713,1909,1.802,4.841,0.0,21.42,4.28,,,,,,,273.494,10371.799,,,,,,,,,,,0.0,0.0,,,,,,,,,24.26,920.026,,,,26369036.0,,,,,,,,
12714,1910,-0.008,-0.022,0.0,-15.34,-3.722,,,,,,,273.472,10322.272,,,,,,,,,,,0.0,0.0,,,,,,,,,20.539,775.234,,,,26493428.0,,,,,,57790836736.0,,
12715,1911,6.73,18.405,0.0,-17.441,-3.582,,,,,,,291.878,10965.273,,,,,,,,,,,0.0,0.0,,,,,,,,,16.957,637.024,,,,26618380.0,,,,,,,,
