,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12825,1900,,,,,,,,,,,,0.244,45.007,,,,,,,,,,,,,,,,,,,,,,,,,,5426479.0,,,,,,9343515648.0,,
12826,1901,-46.667,-0.114,,,,,,,,,,0.13,23.814,,,,,,,,,,,,,,,,,,,,,,,,,,5469627.0,,,,,,9183641600.0,,
12827,1902,6.25,0.008,,,,,,,,,,0.138,25.111,,,,,,,,,,,,,,,,,,,,,,,,,,5511412.0,,,,,,9235414016.0,,
12828,1903,-52.941,-0.073,,,,,,,,,,0.065,11.72,,,,,,,,,,,,,,,,,,,,,,,,,,5557089.0,,,,,,9369831424.0,,
12829,1904,62.5,0.041,,,,,,,,,,0.106,18.886,,,,,,,,,,,,,,,,,,,,,,,,,,5603883.0,,,,,,9490121728.0,,
12830,1905,7.692,0.008,,,,,,,,,,0.114,20.165,,,,,,,,,,,,,,,,,,,,,,,,,,5652017.0,,,,,,9227768832.0,,
12831,1906,-28.571,-0.033,,,,,,,,,,0.081,14.28,,,,,,,,,,,,,,,,,,,,,,,,,,5700936.0,,,,,,9290924032.0,,
12832,1907,-10.0,-0.008,,,,,,,,,,0.073,12.744,,,,,,,,,,,,,,,,,,,,,,,,,,5749390.0,,,,,,9514364928.0,,
12833,1908,-44.444,-0.033,,,,,,,,,,0.041,7.019,,,,,,,,,,,,,,,,,,,,,,,,,,5799164.0,,,,,,9364295680.0,,
12834,1909,20.0,0.008,,,,,,,,,,0.049,8.351,,,,,,,,,,,,,,,,,,,,,,,,,,5849342.0,,,,,,9357735936.0,,
12835,1910,33.333,0.016,,,,,,,,,,0.065,11.047,,,,,,,,,,,,,,,,,,,,,,,,,,5895515.0,,,,,,9596804096.0,,
12836,1911,37.5,0.024,,,,,,,,,,0.09,15.067,,,,,,,,,,,,,,,,,,,,,,,,,,5943362.0,,,,,,9786815488.0,,
12837,1912,36.363,0.033,,,,,,,,,,0.122,20.444,,,,,,,,,,,,,,,,,,,,,,,,,,5973032.0,,,,,,9953915904.0,,
12838,1913,66.667,0.081,,,,,,,,,,0.204,33.987,,,,,,,,,,,,,,,,,,,,,,,,,,5988332.0,,,,,,9913520128.0,,
12839,1914,16.0,0.033,,,,,,,,,,0.236,39.37,,,,,,,,,,,,,,,,,,,,,,,,,,5996613.0,,,,,,9986599936.0,,
12840,1915,106.897,0.252,,,,,,,,,,0.488,81.344,,,,,,,,,,,,,,,,,,,,,,,,,,6004895.0,,,,,,9760440320.0,,
12841,1916,138.333,0.676,,,,,,,,,,1.164,193.591,,,,,,,,,,,,,,,,,,,,,,,,,,6013512.0,,,,,,9821448192.0,,
12842,1917,32.168,0.374,,,,,,,,,,1.539,255.499,,,,,,,,,,,,,,,,,,,,,,,,,,6022130.0,,,,,,9668049920.0,,
12843,1918,-2.116,-0.033,,,,,,,,,,1.506,249.749,,,,,,,,,,,,,,,,,,,,,,,,,,6030401.0,,,,,,9181850624.0,,
12844,1919,-29.73,-0.448,,,,,,,,,,1.058,175.266,,,,,,,,,,,,,,,,,,,,,,,,,,6038424.0,,,,,,9380717568.0,,
12845,1920,21.154,0.224,,,,,,,,,,1.282,211.662,,,,,,,,,,,,,,,,,,,,,,,,,,6057813.0,,,,,,9839328256.0,,
12846,1921,-9.206,-0.118,,,,,,,,,,1.164,190.859,,,,,,,,,,,,,,,,,,,,,,,,,,6099601.0,,,,,,10399623168.0,,
12847,1922,-4.895,-0.057,,,,,,,,,,1.107,179.607,,,,,,,,,,,,,,,,,,,,,,,,,,6164454.0,,,,,,11671254016.0,,
12848,1923,7.353,0.081,,,,,,,,,,1.189,190.448,,,,,,,,,,,,,,,,,,,,,,,,,,6241009.0,,,,,,12178410496.0,,
12849,1924,-11.644,-0.138,,,,,,,,,,1.05,166.207,,,,,,,,,,,,,,,,,,,,,,,,,,6318566.0,,,,,,11724300288.0,,
12850,1925,-9.69,-0.102,,,,,,,,,,0.948,148.266,,,,,,,,,,,,,,,,,,,,,,,,,,6396791.0,,,,,,12245760000.0,,
12851,1926,86.695,0.822,,,,,,,,,,1.771,273.405,,,,,,,,,,,,,,,,,,,,,,,,,,6476354.0,,,,,,12164987904.0,,
12852,1927,-11.724,-0.208,,,,,,,,,,1.563,238.385,,,,,,,,,,,,,,,,,,,,,,,,,,6556920.0,,,,,,14305143808.0,,
12853,1928,11.458,0.179,,,,,,,,,,1.742,262.436,,,,,,,,,,,,,,,,,,,,,,,,,,6638489.0,,,,,,12926907392.0,,
12854,1929,-1.168,-0.02,,,,,,,,,,1.722,256.196,,,,,,,,,,,,,,,,,,,,,,,,,,6720726.0,,,,,,14326737920.0,,
12855,1930,8.274,0.142,,,,,,,,,,1.864,273.987,,,,,,,,,,,,,,,,,,,,,,,,,,6804301.0,,,,,,14151424000.0,,
12856,1931,-6.55,-0.122,,,,,,,,,,1.742,252.897,,,,,,,,,,,,,,,,,,,,,,,,,,6888878.0,,,,,,14878254080.0,,
12857,1932,-9.346,-0.163,,,,,,,,,,1.579,226.448,,,,,,,,,,,,,,,,,,,,,,,,,,6974458.0,,,,,,15166673920.0,,
12858,1933,10.052,0.159,,,,,,,,,,1.738,246.166,,,,,,,,,,,,,,,,,,,,,,,,,,7060707.0,,,,,,16192000000.0,,
12859,1934,-1.405,-0.024,,,,,,,,,,1.714,239.733,,,,,,,,,,,,,,,,,,,,,,,,,,7148293.0,,,,,,16883862528.0,,
12860,1935,4.988,0.085,,,,,,,,,,1.799,248.61,,,,,,,,,,,,,,,,,,,,,,,,,,7236882.0,,,,,,15990656000.0,,
12861,1936,2.941,0.053,,,,,,,,,,1.852,252.781,,,,,,,,,,,,,,,,,,,,,,,,,,7326808.0,,,,,,14770709504.0,,
12862,1937,18.901,0.35,,,,,,,,,,2.202,296.875,,,,,,,,,,,,,,,,,,,,,,,,,,7417737.0,,,,,,17262264320.0,,
