,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12946,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.121,21066.216,,,,,,,,,,,,,,,,,3091000.0,65.116,,,,,58110631936.0,,
12947,1981,,0.0,,,,-0.351,-0.229,,,,,0.0,0.0,,,,,,,,1.105,20717.465,,,,,,,,,,,,,,,,,3132000.0,64.887,,,,,58726309888.0,,
12948,1982,,0.0,,,,-0.088,-0.057,,,,,0.0,0.0,,,,,,,,1.139,20464.002,,,,,,,,,,,,,,,,,3168000.0,64.83,,,,,56943112192.0,,
12949,1983,,0.0,,,,1.306,0.847,,,,,0.0,0.0,,,,,,,,1.148,20511.109,,,,,,,,,,,,,,,,,3202000.0,65.677,,,,,57204314112.0,,
12950,1984,,0.0,,,,-0.416,-0.273,,,,,0.0,0.0,,,,,,,,1.065,20230.003,,,,,,,,,,,,,,,,,3233000.0,65.404,,,,,61392101376.0,,
12951,1985,,0.0,,,,0.21,0.137,,,,,0.0,0.0,,,,,,,,1.046,20086.038,,,,,,,,,,,,,,,,,3263000.0,65.541,,,,,62651551744.0,,
12952,1986,,0.0,,,,2.727,1.787,,,,,0.0,0.0,,,,,,,,0.994,20452.019,,,,,,,,,,,,,,,,,3292000.0,67.328,,,,,67768528896.0,,
12953,1987,,0.0,,,,0.033,0.022,,,,,0.0,0.0,,,,,,,,0.947,20292.337,,,,,,,,,,,,,,,,,3319000.0,67.35,,,,,71094493184.0,,
12954,1988,,0.0,,,,0.096,0.064,,,,,0.0,0.0,,,,,,,,0.89,20147.85,,,,,,,,,,,,,,,,,3346000.0,67.415,,,,,75737628672.0,,
12955,1989,,0.0,,,,0.212,0.143,,,,,0.0,0.0,,,,,,,,0.85,20028.995,,,,,,,,,,,,,,,,,3373000.0,67.558,,,,,79488032768.0,,
12956,1990,,0.0,,,,-1.928,-1.302,,,,,0.0,0.0,,,,,,,,0.803,19469.702,,,,,,,,,,,,,,,,,3403000.0,66.255,,,,,82482839552.0,,
12957,1991,,0.0,,,,-0.309,-0.205,,,,,0.0,0.0,,,,,,,,0.783,19228.715,,,,,,,,,,,,,,,,,3435000.0,66.051,,,,,84373094400.0,,
12958,1992,,0.0,,,,0.692,0.457,,,,,0.0,0.0,,,,,,,,0.754,19172.011,,,,,,,,,,,,,,,,,3469000.0,66.508,,,,,88223268864.0,,
12959,1993,,0.0,,,,-0.071,-0.047,,,,,0.0,0.0,,,,,,,,0.72,18972.496,,,,,,,,,,,,,,,,,3503000.0,66.461,,,,,92316254208.0,,
