,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13106,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,6881.8,,,,,,,,,,,,,,,,,509000.0,3.503,,,,,,,
13107,1981,,0.0,,,,5.547,0.194,,,,,0.0,0.0,,,,,,,,,7151.106,,,,,,,,,,,,,,,,,517000.0,3.697,,,,,,,
13108,1982,,0.0,,,,4.019,0.149,,,,,0.0,0.0,,,,,,,,,7297.33,,,,,,,,,,,,,,,,,527000.0,3.846,,,,,,,
13109,1983,,0.0,,,,15.701,0.604,,,,,0.0,0.0,,,,,,,,,8285.844,,,,,,,,,,,,,,,,,537000.0,4.449,,,,,,,
13110,1984,,0.0,,,,5.051,0.225,,,,,0.0,0.0,,,,,,,,,8529.667,,,,,,,,,,,,,,,,,548000.0,4.674,,,,,,,
13111,1985,,0.0,,,,4.829,0.226,,,,,0.0,0.0,,,,,,,,,8765.602,,,,,,,,,,,,,,,,,559000.0,4.9,,,,,,,
13112,1986,,0.0,,,,-3.585,-0.176,,,,,0.0,0.0,,,,,,,,,8302.783,,,,,,,,,,,,,,,,,569000.0,4.724,,,,,,,
13113,1987,,0.0,,,,10.848,0.513,,,,,0.0,0.0,,,,,,,,,9044.539,,,,,,,,,,,,,,,,,579000.0,5.237,,,,,,,
13114,1988,,0.0,,,,8.11,0.425,,,,,0.0,0.0,,,,,,,,,9612.076,,,,,,,,,,,,,,,,,589000.0,5.662,,,,,,,
13115,1989,,0.0,,,,10.395,0.588,,,,,0.0,0.0,,,,,,,,,10434.062,,,,,,,,,,,,,,,,,599000.0,6.25,,,,,,,
