,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13146,1900,,,,,,,,,,,,0.169,15.417,,,,,,,,,,,0.0,0.0,,,,,,,,,2.884,262.716,,,,10978551.0,,,,,,7809999872.0,,
13147,1901,65.079,0.11,0.0,20.161,0.582,,,,,,,0.279,25.279,,,,,,,,,,,0.0,0.0,,,,,,,,,3.466,313.567,,,,11052649.0,,,,,,,,
13148,1902,26.923,0.075,0.0,8.725,0.302,,,,,,,0.355,31.879,,,,,,,,,,,0.0,0.0,,,,,,,,,3.768,338.737,,,,11124024.0,,,,,,,,
13149,1903,-6.818,-0.024,0.0,27.16,1.023,,,,,,,0.33,29.495,,,,,,,,,,,0.0,0.0,,,,,,,,,4.792,427.685,,,,11203481.0,,,,,,,,
13150,1904,1.626,0.005,0.0,28.883,1.384,,,,,,,0.336,29.756,,,,,,,,,,,0.0,0.0,,,,,,,,,6.176,547.205,,,,11285604.0,,,,,,,,
13151,1905,4.0,0.013,0.0,28.437,1.756,,,,,,,0.349,30.716,,,,,,,,,,,0.0,0.0,,,,,,,,,7.932,697.57,,,,11370425.0,,,,,,,,
13152,1906,10.769,0.038,0.0,42.375,3.361,,,,,,,0.387,33.77,,,,,,,,,,,0.0,0.0,,,,,,,,,11.293,985.759,,,,11455883.0,,,,,,,,
13153,1907,-11.111,-0.043,0.0,18.229,2.059,,,,,,,0.344,29.797,,,,,,,,,,,0.0,0.0,,,,,,,,,13.351,1156.91,,,,11540437.0,,,,,,,,
13154,1908,25.781,0.089,0.0,-0.784,-0.105,,,,,,,0.433,37.2,,,,,,,,,,,0.0,0.0,,,,,,,,,13.247,1139.278,,,,11627173.0,,,,,,,,
13155,1909,-36.646,-0.159,0.0,19.052,2.524,,,,,,,0.274,23.342,,,,,,,,,,,0.0,0.0,,,,,,,,,15.77,1343.336,,,,11739647.0,,,,,,,,
