,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13267,1900,,,,,,,,,,,,108.312,1670.532,,,,,,,,,,,0.0,0.0,,,,,,,,,120.278,1855.085,,,,64836676.0,,,,,,,,
13268,1901,2.296,2.487,0.0,11.816,14.212,,,,,,,110.799,1693.283,,,,,,,,,,,0.0,0.0,,,,,,,,,134.489,2055.332,,,,65434412.0,,,,,,,,
13269,1902,-0.369,-0.409,0.0,-5.016,-6.745,,,,,,,110.39,1671.858,,,,,,,,,,,0.0,0.0,,,,,,,,,127.744,1934.684,,,,66028360.0,,,,,,,,
13270,1903,2.441,2.695,0.0,-6.127,-7.827,,,,,,,113.085,1697.029,,,,,,,,,,,0.0,0.0,,,,,,,,,119.917,1799.554,,,,66637088.0,,,,,,,,
13271,1904,16.25,18.376,0.0,4.005,4.803,,,,,,,131.461,1954.77,,,,,,,,,,,0.0,0.0,,,,,,,,,124.72,1854.536,,,,67251424.0,,,,,,,,
13272,1905,-4.794,-6.302,0.0,-30.455,-37.984,,,,,,,125.159,1844.063,,,,,,,,,,,0.0,0.0,,,,,,,,,86.737,1277.955,,,,67871424.0,,,,,,,,
13273,1906,16.38,20.501,0.0,8.233,7.141,,,,,,,145.66,2126.518,,,,,,,,,,,0.0,0.0,,,,,,,,,93.877,1370.531,,,,68497136.0,,,,,,,,
13274,1907,19.667,28.647,0.0,5.971,5.606,,,,,,,174.307,2521.987,,,,,,,,,,,0.0,0.0,,,,,,,,,99.483,1439.385,,,,69114992.0,,,,,,,,
13275,1908,-0.5,-0.872,0.0,0.853,0.849,,,,,,,173.436,2486.454,,,,,,,,,,,0.0,0.0,,,,,,,,,100.332,1438.408,,,,69752168.0,,,,,,,,
13276,1909,4.391,7.615,0.0,6.364,6.385,,,,,,,181.05,2571.912,,,,,,,,,,,0.0,0.0,,,,,,,,,106.717,1515.969,,,,70395224.0,,,,,,,,
13277,1910,-6.492,-11.754,0.0,3.978,4.245,,,,,,,169.296,2382.972,,,,,,,,,,,0.0,0.0,,,,,,,,,110.962,1561.871,,,,71044208.0,,,,,,,,
13278,1911,6.197,10.491,0.0,-5.094,-5.652,,,,,,,179.788,2507.667,,,,,,,,,,,0.0,0.0,,,,,,,,,105.31,1468.855,,,,71695136.0,,,,,,,,
13279,1912,17.989,32.341,0.0,1.215,1.279,,,,,,,212.129,2931.733,,,,,,,,,,,0.0,0.0,,,,,,,,,106.589,1473.118,,,,72356096.0,,,,,,,,
13280,1913,8.449,17.923,0.0,-1.68,-1.791,,,,,,,230.052,3150.395,,,,,,,,,,,0.0,0.0,,,,,,,,,104.798,1435.134,,,,73023160.0,,,,,,,,
13281,1914,-6.279,-14.445,0.0,-0.899,-0.942,,,,,,,215.607,2925.616,,,,,,,,,,,0.0,0.0,,,,,,,,,103.856,1409.242,,,,73696368.0,,,,,,,,
13282,1915,-1.574,-3.394,0.0,3.819,3.966,,,,,,,212.213,2853.251,,,,,,,,,,,0.0,0.0,,,,,,,,,107.822,1449.69,,,,74375784.0,,,,,,,,
13283,1916,5.562,11.804,0.0,6.472,6.978,,,,,,,224.017,2984.446,,,,,,,,,,,0.0,0.0,,,,,,,,,114.8,1529.411,,,,75061464.0,,,,,,,,
13284,1917,-6.429,-14.401,0.0,-11.286,-12.956,,,,,,,209.616,2767.079,,,,,,,,,,,0.0,0.0,,,,,,,,,101.844,1344.414,,,,75753464.0,,,,,,,,
13285,1918,-60.874,-127.602,0.0,-57.862,-58.929,,,,,,,82.013,1072.723,,,,,,,,,,,0.0,0.0,,,,,,,,,42.915,561.319,,,,76453416.0,,,,,,,,
13286,1919,-30.195,-24.764,0.0,20.244,8.688,,,,,,,57.25,741.964,,,,,,,,,,,0.0,0.0,,,,,,,,,51.602,668.776,,,,77159440.0,,,,,,,,
13287,1920,-10.13,-5.8,0.0,-12.103,-6.245,,,,,,,51.45,660.699,,,,,,,,,,,0.0,0.0,,,,,,,,,45.357,582.456,,,,77871984.0,,,,,,,,
13288,1921,10.033,5.162,0.0,-2.564,-1.163,,,,,,,56.612,720.338,,,,,,,,,,,0.0,0.0,,,,,,,,,44.194,562.329,,,,78591112.0,,,,,,,,
13289,1922,21.452,12.144,0.217,23.684,10.467,,,,,,,68.756,866.857,,,,,,,,,,,0.217,2.737,,,,,,,,,54.661,689.148,,,,79316880.0,,,,,,,,
13290,1923,12.534,8.618,0.5,12.766,6.978,,,,,,,77.374,966.583,,,,,,,,,,,0.717,8.955,,,,,,,,,61.639,770.013,,,,80049344.0,,,,,,,,
13291,1924,33.428,25.865,0.5,15.094,9.304,,,,,,,103.239,1277.892,,,,,,,,,,,1.217,15.059,,,,,,,,,70.943,878.132,,,,80788576.0,,,,,,,,
13292,1925,1.686,1.741,0.5,16.393,11.63,,,,,,,104.98,1287.546,,,,,,,,,,,1.716,21.05,,,,,,,,,82.573,1012.736,,,,81534632.0,,,,,,,,
13293,1926,56.351,59.157,0.5,16.901,13.956,,,,,,,164.137,1994.673,,,,,,,,,,,2.216,26.93,,,,,,,,,96.529,1173.07,,,,82287584.0,,,,,,,,
