,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13388,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.166,175.394,,,,,,,,,,,,,,,,,5153000.0,0.904,,,,,5436003840.0,,
13389,1981,,0.0,,,,94.836,0.857,,,,,0.0,0.0,,,,,,,,0.284,330.445,,,,,,,,,,,,,,,,,5329000.0,1.761,,,,,6210359808.0,,
13390,1982,,0.0,,,,4.868,0.086,,,,,0.0,0.0,,,,,,,,0.306,335.45,,,,,,,,,,,,,,,,,5505000.0,1.847,,,,,6035700224.0,,
13391,1983,,0.0,,,,18.669,0.345,,,,,0.0,0.0,,,,,,,,0.342,385.067,,,,,,,,,,,,,,,,,5691000.0,2.191,,,,,6400271872.0,,
13392,1984,,0.0,,,,41.46,0.909,,,,,0.0,0.0,,,,,,,,0.51,525.153,,,,,,,,,,,,,,,,,5903000.0,3.1,,,,,6073709056.0,,
13393,1985,,0.0,,,,9.555,0.296,,,,,0.0,0.0,,,,,,,,0.528,552.492,,,,,,,,,,,,,,,,,6147000.0,3.396,,,,,6428675072.0,,
13394,1986,,0.0,,,,-5.295,-0.18,,,,,0.0,0.0,,,,,,,,0.474,499.123,,,,,,,,,,,,,,,,,6444000.0,3.216,,,,,6778710016.0,,
13395,1987,,0.0,,,,0.53,0.017,,,,,0.0,0.0,,,,,,,,0.492,476.901,,,,,,,,,,,,,,,,,6780000.0,3.233,,,,,6570511872.0,,
13396,1988,,0.0,,,,-0.295,-0.01,,,,,0.0,0.0,,,,,,,,0.484,454.832,,,,,,,,,,,,,,,,,7088000.0,3.224,,,,,6659534848.0,,
13397,1989,,0.0,,,,2.851,0.092,,,,,0.0,0.0,,,,,,,,0.459,455.649,,,,,,,,,,,,,,,,,7277000.0,3.316,,,,,7218293760.0,,
13398,1990,,0.0,,,,5.061,0.168,,,,,0.0,0.0,,,,,,,,0.501,477.921,,,,,,,,,,,,,,,,,7289000.0,3.484,,,,,6948192768.0,,
13399,1991,,0.0,,,,1.579,0.055,,,,,0.0,0.0,,,,,,,,0.583,499.514,,,,,,,,,,,,,,,,,7084000.0,3.539,,,,,6068960256.0,,
13400,1992,,0.0,,,,0.803,0.028,,,,,0.0,0.0,,,,,,,,0.553,532.225,,,,,,,,,,,,,,,,,6702000.0,3.567,,,,,6454055936.0,,
13401,1993,,0.0,,,,-8.426,-0.301,,,,,0.0,0.0,,,,,,,,0.556,521.461,,,,,,,,,,,,,,,,,6264000.0,3.266,,,,,5875824128.0,,
13402,1994,,0.0,,,,2.164,0.071,,,,,0.0,0.0,,,,,,,,1.221,562.18,,,,,,,,,,,,,,,,,5936000.0,3.337,,,,,2733533952.0,,
13403,1995,,0.0,,,,1.857,0.062,,,,,0.0,0.0,,,,,,,,0.996,582.429,,,,,,,,,,,,,,,,,5836000.0,3.399,,,,,3414089984.0,,
13404,1996,,0.0,,,,-1.275,-0.043,,,,,0.0,0.0,,,,,,,,0.82,558.075,,,,,,,,,,,,,,,,,6013000.0,3.356,,,,,4094727936.0,,
13405,1997,,0.0,,,,1.462,0.049,,,,,0.0,0.0,,,,,,,,0.715,530.338,,,,,,,,,,,,,,,,,6420000.0,3.405,,,,,4764689920.0,,
13406,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.663,488.981,,,,,,,,,,,,,,,,,6963000.0,3.405,,,,,5133049856.0,,
13407,1999,,0.0,,,,-2.769,-0.094,,,,,0.0,0.0,,,,,,,,0.63,441.339,,,,,,,,,,,,,,,,,7501000.0,3.31,,,,,5254788096.0,,
