,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13428,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7000.0,0.0,,,,,,,
13429,1981,,0.0,,,,inf,0.012,,,,,0.0,0.0,,,,,,,,,1676.177,,,,,,,,,,,,,,,,,7000.0,0.012,,,,,,,
13430,1982,,0.0,,,,5.0,0.001,,,,,0.0,0.0,,,,,,,,,1759.986,,,,,,,,,,,,,,,,,7000.0,0.012,,,,,,,
13431,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1759.986,,,,,,,,,,,,,,,,,7000.0,0.012,,,,,,,
13432,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1759.986,,,,,,,,,,,,,,,,,7000.0,0.012,,,,,,,
13433,1985,,0.0,,,,2.381,0.0,,,,,0.0,0.0,,,,,,,,,1801.891,,,,,,,,,,,,,,,,,7000.0,0.013,,,,,,,
13434,1986,,0.0,,,,0.93,0.0,,,,,0.0,0.0,,,,,,,,,1818.653,,,,,,,,,,,,,,,,,7000.0,0.013,,,,,,,
13435,1987,,0.0,,,,103.687,0.013,,,,,0.0,0.0,,,,,,,,,3704.351,,,,,,,,,,,,,,,,,7000.0,0.026,,,,,,,
13436,1988,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3704.351,,,,,,,,,,,,,,,,,7000.0,0.026,,,,,,,
13437,1989,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3704.351,,,,,,,,,,,,,,,,,7000.0,0.026,,,,,,,
13438,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3704.351,,,,,,,,,,,,,,,,,7000.0,0.026,,,,,,,
13439,1991,,0.0,,,,-50.905,-0.013,,,,,0.0,0.0,,,,,,,,,1818.653,,,,,,,,,,,,,,,,,7000.0,0.013,,,,,,,
13440,1992,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13441,1993,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13442,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13443,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13444,1996,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13445,1997,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13446,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2121.762,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13447,1999,,0.0,,,,0.23,0.0,,,,,0.0,0.0,,,,,,,,,2126.65,,,,,,,,,,,,,,,,,6000.0,0.013,,,,,,,
13448,2000,,0.0,,,,303.554,0.039,,,,,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,,8582.18,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,833.333,6000.0,0.051,0.0,0.0,0.0,0.0,,0.0,0.0
