,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13468,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,5088.951,,,,,,,,,,,,,,,,,43000.0,0.219,,,,,,,
13469,1981,,0.0,,,,5.362,0.012,,,,,0.0,0.0,,,,,,,,,5361.817,,,,,,,,,,,,,,,,,43000.0,0.231,,,,,,,
13470,1982,,0.0,,,,16.285,0.038,,,,,0.0,0.0,,,,,,,,,6234.989,,,,,,,,,,,,,,,,,43000.0,0.268,,,,,,,
13471,1983,,0.0,,,,-18.6,-0.05,,,,,0.0,0.0,,,,,,,,,5196.149,,,,,,,,,,,,,,,,,42000.0,0.218,,,,,,,
13472,1984,,0.0,,,,0.269,0.001,,,,,0.0,0.0,,,,,,,,,5210.117,,,,,,,,,,,,,,,,,42000.0,0.219,,,,,,,
13473,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,5210.117,,,,,,,,,,,,,,,,,42000.0,0.219,,,,,,,
13474,1986,,0.0,,,,-5.549,-0.012,,,,,0.0,0.0,,,,,,,,,5041.036,,,,,,,,,,,,,,,,,41000.0,0.207,,,,,,,
13475,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,5041.036,,,,,,,,,,,,,,,,,41000.0,0.207,,,,,,,
13476,1988,,0.0,,,,6.462,0.013,,,,,0.0,0.0,,,,,,,,,5366.784,,,,,,,,,,,,,,,,,41000.0,0.22,,,,,,,
13477,1989,,0.0,,,,-0.226,0.0,,,,,0.0,0.0,,,,,,,,,5488.501,,,,,,,,,,,,,,,,,40000.0,0.22,,,,,,,
13478,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,5488.501,,,,,,,,,,,,,,,,,40000.0,0.22,,,,,,,
13479,1991,,0.0,,,,34.264,0.075,,,,,0.0,0.0,,,,,,,,,7369.09,,,,,,,,,,,,,,,,,40000.0,0.295,,,,,,,
13480,1992,,0.0,,,,0.226,0.001,,,,,0.0,0.0,,,,,,,,,7205.633,,,,,,,,,,,,,,,,,41000.0,0.295,,,,,,,
13481,1993,,0.0,,,,21.953,0.065,,,,,0.0,0.0,,,,,,,,,8787.495,,,,,,,,,,,,,,,,,41000.0,0.36,,,,,,,
13482,1994,,0.0,,,,17.31,0.062,,,,,0.0,0.0,,,,,,,,,10063.166,,,,,,,,,,,,,,,,,42000.0,0.423,,,,,,,
13483,1995,,0.0,,,,-14.756,-0.062,,,,,0.0,0.0,,,,,,,,,8578.269,,,,,,,,,,,,,,,,,42000.0,0.36,,,,,,,
13484,1996,,0.0,,,,17.631,0.064,,,,,0.0,0.0,,,,,,,,,10090.74,,,,,,,,,,,,,,,,,42000.0,0.424,,,,,,,
13485,1997,,0.0,,,,-0.273,-0.001,,,,,0.0,0.0,,,,,,,,,9829.139,,,,,,,,,,,,,,,,,43000.0,0.423,,,,,,,
13486,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,9829.139,,,,,,,,,,,,,,,,,43000.0,0.423,,,,,,,
13487,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,9605.75,,,,,,,,,,,,,,,,,44000.0,0.423,,,,,,,
13488,2000,,0.0,,,,82.637,0.349,,,,,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,,17543.665,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2136.364,44000.0,0.772,0.0,0.0,0.0,0.0,,0.0,0.0
13489,2001,,0.0,,,,3.368,0.026,,,,,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,,17731.622,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2088.889,45000.0,0.798,0.0,0.0,0.0,0.0,,0.0,0.0
13490,2002,,0.0,,,,9.4,0.075,,,,,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,,19398.394,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2288.889,45000.0,0.873,0.0,0.0,0.0,0.0,,0.0,0.0
13491,2003,,0.0,,,,0.161,0.001,,,,,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,,19007.241,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2586.957,46000.0,0.874,0.0,0.0,0.0,0.0,,0.0,0.0
13492,2004,,0.0,,,,8.154,0.071,,,,,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,,20557.107,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2652.174,46000.0,0.946,0.0,0.0,0.0,0.0,,0.0,0.0
13493,2005,,0.0,,,,-6.835,-0.065,,,,,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,,18744.592,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2659.574,47000.0,0.881,0.0,0.0,0.0,0.0,,0.0,0.0
13494,2006,,0.0,,,,3.627,0.032,,,,,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,,19424.47,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2702.128,47000.0,0.913,0.0,0.0,0.0,0.0,,0.0,0.0
13495,2007,,0.0,,,,5.729,0.052,,,,,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,,20109.482,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3270.833,48000.0,0.965,0.0,0.0,0.0,0.0,,0.0,0.0
13496,2008,,0.0,,,,-0.113,-0.001,,,,,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,,20086.677,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3479.167,48000.0,0.964,0.0,0.0,0.0,0.0,,0.0,0.0
13497,2009,,0.0,,,,2.33,0.022,,,,,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,,20135.262,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3530.612,49000.0,0.987,0.0,0.0,0.0,0.0,,0.0,0.0
13498,2010,,0.0,,,,2.446,0.024,,,,,0.0,0.0,0.185,0.0,0.0,0.0,0.006,0.0,0.006,,20627.716,,,,0.0,0.0,3.243,0.006,122.449,0.0,0.0,,,,0.0,0.0,3775.51,49000.0,1.011,122.449,3.243,0.0,0.0,,3.243,122.449
13499,2011,,0.0,,,,3.013,0.03,,,,,0.0,0.0,0.189,0.0,0.0,0.0,0.005,0.0,0.005,,21249.2,,,,0.0,0.0,2.646,0.005,102.041,0.0,0.0,,,,0.0,0.0,3857.143,49000.0,1.041,102.041,2.646,0.0,0.0,,2.646,102.041
13500,2012,,0.0,,,,-0.45,-0.005,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.008,0.0,0.008,,20730.567,,,,0.0,0.0,4.0,0.008,160.0,0.0,0.0,,,,0.0,0.0,4000.0,50000.0,1.037,160.0,4.0,0.0,0.0,,4.0,160.0
13501,2013,,0.0,,,,-0.365,-0.004,,,,,0.0,0.0,0.206,0.0,0.0,0.0,0.008,0.0,0.008,,20654.899,,,,0.0,0.0,3.883,0.008,160.0,0.0,0.0,,,,0.0,0.0,4120.0,50000.0,1.033,160.0,3.883,0.0,0.0,,3.883,160.0
13502,2014,,0.0,,,,1.253,0.013,,,,,0.0,0.0,0.206,0.0,0.0,0.0,0.008,0.0,0.008,,20503.725,,,,0.0,0.0,3.883,0.008,156.863,0.0,0.0,,,,0.0,0.0,4039.216,51000.0,1.046,156.863,3.883,0.0,0.0,,3.883,156.863
13503,2015,,0.0,,,,2.504,0.026,,,,,0.0,0.0,0.203,0.0,0.0,0.0,0.008,0.0,0.008,,21017.227,,,,0.0,0.0,3.941,0.008,156.863,0.0,0.0,,,,0.0,0.0,3980.392,51000.0,1.072,156.863,3.941,0.0,0.0,,3.941,156.863
