,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13508,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.996,4971.711,,,,,,,,,,,,,,,,,118000.0,0.587,,,,,588771968.0,,
13509,1981,,0.0,,,,-50.0,-0.293,,,,,0.0,0.0,,,,,,,,0.54,2464.966,,,,,,,,,,,,,,,,,119000.0,0.293,,,,,543120000.0,,
13510,1982,,0.0,,,,100.0,0.293,,,,,0.0,0.0,,,,,,,,1.041,4848.446,,,,,,,,,,,,,,,,,121000.0,0.587,,,,,563345984.0,,
13511,1983,,0.0,,,,-50.0,-0.293,,,,,0.0,0.0,,,,,,,,0.499,2384.805,,,,,,,,,,,,,,,,,123000.0,0.293,,,,,587883008.0,,
13512,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.463,2365.572,,,,,,,,,,,,,,,,,124000.0,0.293,,,,,633777024.0,,
13513,1985,,0.0,,,,100.0,0.293,,,,,0.0,0.0,,,,,,,,0.897,4656.047,,,,,,,,,,,,,,,,,126000.0,0.587,,,,,653952000.0,,
13514,1986,,0.0,,,,-10.056,-0.059,,,,,0.0,0.0,,,,,,,,0.712,4122.377,,,,,,,,,,,,,,,,,128000.0,0.528,,,,,741342016.0,,
13515,1987,,0.0,,,,9.034,0.048,,,,,0.0,0.0,,,,,,,,0.718,4391.839,,,,,,,,,,,,,,,,,131000.0,0.575,,,,,800918016.0,,
13516,1988,,0.0,,,,27.652,0.159,,,,,0.0,0.0,,,,,,,,0.882,5521.962,,,,,,,,,,,,,,,,,133000.0,0.734,,,,,832409984.0,,
13517,1989,,0.0,,,,-0.244,-0.002,,,,,0.0,0.0,,,,,,,,0.877,5386.956,,,,,,,,,,,,,,,,,136000.0,0.733,,,,,835584000.0,,
13518,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.82,5308.884,,,,,,,,,,,,,,,,,138000.0,0.733,,,,,893550016.0,,
13519,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.831,5233.043,,,,,,,,,,,,,,,,,140000.0,0.733,,,,,881676992.0,,
13520,1992,,0.0,,,,0.245,0.002,,,,,0.0,0.0,,,,,,,,0.845,5171.978,,,,,,,,,,,,,,,,,142000.0,0.734,,,,,868700992.0,,
13521,1993,,0.0,,,,-0.244,-0.002,,,,,0.0,0.0,,,,,,,,0.841,5123.259,,,,,,,,,,,,,,,,,143000.0,0.733,,,,,871441984.0,,
13522,1994,,0.0,,,,18.107,0.133,,,,,0.0,0.0,,,,,,,,1.065,5967.491,,,,,,,,,,,,,,,,,145000.0,0.865,,,,,812289984.0,,
13523,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.928,5886.301,,,,,,,,,,,,,,,,,147000.0,0.865,,,,,932209984.0,,
13524,1996,,0.0,,,,0.245,0.002,,,,,0.0,0.0,,,,,,,,0.82,5821.537,,,,,,,,,,,,,,,,,149000.0,0.867,,,,,1057312000.0,,
13525,1997,,0.0,,,,-0.245,-0.002,,,,,0.0,0.0,,,,,,,,0.894,5730.372,,,,,,,,,,,,,,,,,151000.0,0.865,,,,,967350016.0,,
13526,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.888,5655.465,,,,,,,,,,,,,,,,,153000.0,0.865,,,,,973950016.0,,
13527,1999,,0.0,,,,0.001,0.0,,,,,0.0,0.0,,,,,,,,0.9,5582.56,,,,,,,,,,,,,,,,,155000.0,0.865,,,,,961552000.0,,
13528,2000,,0.0,,,,69.454,0.601,,,,,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.424,9339.357,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1656.943,157000.0,1.466,0.0,0.0,0.0,0.0,1029843008.0,0.0,0.0
13529,2001,,0.0,,,,8.444,0.124,,,,,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.0,0.0,1.896,10063.898,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1704.728,158000.0,1.59,0.0,0.0,0.0,0.0,838684032.0,0.0,0.0
13530,2002,,0.0,,,,-9.643,-0.153,,,,,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.0,0.0,1.722,9036.238,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1689.119,159000.0,1.437,0.0,0.0,0.0,0.0,834520000.0,0.0,0.0
13531,2003,,0.0,,,,10.656,0.153,,,,,0.0,0.0,0.281,0.0,0.0,0.0,0.0,0.0,0.0,1.662,9874.891,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1745.615,161000.0,1.59,0.0,0.0,0.0,0.0,956435968.0,0.0,0.0
13532,2004,,0.0,,,,0.355,0.006,,,,,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.465,9848.789,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1790.296,162000.0,1.596,0.0,0.0,0.0,0.0,1089266048.0,0.0,0.0
13533,2005,,0.0,,,,3.152,0.05,,,,,0.0,0.0,0.304,0.0,0.0,0.0,0.0,0.0,0.0,1.445,10096.893,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1866.239,163000.0,1.646,0.0,0.0,0.0,0.0,1138877952.0,0.0,0.0
13534,2006,,0.0,,,,0.875,0.014,,,,,0.0,0.0,0.311,0.0,0.0,0.0,0.0,0.0,0.0,1.967,10061.78,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1884.327,165000.0,1.66,0.0,0.0,0.0,0.0,844035968.0,0.0,0.0
13535,2007,,0.0,,,,3.389,0.056,,,,,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,1.377,10216.987,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1934.262,168000.0,1.716,0.0,0.0,0.0,0.0,1246877952.0,0.0,0.0
13536,2008,,0.0,,,,2.778,0.048,,,,,0.0,0.0,0.331,0.0,0.0,0.0,0.0,0.0,0.0,1.191,10377.247,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1948.206,170000.0,1.764,0.0,0.0,0.0,0.0,1481760000.0,0.0,0.0
13537,2009,,0.0,,,,-2.453,-0.043,,,,,0.0,0.0,0.341,0.0,0.0,0.0,0.0,0.0,0.0,1.041,10005.018,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1983.785,172000.0,1.721,0.0,0.0,0.0,0.0,1652480000.0,0.0,0.0
13538,2010,,0.0,,,,4.519,0.078,,,,,0.0,0.0,0.358,0.0,0.0,0.0,0.0,0.0,0.0,1.326,10336.964,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2057.471,174000.0,1.799,0.0,0.0,0.0,0.0,1356263936.0,0.0,0.0
13539,2011,,0.0,,,,1.498,0.027,,,,,0.0,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,1.099,10372.601,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2056.818,176000.0,1.826,0.0,0.0,0.0,0.0,1661309952.0,0.0,0.0
