,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13548,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,97776.99,,,,,,,,,,,,,,,,,6000.0,0.587,,,,,,,
13549,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,97776.99,,,,,,,,,,,,,,,,,6000.0,0.587,,,,,,,
13550,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,97776.99,,,,,,,,,,,,,,,,,6000.0,0.587,,,,,,,
13551,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,97776.99,,,,,,,,,,,,,,,,,6000.0,0.587,,,,,,,
13552,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,97776.99,,,,,,,,,,,,,,,,,6000.0,0.587,,,,,,,
13553,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,97776.99,,,,,,,,,,,,,,,,,6000.0,0.587,,,,,,,
13554,1986,,0.0,,,,17.617,0.103,,,,,0.0,0.0,,,,,,,,,115001.875,,,,,,,,,,,,,,,,,6000.0,0.69,,,,,,,
13555,1987,,0.0,,,,28.556,0.197,,,,,0.0,0.0,,,,,,,,,147842.14,,,,,,,,,,,,,,,,,6000.0,0.887,,,,,,,
13556,1988,,0.0,,,,0.433,0.004,,,,,0.0,0.0,,,,,,,,,148482.327,,,,,,,,,,,,,,,,,6000.0,0.891,,,,,,,
13557,1989,,0.0,,,,20.73,0.185,,,,,0.0,0.0,,,,,,,,,179262.331,,,,,,,,,,,,,,,,,6000.0,1.076,,,,,,,
13558,1990,,0.0,,,,-5.898,-0.063,,,,,0.0,0.0,,,,,,,,,168690.004,,,,,,,,,,,,,,,,,6000.0,1.012,,,,,,,
13559,1991,,0.0,,,,-6.057,-0.061,,,,,0.0,0.0,,,,,,,,,158471.716,,,,,,,,,,,,,,,,,6000.0,0.951,,,,,,,
13560,1992,,0.0,,,,-7.921,-0.075,,,,,0.0,0.0,,,,,,,,,145918.968,,,,,,,,,,,,,,,,,6000.0,0.876,,,,,,,
13561,1993,,0.0,,,,-43.013,-0.377,,,,,0.0,0.0,,,,,,,,,83154.442,,,,,,,,,,,,,,,,,6000.0,0.499,,,,,,,
13562,1994,,0.0,,,,2.066,0.01,,,,,0.0,0.0,,,,,,,,,84872.486,,,,,,,,,,,,,,,,,6000.0,0.509,,,,,,,
13563,1995,,0.0,,,,-36.741,-0.187,,,,,0.0,0.0,,,,,,,,,53689.591,,,,,,,,,,,,,,,,,6000.0,0.322,,,,,,,
13564,1996,,0.0,,,,0.264,0.001,,,,,0.0,0.0,,,,,,,,,53831.465,,,,,,,,,,,,,,,,,6000.0,0.323,,,,,,,
13565,1997,,0.0,,,,-42.073,-0.136,,,,,0.0,0.0,,,,,,,,,31182.941,,,,,,,,,,,,,,,,,6000.0,0.187,,,,,,,
13566,1998,,0.0,,,,33.333,0.062,,,,,0.0,0.0,,,,,,,,,41577.221,,,,,,,,,,,,,,,,,6000.0,0.249,,,,,,,
13567,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,41577.221,,,,,,,,,,,,,,,,,6000.0,0.249,,,,,,,
13568,2000,,0.0,,,,12.888,0.032,,,,,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,,46935.889,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6833.333,6000.0,0.282,0.0,0.0,0.0,0.0,,0.0,0.0
13569,2001,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,46935.889,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6666.667,6000.0,0.282,0.0,0.0,0.0,0.0,,0.0,0.0
13570,2002,,0.0,,,,9.052,0.025,,,,,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,,51184.741,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7833.333,6000.0,0.307,0.0,0.0,0.0,0.0,,0.0,0.0
13571,2003,,0.0,,,,12.581,0.039,,,,,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,,57624.186,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8166.667,6000.0,0.346,0.0,0.0,0.0,0.0,,0.0,0.0
13572,2004,,0.0,,,,-3.687,-0.013,,,,,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,,55499.736,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7500.0,6000.0,0.333,0.0,0.0,0.0,0.0,,0.0,0.0
13573,2005,,0.0,,,,3.828,0.013,,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,57624.186,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6666.667,6000.0,0.346,0.0,0.0,0.0,0.0,,0.0,0.0
13574,2006,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,57624.186,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6666.667,6000.0,0.346,0.0,0.0,0.0,0.0,,0.0,0.0
13575,2007,,0.0,,,,3.687,0.013,,,,,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,,59748.588,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6500.0,6000.0,0.358,0.0,0.0,0.0,0.0,,0.0,0.0
13576,2008,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,,59748.588,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6833.333,6000.0,0.358,0.0,0.0,0.0,0.0,,0.0,0.0
13577,2009,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,,59748.588,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6833.333,6000.0,0.358,0.0,0.0,0.0,0.0,,0.0,0.0
13578,2010,,0.0,,,,5.15,0.018,,,,,0.0,0.0,0.044,0.0,0.0,0.0,0.002,0.0,0.002,,62825.419,,,,0.0,0.0,4.545,0.002,333.333,0.0,0.0,,,,0.0,0.0,7333.333,6000.0,0.377,333.333,4.545,0.0,0.0,,4.545,333.333
13579,2011,,0.0,,,,0.676,0.003,,,,,0.0,0.0,0.044,0.0,0.0,0.0,0.002,0.0,0.002,,63250.309,,,,0.0,0.0,4.545,0.002,333.333,0.0,0.0,,,,0.0,0.0,7333.333,6000.0,0.38,333.333,4.545,0.0,0.0,,4.545,333.333
13580,2012,,0.0,,,,-1.344,-0.005,,,,,0.0,0.0,0.045,0.0,0.0,0.0,0.002,0.0,0.002,,62400.53,,,,0.0,0.0,4.444,0.002,333.333,0.0,0.0,,,,0.0,0.0,7500.0,6000.0,0.374,333.333,4.444,0.0,0.0,,4.444,333.333
13581,2013,,0.0,,,,2.383,0.009,,,,,0.0,0.0,0.045,0.0,0.0,0.0,0.002,0.0,0.002,,63887.614,,,,0.0,0.0,4.444,0.002,333.333,0.0,0.0,,,,0.0,0.0,7500.0,6000.0,0.383,333.333,4.444,0.0,0.0,,4.444,333.333
13582,2014,,0.0,,,,4.183,0.016,,,,,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,,66559.981,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7500.0,6000.0,0.399,0.0,0.0,0.0,0.0,,0.0,0.0
13583,2015,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,,66559.981,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7666.667,6000.0,0.399,0.0,0.0,0.0,0.0,,0.0,0.0
13584,2016,,0.0,,,,2.086,0.008,,,,,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,,67948.608,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7666.667,6000.0,0.408,0.0,0.0,0.0,0.0,,0.0,0.0
13585,2017,,,,,,,,,,,,,,0.046,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7666.667,6000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
13586,2018,,,,,,,,,,,,,,0.048,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8000.0,6000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
13587,2019,,,,,,,,,,,,,,0.049,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8111.111,6000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
