,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13588,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,2089.869,,,,,,,,,,,,,,,,,101000.0,0.211,,,,,,,
13589,1981,,0.0,,,,-6.115,-0.013,,,,,0.0,0.0,,,,,,,,,1962.082,,,,,,,,,,,,,,,,,101000.0,0.198,,,,,,,
13590,1982,,0.0,,,,7.659,0.015,,,,,0.0,0.0,,,,,,,,,2091.64,,,,,,,,,,,,,,,,,102000.0,0.213,,,,,,,
13591,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2071.333,,,,,,,,,,,,,,,,,103000.0,0.213,,,,,,,
13592,1984,,0.0,,,,-0.143,0.0,,,,,0.0,0.0,,,,,,,,,2048.487,,,,,,,,,,,,,,,,,104000.0,0.213,,,,,,,
13593,1985,,0.0,,,,13.901,0.03,,,,,0.0,0.0,,,,,,,,,2311.026,,,,,,,,,,,,,,,,,105000.0,0.243,,,,,,,
13594,1986,,0.0,,,,-7.066,-0.017,,,,,0.0,0.0,,,,,,,,,2147.729,,,,,,,,,,,,,,,,,105000.0,0.226,,,,,,,
13595,1987,,0.0,,,,3.801,0.009,,,,,0.0,0.0,,,,,,,,,2208.33,,,,,,,,,,,,,,,,,106000.0,0.234,,,,,,,
13596,1988,,0.0,,,,16.981,0.04,,,,,0.0,0.0,,,,,,,,,2559.192,,,,,,,,,,,,,,,,,107000.0,0.274,,,,,,,
13597,1989,,0.0,,,,39.146,0.107,,,,,0.0,0.0,,,,,,,,,3561.017,,,,,,,,,,,,,,,,,107000.0,0.381,,,,,,,
13598,1990,,0.0,,,,-5.025,-0.019,,,,,0.0,0.0,,,,,,,,,3382.079,,,,,,,,,,,,,,,,,107000.0,0.362,,,,,,,
13599,1991,,0.0,,,,-12.868,-0.047,,,,,0.0,0.0,,,,,,,,,2919.579,,,,,,,,,,,,,,,,,108000.0,0.315,,,,,,,
13600,1992,,0.0,,,,26.383,0.083,,,,,0.0,0.0,,,,,,,,,3689.842,,,,,,,,,,,,,,,,,108000.0,0.399,,,,,,,
13601,1993,,0.0,,,,-13.706,-0.055,,,,,0.0,0.0,,,,,,,,,3184.129,,,,,,,,,,,,,,,,,108000.0,0.344,,,,,,,
13602,1994,,0.0,,,,66.853,0.23,,,,,0.0,0.0,,,,,,,,,5312.822,,,,,,,,,,,,,,,,,108000.0,0.574,,,,,,,
13603,1995,,0.0,,,,9.802,0.056,,,,,0.0,0.0,,,,,,,,,5833.579,,,,,,,,,,,,,,,,,108000.0,0.63,,,,,,,
13604,1996,,0.0,,,,-8.743,-0.055,,,,,0.0,0.0,,,,,,,,,5323.526,,,,,,,,,,,,,,,,,108000.0,0.575,,,,,,,
13605,1997,,0.0,,,,15.52,0.089,,,,,0.0,0.0,,,,,,,,,6149.758,,,,,,,,,,,,,,,,,108000.0,0.664,,,,,,,
13606,1998,,0.0,,,,9.56,0.063,,,,,0.0,0.0,,,,,,,,,6737.686,,,,,,,,,,,,,,,,,108000.0,0.728,,,,,,,
13607,1999,,0.0,,,,0.001,0.0,,,,,0.0,0.0,,,,,,,,,6737.746,,,,,,,,,,,,,,,,,108000.0,0.728,,,,,,,
13608,2000,,0.0,,,,-4.036,-0.029,,,,,0.0,0.0,0.09,0.025,0.0,0.0,0.025,0.0,0.0,,6465.809,,,,27.778,231.481,27.778,0.025,231.481,0.0,0.0,,,,0.0,0.0,833.333,108000.0,0.698,231.481,27.778,0.0,0.0,,0.0,0.0
13609,2001,,0.0,,,,15.818,0.11,,,,,0.0,0.0,0.094,0.019,0.0,0.0,0.019,0.0,0.0,,7488.6,,,,20.213,175.926,20.213,0.019,175.926,0.0,0.0,,,,0.0,0.0,870.37,108000.0,0.809,175.926,20.213,0.0,0.0,,0.0,0.0
13610,2002,,0.0,,,,8.212,0.066,,,,,0.0,0.0,0.097,0.022,0.0,0.0,0.022,0.0,0.0,,8103.552,,,,22.68,203.704,22.68,0.022,203.704,0.0,0.0,,,,0.0,0.0,898.148,108000.0,0.875,203.704,22.68,0.0,0.0,,0.0,0.0
13611,2003,,0.0,,,,4.855,0.042,,,,,0.0,0.0,0.103,0.021,0.0,0.0,0.021,0.0,0.0,,8496.976,,,,20.388,194.444,20.388,0.021,194.444,0.0,0.0,,,,0.0,0.0,953.704,108000.0,0.918,194.444,20.388,0.0,0.0,,0.0,0.0
13612,2004,,0.0,,,,10.506,0.096,,,,,0.0,0.0,0.114,0.027,0.0,0.0,0.027,0.0,0.0,,9303.501,,,,23.684,247.706,23.684,0.027,247.706,0.0,0.0,,,,0.0,0.0,1045.872,109000.0,1.014,247.706,23.684,0.0,0.0,,0.0,0.0
13613,2005,,0.0,,,,0.405,0.004,,,,,0.0,0.0,0.126,0.026,0.0,0.0,0.026,0.0,0.0,,9341.181,,,,20.661,238.532,20.661,0.026,238.532,0.0,0.0,,,,0.0,0.0,1154.477,109000.0,1.018,238.532,20.661,0.0,0.0,,0.0,0.0
13614,2006,,0.0,,,,-0.728,-0.007,,,,,0.0,0.0,0.127,0.023,0.0,0.0,0.023,0.0,0.0,,9273.214,,,,18.085,210.651,18.085,0.023,210.651,0.0,0.0,,,,0.0,0.0,1164.78,109000.0,1.011,210.651,18.085,0.0,0.0,,0.0,0.0
