,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13628,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,2008.532,,,,,,,,,,,,,,,,,156000.0,0.313,,,,,,,
13629,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2008.532,,,,,,,,,,,,,,,,,156000.0,0.313,,,,,,,
13630,1982,,0.0,,,,98.176,0.308,,,,,0.0,0.0,,,,,,,,,3955.081,,,,,,,,,,,,,,,,,157000.0,0.621,,,,,,,
13631,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3930.048,,,,,,,,,,,,,,,,,158000.0,0.621,,,,,,,
13632,1984,,0.0,,,,1.841,0.011,,,,,0.0,0.0,,,,,,,,,3977.209,,,,,,,,,,,,,,,,,159000.0,0.632,,,,,,,
13633,1985,,0.0,,,,0.452,0.003,,,,,0.0,0.0,,,,,,,,,3970.209,,,,,,,,,,,,,,,,,160000.0,0.635,,,,,,,
13634,1986,,0.0,,,,-25.433,-0.162,,,,,0.0,0.0,,,,,,,,,2942.06,,,,,,,,,,,,,,,,,161000.0,0.474,,,,,,,
13635,1987,,0.0,,,,-1.206,-0.006,,,,,0.0,0.0,,,,,,,,,2906.568,,,,,,,,,,,,,,,,,161000.0,0.468,,,,,,,
13636,1988,,0.0,,,,0.244,0.001,,,,,0.0,0.0,,,,,,,,,2913.655,,,,,,,,,,,,,,,,,161000.0,0.469,,,,,,,
13637,1989,,0.0,,,,26.259,0.123,,,,,0.0,0.0,,,,,,,,,3656.044,,,,,,,,,,,,,,,,,162000.0,0.592,,,,,,,
13638,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3633.615,,,,,,,,,,,,,,,,,163000.0,0.592,,,,,,,
13639,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3611.458,,,,,,,,,,,,,,,,,164000.0,0.592,,,,,,,
13640,1992,,0.0,,,,-6.862,-0.041,,,,,0.0,0.0,,,,,,,,,3343.243,,,,,,,,,,,,,,,,,165000.0,0.552,,,,,,,
13641,1993,,0.0,,,,9.958,0.055,,,,,0.0,0.0,,,,,,,,,3632.125,,,,,,,,,,,,,,,,,167000.0,0.607,,,,,,,
13642,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3589.141,,,,,,,,,,,,,,,,,169000.0,0.607,,,,,,,
13643,1995,,0.0,,,,0.471,0.003,,,,,0.0,0.0,,,,,,,,,3584.836,,,,,,,,,,,,,,,,,170000.0,0.609,,,,,,,
13644,1996,,0.0,,,,2.116,0.013,,,,,0.0,0.0,,,,,,,,,3639.279,,,,,,,,,,,,,,,,,171000.0,0.622,,,,,,,
13645,1997,,0.0,,,,1.142,0.007,,,,,0.0,0.0,,,,,,,,,3659.43,,,,,,,,,,,,,,,,,172000.0,0.629,,,,,,,
13646,1998,,0.0,,,,2.27,0.014,,,,,0.0,0.0,,,,,,,,,3720.854,,,,,,,,,,,,,,,,,173000.0,0.644,,,,,,,
13647,1999,,0.0,,,,2.219,0.014,,,,,0.0,0.0,,,,,,,,,3781.572,,,,,,,,,,,,,,,,,174000.0,0.658,,,,,,,
13648,2000,,0.0,,,,21.145,0.139,,,,,0.0,0.0,0.088,0.035,0.0,0.0,0.035,0.0,0.0,,4581.189,,,,39.773,201.149,39.773,0.035,201.149,0.0,0.0,,,,0.0,0.0,505.747,174000.0,0.797,201.149,39.773,0.0,0.0,,0.0,0.0
13649,2001,,0.0,,,,8.398,0.067,,,,,0.0,0.0,0.105,0.048,0.0,0.0,0.048,0.0,0.0,,4937.555,,,,45.714,274.286,45.714,0.048,274.286,0.0,0.0,,,,0.0,0.0,600.0,175000.0,0.864,274.286,45.714,0.0,0.0,,0.0,0.0
13650,2002,,0.0,,,,6.115,0.053,,,,,0.0,0.0,0.121,0.062,0.0,0.0,0.062,0.0,0.0,,5209.7,,,,51.24,352.273,51.24,0.062,352.273,0.0,0.0,,,,0.0,0.0,687.5,176000.0,0.917,352.273,51.24,0.0,0.0,,0.0,0.0
13651,2003,,0.0,,,,0.211,0.002,,,,,0.0,0.0,0.11,0.054,0.0,0.0,0.054,0.0,0.0,,5191.201,,,,49.091,305.085,49.091,0.054,305.085,0.0,0.0,,,,0.0,0.0,621.469,177000.0,0.919,305.085,49.091,0.0,0.0,,0.0,0.0
13652,2004,,0.0,,,,-0.9,-0.008,,,,,0.0,0.0,0.102,0.05,0.0,0.0,0.05,0.0,0.0,,5086.986,,,,49.02,279.33,49.02,0.05,279.33,0.0,0.0,,,,0.0,0.0,569.832,179000.0,0.911,279.33,49.02,0.0,0.0,,0.0,0.0
13653,2005,,0.0,,,,2.538,0.023,,,,,0.0,0.0,0.105,0.05,0.0,0.0,0.05,0.0,0.0,,5187.113,,,,47.619,277.778,47.619,0.05,277.778,0.0,0.0,,,,0.0,0.0,583.333,180000.0,0.934,277.778,47.619,0.0,0.0,,0.0,0.0
