,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13668,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.662,1641.377,,,,,,,,,,,,,,,,,96000.0,0.158,,,,,238196000.0,,
13669,1981,,0.0,,,,-0.186,0.0,,,,,0.0,0.0,,,,,,,,0.739,1604.887,,,,,,,,,,,,,,,,,98000.0,0.157,,,,,212832000.0,,
13670,1982,,0.0,,,,1.817,0.003,,,,,0.0,0.0,,,,,,,,0.721,1617.536,,,,,,,,,,,,,,,,,99000.0,0.16,,,,,221970000.0,,
13671,1983,,0.0,,,,-3.568,-0.006,,,,,0.0,0.0,,,,,,,,0.724,1528.928,,,,,,,,,,,,,,,,,101000.0,0.154,,,,,213200000.0,,
13672,1984,,0.0,,,,3.89,0.006,,,,,0.0,0.0,,,,,,,,0.769,1557.567,,,,,,,,,,,,,,,,,103000.0,0.16,,,,,208692000.0,,
13673,1985,,0.0,,,,2.743,0.004,,,,,0.0,0.0,,,,,,,,0.781,1569.803,,,,,,,,,,,,,,,,,105000.0,0.165,,,,,211120000.0,,
13674,1986,,0.0,,,,-8.112,-0.013,,,,,0.0,0.0,,,,,,,,0.74,1415.504,,,,,,,,,,,,,,,,,107000.0,0.151,,,,,204792000.0,,
13675,1987,,0.0,,,,1.886,0.003,,,,,0.0,0.0,,,,,,,,0.778,1402.873,,,,,,,,,,,,,,,,,110000.0,0.154,,,,,198380000.0,,
13676,1988,,0.0,,,,0.214,0.0,,,,,0.0,0.0,,,,,,,,0.783,1368.547,,,,,,,,,,,,,,,,,113000.0,0.155,,,,,197468992.0,,
13677,1989,,0.0,,,,-0.213,0.0,,,,,0.0,0.0,,,,,,,,0.669,1330.311,,,,,,,,,,,,,,,,,116000.0,0.154,,,,,230520000.0,,
