,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13708,1965,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,3.896,48542.473,6.004,,,,,,,,,,229.136,1289.115,266126.15,,,,4844000.0,235.14,,,,,60349583360.0,,
13709,1966,,,,17.964,231.58,1.353,3.182,0.0,0.0,0.0,0.0,,,,,,,,,,3.43,47521.792,7.22,,,,,,,,,,231.102,1520.695,303229.257,,,,5015000.0,238.322,,,,,69478178816.0,,
13710,1967,,,,7.878,119.807,1.445,3.443,0.0,0.0,0.0,0.0,,,,,,,,,,3.182,46538.033,8.697,,,,,,,,,,233.068,1640.501,315784.675,,,,5195000.0,241.765,,,,,75972214784.0,,
13711,1968,,,,9.156,150.197,1.552,3.753,0.0,0.0,0.0,0.0,,,,,,,,,,2.952,45567.603,10.46,,,,,,,,,,235.059,1790.699,332349.459,,,,5388000.0,245.518,,,,,83159998464.0,,
13712,1969,,,,5.53,99.021,1.688,4.145,0.0,0.0,0.0,0.0,,,,,,,,,,2.774,44582.673,12.592,,,,,,,,,,237.071,1889.72,337450.038,,,,5600000.0,249.663,,,,,89987727360.0,,
13713,1970,,,,18.077,341.606,5.284,13.193,0.0,0.0,0.0,0.0,,,,,,,,,,2.658,45040.381,15.362,15.362,2632.199,,,,,,,,247.494,2231.326,382338.313,,,,5836000.0,262.856,,,,,98904711168.0,,
13714,1971,,,-2.546,25.302,564.57,0.158,0.416,0.0,0.0,0.0,0.0,,,,,,,,,,2.289,43152.288,12.816,12.816,2100.559,,,,,,,,250.457,2795.896,458268.544,,,,6101000.0,263.272,,,,,115000000000.0,,
13715,1972,,,1.71,26.345,736.583,7.178,18.897,0.0,0.0,0.0,0.0,,,,,,,,,,2.075,44137.227,14.526,14.526,2272.096,,,,,,,,267.644,3532.48,552554.336,,,,6393000.0,282.169,,,,,136000000000.0,,
13716,1973,,,2.575,26.224,926.36,6.674,18.831,0.0,0.0,0.0,0.0,,,,,,,,,,2.352,44845.142,17.1,17.1,2547.678,,,,,,,,283.901,4458.84,664308.655,,,,6712000.0,301.001,,,,,128000000000.0,,
13717,1974,,,4.541,11.883,529.845,6.097,18.353,0.0,0.0,0.0,0.0,,,,,,,,,,1.55,45266.34,21.641,21.641,3067.472,,,,,,,,297.713,4988.684,707113.308,,,,7055000.0,319.354,,,,,206000000000.0,,
