,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13763,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.238,1943.981,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5583000.0,10.853,,,,,8767304704.0,,
13764,1981,,0.0,0.0,,0.0,-2.703,-0.293,,,,,0.0,0.0,,,,,,,,1.166,1839.706,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5740000.0,10.56,,,,,9059615744.0,,
13765,1982,,0.0,0.0,,0.0,2.778,0.293,,,,,0.0,0.0,,,,,,,,1.009,1836.421,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5910000.0,10.853,,,,,10760479744.0,,
13766,1983,,0.0,0.0,,0.0,-5.405,-0.587,,,,,0.0,0.0,,,,,,,,0.878,1685.81,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6090000.0,10.267,,,,,11687114752.0,,
13767,1984,,0.0,0.0,,0.0,20.0,2.053,,,,,0.0,0.0,,,,,,,,1.027,1962.705,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6277000.0,12.32,,,,,11995724800.0,,
13768,1985,,0.0,0.0,,0.0,-2.381,-0.293,,,,,0.0,0.0,,,,,,,,0.901,1858.533,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6471000.0,12.027,,,,,13346095104.0,,
13769,1986,,0.0,0.0,,0.0,-2.462,-0.296,,,,,0.0,0.0,,,,,,,,0.835,1758.434,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6671000.0,11.731,,,,,14043020288.0,,
13770,1987,,0.0,0.0,,0.0,1.207,0.142,,,,,0.0,0.0,,,,,,,,0.825,1726.598,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6876000.0,11.872,,,,,14396920832.0,,
13771,1988,,0.0,0.0,,0.0,-14.281,-1.695,,,,,0.0,0.0,,,,,,,,0.675,1435.96,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7087000.0,10.177,,,,,15079300096.0,,
13772,1989,,0.0,0.0,,0.0,3.377,0.344,,,,,0.0,0.0,,,,,,,,0.712,1440.356,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7304000.0,10.52,,,,,14779759616.0,,
13773,1990,,0.0,0.0,,0.0,1.103,0.116,,,,,0.0,0.0,,,,,,,,0.697,1413.289,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7526000.0,10.636,,,,,15265907712.0,,
13774,1991,,0.0,0.0,,0.0,-7.678,-0.817,,,,,0.0,0.0,,,,,,,,0.634,1266.086,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7756000.0,9.82,,,,,15487675392.0,,
13775,1992,,0.0,0.0,,0.0,21.171,2.079,,,,,0.0,0.0,,,,,,,,0.772,1489.203,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7990000.0,11.899,,,,,15419424768.0,,
13776,1993,,0.0,0.186,,0.0,4.273,0.508,,,,,0.0,0.0,,,,,,,,0.796,1508.098,,0.186,22.639,,,,,,,,,0.0,0.0,,,,8227000.0,12.407,,,,,15578192896.0,,
13777,1994,,0.0,0.186,,0.0,20.636,2.56,,,,,0.0,0.0,,,,,,,,0.979,1769.0,,0.372,43.946,,,,,,,,,0.0,0.0,,,,8461000.0,14.968,,,,,15294239744.0,,
13778,1995,,0.0,0.095,,0.0,8.239,1.233,,,,,0.0,0.0,,,,,,,,1.02,1864.288,,0.467,53.712,,,,,,,,,0.0,0.0,,,,8690000.0,16.201,,,,,15883143168.0,,
13779,1996,,0.0,0.092,,0.0,0.852,0.138,,,,,0.0,0.0,,,,,,,,0.995,1833.136,,0.559,62.691,,,,,,,,,0.0,0.0,,,,8913000.0,16.339,,,,,16415685632.0,,
13780,1997,,0.0,-0.186,,0.0,-8.659,-1.415,,,,,0.0,0.0,,,,,,,,0.89,1634.421,,0.373,40.796,,,,,,,,,0.0,0.0,,,,9131000.0,14.924,,,,,16768564224.0,,
13781,1998,,0.0,0.0,,0.0,6.402,0.956,,,,,0.0,0.0,,,,,,,,0.911,1698.695,,0.373,39.849,,,,,,,,,0.0,0.0,,,,9348000.0,15.879,,,,,17426640896.0,,
