,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13803,1992,,,,,,,,,,,,99.657,10272.841,,,,,,,,4.253,19681.98,,9.175,945.825,,,,,,,,,14.379,1482.168,,,,9701000.0,190.935,,,,,44896641024.0,,
13804,1993,-4.528,-4.512,1.258,-0.273,-0.039,-16.922,-32.311,,,,,95.145,9713.598,,,,,,,,5.227,16194.4,,10.434,1065.209,,,,,,,,,14.339,1463.933,,,,9795000.0,158.624,,,,,30349019136.0,,
13805,1994,-8.479,-8.067,-1.896,10.842,1.555,0.548,0.87,,,,,87.077,8829.586,,,,,,,,5.109,16172.56,,8.538,865.735,,,,,,,,,15.894,1611.634,,,,9862000.0,159.494,,,,,31215570944.0,,
13806,1995,-20.603,-17.941,1.29,-7.845,-1.247,-14.571,-23.24,,,,,69.137,6994.796,,,,,,,,3.97,13785.316,,9.828,994.311,,,,,,,,,14.647,1481.894,,,,9884000.0,136.254,,,,,34324529152.0,,
13807,1996,60.103,41.553,-2.55,0.274,0.04,57.88,78.864,,,,,110.69,11230.717,,,,,,,,3.771,21826.059,,7.278,738.39,,,,,,,,,14.687,1490.176,,,,9856000.0,215.118,,,,,57051205632.0,,
13808,1997,0.951,1.052,0.184,-8.763,-1.287,2.084,4.483,,,,,111.742,11419.762,,,,,,,,3.347,22442.553,,7.462,762.591,,,,,,,,,13.4,1369.459,,,,9785000.0,219.6,,,,,65617657856.0,,
13809,1998,2.6,2.905,2.755,-9.305,-1.247,2.693,5.914,,,,,114.648,11837.673,,,,,,,,3.035,23284.891,,10.217,1054.91,,,,,,,,,12.153,1254.854,,,,9685000.0,225.514,,,,,74293125120.0,,
13810,1999,-25.011,-28.674,-2.852,0.0,0.0,-20.328,-45.842,,,,,85.973,8973.326,,,,,,,,2.81,18752.978,,7.364,768.64,,,,,,,,,12.153,1268.475,,,,9581000.0,179.672,,,,,63929774080.0,,
13811,2000,12.189,10.479,-1.475,-10.014,-1.217,-1.137,-2.043,,,,,96.452,10165.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.517,18721.487,,5.889,620.711,,0.0,,0.0,0.0,,0.0,,10.936,1152.641,0.0,,0.0,9488000.0,177.629,0.0,,,0.0,70572097536.0,,0.0
13812,2001,-2.106,-2.031,0.64,-5.974,-0.653,6.077,10.795,,,,,94.421,10033.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.773,20021.705,,6.529,693.785,,0.0,,0.0,0.0,,0.0,,10.283,1092.65,0.0,,0.0,9411000.0,188.424,0.0,,,0.0,67947266048.0,,0.0
13813,2002,5.847,5.521,-0.022,-6.063,-0.623,12.043,22.692,,,,,99.943,10693.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.955,22588.891,,6.508,696.289,,0.0,,0.0,0.0,,0.0,,9.659,1033.542,0.0,,0.0,9346000.0,211.116,0.0,,,0.0,71438802944.0,,0.0
13814,2003,4.824,4.821,-2.928,-3.227,-0.312,0.11,0.232,,,,,104.764,11274.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.806,22745.149,,3.579,385.185,,0.0,,0.0,0.0,,0.0,,9.348,1006.001,0.0,,0.0,9292000.0,211.348,0.0,,,0.0,75324211200.0,,0.0
13815,2004,2.246,2.353,-0.976,-3.07,-0.287,4.216,8.911,,,,,107.116,11588.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,23829.858,,2.603,281.619,,0.0,,0.0,0.0,,0.0,,9.061,980.287,0.0,,0.0,9243000.0,220.259,0.0,,,0.0,77297115136.0,,0.0
13816,2005,-11.712,-12.546,0.108,-6.042,-0.547,-3.657,-8.055,,,,,94.571,10286.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.418,23080.754,,2.711,294.917,,0.0,,0.0,0.0,,0.0,,8.513,925.97,0.0,,0.0,9194000.0,212.204,0.0,,,0.0,87761117184.0,,0.0
13817,2006,-7.682,-7.265,-0.658,11.609,0.988,-7.425,-15.757,,,,,87.306,9545.828,34.84,10.855,0.0,0.0,10.855,0.0,0.0,2.101,21479.031,,2.053,224.486,31.157,1186.858,31.157,10.855,1186.858,0.0,0.0,,9.502,1038.888,0.0,0.0,3809.316,9146000.0,196.447,1186.858,31.157,0.0,0.0,93483180032.0,0.0,0.0
13818,2007,-4.193,-3.661,,0.0,,-0.424,-0.833,,0.0,0.0,,83.645,9190.794,34.859,9.937,0.0,0.0,9.937,0.0,0.0,2.039,21493.662,,,,28.506,1091.858,28.506,9.937,1091.858,0.0,0.0,,,,0.0,0.0,3830.263,9101000.0,195.614,1091.858,28.506,0.0,0.0,95941296128.0,0.0,0.0
13819,2008,4.089,3.421,,0.0,,-0.742,-1.451,0.0,0.0,0.0,,87.066,9609.937,35.099,9.468,0.0,0.0,9.468,0.0,0.0,1.832,21430.731,,,,26.975,1045.033,26.975,9.468,1045.033,0.0,0.0,,,,0.0,0.0,3874.06,9060000.0,194.162,1045.033,26.975,0.0,0.0,106000000000.0,0.0,0.0
13820,2009,-0.93,-0.809,,0.0,,-1.886,-3.662,0.0,0.0,0.0,,86.257,9559.649,35.983,10.436,0.0,0.0,10.436,0.0,0.0,1.78,21112.733,,,,29.002,1156.6,29.002,10.436,1156.6,0.0,0.0,,,,0.0,0.0,3987.955,9023000.0,190.5,1156.6,29.002,0.0,0.0,107000000000.0,0.0,0.0
13821,2010,-2.275,-1.963,,0.0,,1.849,3.523,0.0,0.0,0.0,,84.294,9375.382,35.772,11.772,0.0,0.0,11.772,0.0,0.0,1.813,21579.742,,,,32.908,1309.309,32.908,11.772,1309.309,0.0,0.0,,,,0.0,0.0,3978.654,8991000.0,194.023,1309.309,32.908,0.0,0.0,107000000000.0,0.0,0.0
13822,2011,7.828,6.598,,0.0,,1.773,3.44,0.0,0.0,0.0,,90.892,10139.713,36.176,8.58,0.0,0.0,8.58,0.0,0.0,1.779,22028.504,,,,23.718,957.162,23.718,8.58,957.162,0.0,0.0,,,,0.0,0.0,4035.651,8964000.0,197.464,957.162,23.718,0.0,0.0,111000000000.0,0.0,0.0
13823,2012,-6.319,-5.743,,0.0,,-4.036,-7.969,0.0,0.0,0.0,,85.149,9524.505,34.466,9.193,0.0,0.007,9.2,0.0,0.0,1.62,21196.271,,,,26.672,1028.3,26.693,9.2,1029.083,0.0,0.0,,,,0.783,0.02,3855.286,8940000.0,189.495,1029.083,26.693,0.0,0.0,117000000000.0,0.0,0.0
13824,2013,5.474,4.661,,0.0,,1.368,2.592,0.0,0.0,0.0,,89.81,10069.54,37.388,10.101,0.0,0.021,10.125,0.002,0.001,1.628,21536.787,,,,27.017,1132.526,27.081,10.125,1135.217,0.0,0.0,,,,2.355,0.056,4191.93,8919000.0,192.087,1135.217,27.081,0.005,0.224,118000000000.0,0.003,0.112
13825,2014,-25.884,-23.247,,0.0,,-13.338,-25.621,0.0,0.0,0.0,,66.564,7480.734,31.992,10.893,0.0,0.025,10.925,0.006,0.001,1.411,18708.168,,,,34.049,1224.208,34.149,10.925,1227.804,0.0,0.0,,,,2.81,0.078,3595.446,8898000.0,166.465,1227.804,34.149,0.019,0.674,118000000000.0,0.003,0.112
13826,2015,26.521,17.653,,0.0,,11.608,19.323,0.0,0.0,0.0,,84.217,9487.061,35.846,9.979,0.0,0.027,10.018,0.011,0.001,1.561,20929.168,,,,27.838,1124.141,27.947,10.018,1128.534,0.0,0.0,,,,3.042,0.075,4038.119,8877000.0,185.788,1128.534,27.947,0.031,1.239,119000000000.0,0.003,0.113
13827,2016,0.258,0.217,,0.0,,2.378,4.417,0.0,0.0,0.0,,84.434,9536.231,36.841,10.684,0.0,0.038,10.76,0.012,0.026,1.559,21482.462,,,,29.0,1206.686,29.206,10.76,1215.27,0.0,0.0,,,,4.292,0.103,4160.971,8854000.0,190.206,1215.27,29.206,0.033,1.355,122000000000.0,0.071,2.937
13828,2017,0.009,0.007,,0.0,,,,0.0,0.0,0.0,,84.441,9562.969,34.725,9.061,0.0,0.079,9.201,0.013,0.048,,,,,,26.094,1026.161,26.497,9.201,1042.016,0.0,0.0,,,,8.947,0.228,3932.596,8830000.0,,1042.016,26.497,0.037,1.472,,0.138,5.436
13829,2018,-8.485,-7.165,,0.0,,,,0.0,0.0,0.0,,77.276,8778.404,35.02,10.533,0.0,0.107,10.803,0.013,0.15,,,,,,30.076,1196.48,30.847,10.803,1227.151,0.0,0.0,,,,12.155,0.306,3978.17,8803000.0,,1227.151,30.847,0.037,1.477,,0.428,17.04
13830,2019,3.384,2.615,,0.0,,,,0.0,0.0,0.0,,79.891,9107.535,34.728,10.07,0.0,0.116,11.048,0.014,0.848,,,,,,28.997,1148.003,31.813,11.048,1259.494,0.0,0.0,,,,13.224,0.334,3959.011,8772000.0,,1259.494,31.813,0.04,1.596,,2.442,96.671
13831,2020,,,,,,,,,,,,,,35.524,9.632,0.0,0.167,10.66,0.014,0.848,,,,,,27.112,1415.446,30.008,10.66,1566.625,0.0,0.0,,,,24.499,0.469,5220.662,,,1566.625,30.008,0.039,2.057,,2.387,124.622
