,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13832,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.139,13333.226,,,,,,,,,,,,,,,,,66000.0,0.88,,,,,772416000.0,,
13833,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.252,13134.223,,,,,,,,,,,,,,,,,67000.0,0.88,,,,,702715008.0,,
13834,1982,,0.0,,,,-33.333,-0.293,,,,,0.0,0.0,,,,,,,,0.938,8627.381,,,,,,,,,,,,,,,,,68000.0,0.587,,,,,625299968.0,,
13835,1983,,0.0,,,,100.0,0.587,,,,,0.0,0.0,,,,,,,,1.755,17004.693,,,,,,,,,,,,,,,,,69000.0,1.173,,,,,668513984.0,,
13836,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.623,17004.693,,,,,,,,,,,,,,,,,69000.0,1.173,,,,,722897984.0,,
13837,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.594,16761.769,,,,,,,,,,,,,,,,,70000.0,1.173,,,,,736062016.0,,
13838,1986,,0.0,,,,6.257,0.073,,,,,0.0,0.0,,,,,,,,1.681,17810.579,,,,,,,,,,,,,,,,,70000.0,1.247,,,,,741744000.0,,
13839,1987,,0.0,,,,5.609,0.07,,,,,0.0,0.0,,,,,,,,1.515,18809.573,,,,,,,,,,,,,,,,,70000.0,1.317,,,,,869176000.0,,
13840,1988,,0.0,,,,47.637,0.627,,,,,0.0,0.0,,,,,,,,2.188,27769.903,,,,,,,,,,,,,,,,,70000.0,1.944,,,,,888582016.0,,
13841,1989,,0.0,,,,4.058,0.079,,,,,0.0,0.0,,,,,,,,2.067,28896.941,,,,,,,,,,,,,,,,,70000.0,2.023,,,,,978460032.0,,
13842,1990,,0.0,,,,-10.689,-0.216,,,,,0.0,0.0,,,,,,,,1.869,25444.692,,,,,,,,,,,,,,,,,71000.0,1.807,,,,,966523008.0,,
13843,1991,,0.0,,,,13.385,0.242,,,,,0.0,0.0,,,,,,,,1.97,28850.453,,,,,,,,,,,,,,,,,71000.0,2.048,,,,,1039680000.0,,
13844,1992,,0.0,,,,-0.848,-0.017,,,,,0.0,0.0,,,,,,,,2.002,27822.116,,,,,,,,,,,,,,,,,73000.0,2.031,,,,,1014481024.0,,
13845,1993,,0.0,,,,2.804,0.057,,,,,0.0,0.0,,,,,,,,1.907,28215.749,,,,,,,,,,,,,,,,,74000.0,2.088,,,,,1095073024.0,,
13846,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.793,27839.539,,,,,,,,,,,,,,,,,75000.0,2.088,,,,,1164242048.0,,
13847,1995,,0.0,,,,3.523,0.074,,,,,0.0,0.0,,,,,,,,2.08,28071.808,,,,,,,,,,,,,,,,,77000.0,2.162,,,,,1039049984.0,,
13848,1996,,0.0,,,,0.266,0.006,,,,,0.0,0.0,,,,,,,,2.294,27785.642,,,,,,,,,,,,,,,,,78000.0,2.167,,,,,944755968.0,,
13849,1997,,0.0,,,,5.918,0.128,,,,,0.0,0.0,,,,,,,,2.036,29430.036,,,,,,,,,,,,,,,,,78000.0,2.296,,,,,1127459968.0,,
13850,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.861,29057.503,,,,,,,,,,,,,,,,,79000.0,2.296,,,,,1233693952.0,,
13851,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.74,28694.35,,,,,,,,,,,,,,,,,80000.0,2.296,,,,,1319058048.0,,
13852,2000,,0.0,,,,63.982,1.469,,,,,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,2.837,46472.627,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2197.531,81000.0,3.764,0.0,0.0,0.0,0.0,1326726016.0,0.0,0.0
13853,2001,,0.0,,,,7.57,0.285,,,,,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,3.481,49381.082,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2195.122,82000.0,4.049,0.0,0.0,0.0,0.0,1163200000.0,0.0,0.0
13854,2002,,0.0,,,,-12.922,-0.523,,,,,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,2.844,41976.465,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2440.476,84000.0,3.526,0.0,0.0,0.0,0.0,1239867008.0,0.0,0.0
13855,2003,,0.0,,,,-0.246,-0.009,,,,,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,2.653,40899.394,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2441.86,86000.0,3.517,0.0,0.0,0.0,0.0,1325858048.0,0.0,0.0
13856,2004,,0.0,,,,39.573,1.392,,,,,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,3.697,56428.485,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2436.782,87000.0,4.909,0.0,0.0,0.0,0.0,1328082944.0,0.0,0.0
13857,2005,,0.0,,,,-8.911,-0.437,,,,,0.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0,0.0,3.042,50245.218,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2438.202,89000.0,4.472,0.0,0.0,0.0,0.0,1470083968.0,0.0,0.0
13858,2006,,0.0,,,,6.243,0.279,,,,,0.0,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,2.782,52788.681,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2633.333,90000.0,4.751,0.0,0.0,0.0,0.0,1707650048.0,0.0,0.0
13859,2007,,0.0,,,,-17.788,-0.845,,,,,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,0.0,1.919,43398.852,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2833.333,90000.0,3.906,0.0,0.0,0.0,0.0,2035104000.0,0.0,0.0
13860,2008,,0.0,,,,9.009,0.352,,,,,0.0,0.0,0.253,0.0,0.0,0.0,0.0,0.0,0.0,2.684,47308.723,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2811.111,90000.0,4.258,0.0,0.0,0.0,0.0,1586531968.0,0.0,0.0
13861,2009,,0.0,,,,9.002,0.383,,,,,0.0,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0.0,2.207,51000.842,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2846.154,91000.0,4.641,0.0,0.0,0.0,0.0,2102529024.0,0.0,0.0
13862,2010,,0.0,,,,-9.566,-0.444,,,,,0.0,0.0,0.283,0.0,0.0,0.0,0.0,0.0,0.0,2.408,46122.093,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3109.89,91000.0,4.197,0.0,0.0,0.0,0.0,1743280000.0,0.0,0.0
13863,2011,,0.0,,,,-14.136,-0.593,,,,,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.0,1.879,39171.773,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4097.826,92000.0,3.604,0.0,0.0,0.0,0.0,1917505024.0,0.0,0.0
13864,2012,,0.0,,,,15.065,0.543,,,,,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,2.102,44588.256,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4193.548,93000.0,4.147,0.0,0.0,0.0,0.0,1972979968.0,0.0,0.0
13865,2013,,0.0,,,,-9.663,-0.401,,,,,0.0,0.0,0.409,0.0,0.0,0.0,0.007,0.0,0.007,1.864,40279.741,,,,0.0,0.0,1.711,0.007,75.269,0.0,0.0,,,,0.0,0.0,4397.849,93000.0,3.746,75.269,1.711,0.0,0.0,2009371008.0,1.711,75.269
13866,2014,,0.0,,,,16.87,0.632,,,,,0.0,0.0,0.419,0.0,0.0,0.0,0.008,0.001,0.007,2.102,46574.247,,,,0.0,0.0,1.909,0.008,85.106,0.0,0.0,,,,0.0,0.0,4457.447,94000.0,4.378,85.106,1.909,0.239,10.638,2082880000.0,1.671,74.468
13867,2015,,0.0,,,,3.604,0.158,,,,,0.0,0.0,0.436,0.0,0.0,0.0,0.009,0.002,0.007,2.056,47744.965,,,,0.0,0.0,2.064,0.009,94.737,0.0,0.0,,,,0.0,0.0,4589.474,95000.0,4.536,94.737,2.064,0.459,21.053,2206528000.0,1.606,73.684
13868,2016,,0.0,,,,0.603,0.027,,,,,0.0,0.0,0.411,0.0,0.0,0.0,0.002,0.002,0.0,1.974,47532.375,,,,0.0,0.0,0.487,0.002,20.833,0.0,0.0,,,,0.0,0.0,4281.25,96000.0,4.563,20.833,0.487,0.487,20.833,2311608064.0,0.0,0.0
13869,2017,,,,,,,,,,,,,,0.427,0.0,0.0,0.0,0.003,0.003,0.0,,,,,,0.0,0.0,0.703,0.003,31.25,0.0,0.0,,,,0.0,0.0,4447.917,96000.0,,31.25,0.703,0.703,31.25,,0.0,0.0
13870,2018,,,,,,,,,,,,,,0.433,0.0,0.0,0.0,0.005,0.005,0.0,,,,,,0.0,0.0,1.155,0.005,51.546,0.0,0.0,,,,0.0,0.0,4463.918,97000.0,,51.546,1.155,1.155,51.546,,0.0,0.0
13871,2019,,,,,,,,,,,,,,0.433,0.0,0.0,0.0,0.005,0.005,0.0,,,,,,0.0,0.0,1.154,0.005,51.02,0.0,0.0,,,,0.0,0.0,4421.769,98000.0,,51.02,1.154,1.154,51.02,,0.0,0.0
