,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13872,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.552,952.373,,,,,,,,,,,,,,,,,3388000.0,3.227,,,,,5849589760.0,,
13873,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.544,931.478,,,,,,,,,,,,,,,,,3464000.0,3.227,,,,,5929686016.0,,
13874,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.549,911.48,,,,,,,,,,,,,,,,,3540000.0,3.227,,,,,5874624000.0,,
13875,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.565,891.337,,,,,,,,,,,,,,,,,3620000.0,3.227,,,,,5712606208.0,,
13876,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.556,870.184,,,,,,,,,,,,,,,,,3708000.0,3.227,,,,,5800422912.0,,
13877,1985,,0.0,,,,9.091,0.293,,,,,0.0,0.0,,,,,,,,0.61,925.091,,,,,,,,,,,,,,,,,3805000.0,3.52,,,,,5769273856.0,,
13878,1986,,0.0,,,,3.369,0.119,,,,,0.0,0.0,,,,,,,,0.641,928.912,,,,,,,,,,,,,,,,,3917000.0,3.639,,,,,5680500224.0,,
13879,1987,,0.0,,,,9.576,0.348,,,,,0.0,0.0,,,,,,,,0.67,987.366,,,,,,,,,,,,,,,,,4038000.0,3.987,,,,,5949660160.0,,
13880,1988,,0.0,,,,8.802,0.351,,,,,0.0,0.0,,,,,,,,0.7,1043.517,,,,,,,,,,,,,,,,,4157000.0,4.338,,,,,6198016000.0,,
13881,1989,,0.0,,,,-2.754,-0.119,,,,,0.0,0.0,,,,,,,,0.65,991.643,,,,,,,,,,,,,,,,,4254000.0,4.218,,,,,6490208256.0,,
