,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13912,1965,,,,,,,,,0.0,0.0,0.047,,,,,,,,,,9.313,25499.491,0.0,,,,,,,,,,47.842,,,,,,1878000.0,47.888,,,,,5142074880.0,,
13913,1966,,,,,,14.316,6.856,0.0,0.0,0.0,0.058,,,,,,,,,,9.605,28527.237,0.0,,,,,,,,,,54.686,,,,,,1919000.0,54.744,,,,,5699497984.0,,
13914,1967,,,,,,20.116,11.012,0.0,0.0,0.0,0.035,,,,,,,,,,10.27,33566.141,0.0,,,,,,,,,,65.721,,,,,,1959000.0,65.756,,,,,6402785792.0,,
13915,1968,,,,,,24.3,15.979,0.0,0.0,0.0,0.07,,,,,,,,,,11.237,40928.695,0.0,,,,,,,,,,81.665,,,,,,1997000.0,81.735,,,,,7273379840.0,,
13916,1969,,,,,,-1.732,-1.416,0.0,0.0,0.0,0.035,,,,,,,,,,9.71,39468.59,0.0,,,,,,,,,,80.284,,,,,,2035000.0,80.319,,,,,8272107008.0,,
13917,1970,,,,,,8.574,6.887,0.0,0.0,0.0,0.035,,,,,,,,,,9.257,42087.569,0.0,,,,,,,,,,87.171,,,,,,2072000.0,87.205,,,,,9420499968.0,,
13918,1971,,,,,,-13.196,-11.508,0.0,0.0,0.0,0.046,,,,,,,,,,7.169,35858.804,0.0,,,,,,,,,,75.652,,,,,,2111000.0,75.698,,,,,10558660608.0,,
13919,1972,,,,,,25.218,19.09,0.0,0.0,0.0,0.035,,,,,,,,,,7.911,44087.285,0.0,,,,,,,,,,94.753,,,,,,2150000.0,94.788,,,,,11982336000.0,,
13920,1973,,,,,,-5.761,-5.461,0.0,0.0,0.0,0.05,,,,,,,,,,6.707,40788.444,0.0,,,,,,,,,,89.276,,,,,,2190000.0,89.327,,,,,13318088704.0,,
13921,1974,,,,,,-1.42,-1.268,0.0,0.0,0.0,0.062,,,,,,,,,,6.209,39559.115,0.0,,,,,,,,,,87.997,,,,,,2226000.0,88.059,,,,,14182800384.0,,
13922,1975,,,,,,-2.354,-2.073,0.0,0.0,0.0,0.015,,,,,,,,,,5.796,38046.917,0.0,,,,,,,,,,85.971,,,,,,2260000.0,85.986,,,,,14836228096.0,,
13923,1976,,,,,,18.615,16.006,0.0,0.0,0.0,0.039,,,,,,,,,,6.401,44557.434,0.0,,,,,,,,,,101.953,,,,,,2289000.0,101.992,,,,,15934057472.0,,
13924,1977,,,,,,0.375,0.383,0.0,0.0,0.0,0.05,,,,,,,,,,5.977,44222.339,0.0,,,,,,,,,,102.324,,,,,,2315000.0,102.375,,,,,17128274944.0,,
13925,1978,,,,,,2.929,2.999,0.0,0.0,0.0,0.054,,,,,,,,,,5.658,45012.271,0.0,,,,,,,,,,105.32,,,,,,2341000.0,105.374,,,,,18624847872.0,,
