,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
13968,1965,,,,,,,,,0.0,0.0,70.231,,,,,,,,,,,24284.263,2.985,,,,,,,,,,27.047,,,,,,4383000.0,106.438,,,,,,,
13969,1966,,,,,,3.536,3.764,0.0,0.0,0.0,71.114,,,,,,,,,,,24943.851,3.32,,,,,,,,,,29.851,,,,,,4418000.0,110.202,,,,,,,
13970,1967,,,,,,0.576,0.635,0.0,0.0,0.0,68.573,,,,,,,,,,,24912.732,3.98,,,,,,,,,,33.213,,,,,,4449000.0,110.837,,,,,,,
13971,1968,,,,,,10.419,11.548,0.0,0.0,0.0,72.118,,,,,,,,,,,27336.385,8.912,,,,,,,,,,36.703,,,,,,4477000.0,122.385,,,,,,,
13972,1969,,,,,,4.492,5.498,0.0,0.0,0.0,75.856,,,,,,,,,,,28380.562,9.031,,,,,,,,,,39.374,,,,,,4506000.0,127.883,,,,,,,
13973,1970,,,,,,10.555,13.498,0.0,0.0,0.0,76.473,,,,,,,,,,,31148.089,12.128,,,,,,,,,,47.317,,,,,,4539000.0,141.381,,,,,,,
13974,1971,,,,,,7.267,10.275,0.0,0.0,0.0,80.224,,,,,,,,,,,33141.544,15.224,,,,,,,,,,52.108,,,,,,4576000.0,151.656,,,,,,,
13975,1972,,,,,,5.165,7.833,0.0,0.0,0.0,81.654,,,,,,,,,,,34551.333,16.532,,,,,,,,,,57.0,,,,,,4616000.0,159.489,,,,,,,
13976,1973,,,,,,4.061,6.477,0.0,0.0,0.0,79.398,,,,,,,,,,,35622.563,18.157,,,,,,,,,,64.094,,,,,,4659000.0,165.966,,,,,,,
13977,1974,,,,,,5.149,8.545,0.0,0.0,0.0,79.131,,,,,,,,,,,37090.485,22.136,,,,,,,,,,65.719,,,,,,4705000.0,174.511,,,,,,,
13978,1975,,,,,,4.702,8.205,0.0,0.0,0.0,78.793,,,,,,,,,,,38442.189,25.343,,,,,,,,,,72.499,,,,,,4753000.0,182.716,,,,,,,
13979,1976,,,,,,3.74,6.834,0.0,0.0,0.0,78.096,,,,,,,,,,,39473.075,27.979,,,,,,,,,,76.639,,,,,,4802000.0,189.55,,,,,,,
13980,1977,,,,,,5.092,9.652,0.0,0.0,0.0,80.212,,,,,,,,,,,41055.543,31.798,,,,,,,,,,80.185,,,,,,4852000.0,199.201,,,,,,,
13981,1978,,,,,,4.941,9.843,0.0,0.0,0.0,84.108,,,,,,,,,,,42636.077,35.63,,,,,,,,,,82.979,,,,,,4903000.0,209.045,,,,,,,
13982,1979,,,,,,2.861,5.981,0.0,0.0,0.0,82.724,,,,,,,,,,,43421.934,36.769,,,,,,,,,,84.335,,,,,,4952000.0,215.025,,,,,,,
13983,1980,,,,,,1.559,3.351,0.0,0.0,0.0,94.157,,,,,,,,,,,43701.543,26.953,,,,,,,,,,78.433,,,,,,4997000.0,218.377,,,,,,,
13984,1981,,,,,,-0.775,-1.693,0.0,0.0,0.0,91.633,,,,,,,,,,,43018.417,27.986,,,,,,,,,,77.346,,,,,,5037000.0,216.684,,,,,,,
13985,1982,,,,,,-1.072,-2.324,0.0,0.0,0.0,93.273,,,,,,,,,,,42246.73,29.223,,,,,,,,,,70.848,,,,,,5074000.0,214.36,,,,,,,
13986,1983,,,,,,0.272,0.584,0.0,0.0,0.0,93.401,,,,,,,,,,,42088.095,30.009,,,,,,,,,,69.362,,,,,,5107000.0,214.944,,,,,,,
13987,1984,,,,,,7.743,16.643,0.0,0.0,0.0,99.355,,,,,,,,,,,45073.264,34.059,,,,,,,,,,73.744,,,,,,5138000.0,231.586,,,,,,,
13988,1985,,,,,,3.084,7.141,0.0,0.0,0.0,98.564,,,22.506,2.117,9.382,0.0,2.117,0.0,0.0,3.231,46202.348,34.998,,,9.406,409.716,51.093,11.499,2225.469,41.687,1815.754,73.223,,,0.0,0.0,4355.719,5167000.0,238.728,409.716,9.406,0.0,0.0,73887342592.0,0.0,0.0
13989,1986,,,,,,-0.894,-2.134,0.0,0.0,0.0,91.04,,,24.168,1.675,11.716,0.0,1.675,0.0,0.0,3.074,45551.329,37.484,,,6.931,322.487,55.408,13.391,2578.167,48.477,2255.68,70.873,,,0.0,0.0,4653.061,5194000.0,236.594,322.487,6.931,0.0,0.0,76964528128.0,0.0,0.0
