,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14024,1990,,,,,,,,,0.0,0.0,18.301,,,12.399,2.974,4.622,0.0,2.974,0.0,0.0,2.063,34142.024,8.922,,,23.986,1482.552,61.263,7.596,3786.64,37.277,2304.088,20.166,,,0.0,0.0,6180.957,2006000.0,68.489,1482.552,23.986,0.0,0.0,33199925248.0,0.0,0.0
14025,1991,,,,,,-0.032,-0.022,0.0,0.0,0.0,16.709,,,12.744,3.608,4.952,0.0,3.608,0.0,0.0,2.239,34097.155,8.482,,,28.311,1796.813,67.169,8.56,4262.948,38.858,2466.135,19.498,,,0.0,0.0,6346.614,2008000.0,68.467,1796.813,28.311,0.0,0.0,30583175168.0,0.0,0.0
14026,1992,,,,,,-6.48,-4.437,0.0,0.0,0.0,17.405,,,12.344,3.423,3.971,0.0,3.423,0.0,0.0,2.189,31935.447,7.162,,,27.73,1707.232,59.9,7.394,3687.781,32.169,1980.549,18.924,,,0.0,0.0,6156.608,2005000.0,64.031,1707.232,27.73,0.0,0.0,29247029248.0,0.0,0.0
14027,1993,,,,,,2.885,1.847,0.0,0.0,0.0,16.59,,,11.946,3.035,3.956,0.0,3.035,0.0,0.0,2.1,32922.462,7.113,,,25.406,1516.742,58.522,6.991,3493.753,33.116,1977.011,22.755,,,0.0,0.0,5970.015,2001000.0,65.878,1516.742,25.406,0.0,0.0,31366969344.0,0.0,0.0
14028,1994,,,,,,6.356,4.188,0.0,0.0,0.0,15.453,,,12.895,3.399,4.609,0.0,3.399,0.0,0.0,2.088,35120.479,7.746,,,26.359,1703.759,62.102,8.008,4014.035,35.743,2310.276,24.622,,,0.0,0.0,6463.659,1995000.0,70.065,1703.759,26.359,0.0,0.0,33562275840.0,0.0,0.0
14029,1995,,,,,,5.087,3.564,0.0,0.0,0.0,16.03,,,12.913,3.252,4.779,0.0,3.252,0.0,0.0,1.985,36981.139,8.597,,,25.184,1633.35,62.193,8.031,4033.651,37.009,2400.301,26.694,,,0.0,0.0,6485.686,1991000.0,73.629,1633.35,25.184,0.0,0.0,37101928448.0,0.0,0.0
14030,1996,,,,,,4.888,3.599,0.0,0.0,0.0,14.793,,,12.737,3.668,4.562,0.0,3.668,0.0,0.0,2.021,38827.783,8.735,,,28.798,1844.143,64.615,8.23,4137.758,35.817,2293.615,30.839,,,0.0,0.0,6403.72,1989000.0,77.228,1844.143,28.798,0.0,0.0,38212960256.0,0.0,0.0
14031,1997,,,,,,2.396,1.85,0.0,0.0,0.0,16.402,,,13.178,3.091,5.019,0.0,3.091,0.0,0.0,2.004,39797.939,9.285,,,23.456,1555.611,61.542,8.11,4081.53,38.086,2525.918,30.864,,,0.0,0.0,6632.109,1987000.0,79.079,1555.611,23.456,0.0,0.0,39463239680.0,0.0,0.0
14032,1998,,,,,,0.202,0.159,0.0,0.0,0.0,16.61,,,13.705,3.45,5.019,0.0,3.45,0.0,0.0,1.987,39878.138,9.512,,,25.173,1736.286,61.795,8.469,4262.204,36.622,2525.918,29.591,,,0.0,0.0,6897.333,1987000.0,79.238,1736.286,25.173,0.0,0.0,39879200768.0,0.0,0.0
14033,1999,,,,,,-1.103,-0.874,0.0,0.0,0.0,15.195,,,13.261,3.739,4.696,0.031,3.77,0.0,0.0,1.902,39418.577,9.929,,,28.195,1880.785,63.841,8.466,4258.551,35.412,2362.173,29.724,,,15.594,0.234,6670.523,1988000.0,78.364,1896.378,28.429,0.0,0.0,41207504896.0,0.0,0.0
