,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14055,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,1269.831,,,,,,,,,,,,,,,,,231000.0,0.293,,,,,,,
14056,1981,,0.0,,,,100.0,0.293,,,,,0.0,0.0,,,,,,,,,2464.966,,,,,,,,,,,,,,,,,238000.0,0.587,,,,,,,
14057,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2384.805,,,,,,,,,,,,,,,,,246000.0,0.587,,,,,,,
14058,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2300.635,,,,,,,,,,,,,,,,,255000.0,0.587,,,,,,,
14059,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2230.654,,,,,,,,,,,,,,,,,263000.0,0.587,,,,,,,
14060,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2164.804,,,,,,,,,,,,,,,,,271000.0,0.587,,,,,,,
14061,1986,,0.0,,,,-13.808,-0.081,,,,,0.0,0.0,,,,,,,,,1812.38,,,,,,,,,,,,,,,,,279000.0,0.506,,,,,,,
14062,1987,,0.0,,,,16.562,0.084,,,,,0.0,0.0,,,,,,,,,2053.66,,,,,,,,,,,,,,,,,287000.0,0.589,,,,,,,
14063,1988,,0.0,,,,19.829,0.117,,,,,0.0,0.0,,,,,,,,,2394.151,,,,,,,,,,,,,,,,,295000.0,0.706,,,,,,,
14064,1989,,0.0,,,,-0.237,-0.002,,,,,0.0,0.0,,,,,,,,,2325.408,,,,,,,,,,,,,,,,,303000.0,0.705,,,,,,,
14065,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2258.329,,,,,,,,,,,,,,,,,312000.0,0.705,,,,,,,
14066,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2195.011,,,,,,,,,,,,,,,,,321000.0,0.705,,,,,,,
14067,1992,,0.0,,,,0.238,0.002,,,,,0.0,0.0,,,,,,,,,2140.226,,,,,,,,,,,,,,,,,330000.0,0.706,,,,,,,
14068,1993,,0.0,,,,-0.237,-0.002,,,,,0.0,0.0,,,,,,,,,2072.349,,,,,,,,,,,,,,,,,340000.0,0.705,,,,,,,
14069,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2018.907,,,,,,,,,,,,,,,,,349000.0,0.705,,,,,,,
14070,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1962.67,,,,,,,,,,,,,,,,,359000.0,0.705,,,,,,,
14071,1996,,0.0,,,,0.238,0.002,,,,,0.0,0.0,,,,,,,,,1908.85,,,,,,,,,,,,,,,,,370000.0,0.706,,,,,,,
14072,1997,,0.0,,,,-0.237,-0.002,,,,,0.0,0.0,,,,,,,,,1854.207,,,,,,,,,,,,,,,,,380000.0,0.705,,,,,,,
14073,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1802.042,,,,,,,,,,,,,,,,,391000.0,0.705,,,,,,,
14074,1999,,0.0,,,,0.001,0.0,,,,,0.0,0.0,,,,,,,,,1752.748,,,,,,,,,,,,,,,,,402000.0,0.705,,,,,,,
14075,2000,,0.0,,,,7.066,0.05,,,,,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,,1826.609,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,140.436,413000.0,0.754,0.0,0.0,0.0,0.0,,0.0,0.0
14076,2001,,0.0,,,,1.742,0.013,,,,,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,,1810.219,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,139.151,424000.0,0.768,0.0,0.0,0.0,0.0,,0.0,0.0
14077,2002,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,,1764.444,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,137.931,435000.0,0.768,0.0,0.0,0.0,0.0,,0.0,0.0
14078,2003,,0.0,,,,3.373,0.026,,,,,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,,1774.996,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,131.991,447000.0,0.793,0.0,0.0,0.0,0.0,,0.0,0.0
14079,2004,,0.0,,,,0.241,0.002,,,,,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,,1732.753,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,128.54,459000.0,0.795,0.0,0.0,0.0,0.0,,0.0,0.0
14080,2005,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,,1692.199,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,148.936,470000.0,0.795,0.0,0.0,0.0,0.0,,0.0,0.0
14081,2006,,0.0,,,,1.653,0.013,,,,,0.0,0.0,0.072,0.0,0.0,0.001,0.001,0.0,0.0,,1680.826,,,,0.0,0.0,1.389,0.001,2.079,0.0,0.0,,,,2.079,1.389,149.688,481000.0,0.808,2.079,1.389,0.0,0.0,,0.0,0.0
14082,2007,,0.0,,,,9.821,0.079,,,,,0.0,0.0,0.082,0.0,0.0,0.002,0.002,0.0,0.0,,1804.634,,,,0.0,0.0,2.439,0.002,4.065,0.0,0.0,,,,4.065,2.439,166.667,492000.0,0.888,4.065,2.439,0.0,0.0,,0.0,0.0
14083,2008,,0.0,,,,-2.536,-0.023,,,,,0.0,0.0,0.082,0.0,0.0,0.002,0.002,0.0,0.0,,1720.407,,,,0.0,0.0,2.439,0.002,3.976,0.0,0.0,,,,3.976,2.439,163.022,503000.0,0.865,3.976,2.439,0.0,0.0,,0.0,0.0
14084,2009,,0.0,,,,-0.503,-0.004,,,,,0.0,0.0,0.082,0.0,0.0,0.003,0.003,0.0,0.0,,1671.866,,,,0.0,0.0,3.659,0.003,5.825,0.0,0.0,,,,5.825,3.659,159.223,515000.0,0.861,5.825,3.659,0.0,0.0,,0.0,0.0
14085,2010,,0.0,,,,4.067,0.035,,,,,0.0,0.0,0.084,0.0,0.0,0.002,0.002,0.0,0.0,,1697.029,,,,0.0,0.0,2.381,0.002,3.788,0.0,0.0,,,,3.788,2.381,159.091,528000.0,0.896,3.788,2.381,0.0,0.0,,0.0,0.0
14086,2011,,0.0,,,,-1.656,-0.015,,,,,0.0,0.0,0.086,0.0,0.0,0.003,0.004,0.001,0.0,,1625.809,,,,0.0,0.0,4.651,0.004,7.38,0.0,0.0,,,,5.535,3.488,158.672,542000.0,0.881,7.38,4.651,1.163,1.845,,0.0,0.0
14087,2012,,0.0,,,,0.883,0.008,,,,,0.0,0.0,0.082,0.0,0.0,0.003,0.004,0.001,0.0,,1598.869,,,,0.0,0.0,4.878,0.004,7.194,0.0,0.0,,,,5.396,3.659,147.482,556000.0,0.889,7.194,4.878,1.22,1.799,,0.0,0.0
