,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14095,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,793.922,,,,,,,,,,,,,,,,,6281000.0,4.987,,,,,,,
14096,1981,,0.0,,,,11.765,0.587,,,,,0.0,0.0,,,,,,,,,855.98,,,,,,,,,,,,,,,,,6511000.0,5.573,,,,,,,
14097,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,843.415,,,,,,,,,,,,,,,,,6608000.0,5.573,,,,,,,
14098,1983,,0.0,,,,-5.263,-0.293,,,,,0.0,0.0,,,,,,,,,797.697,,,,,,,,,,,,,,,,,6619000.0,5.28,,,,,,,
14099,1984,,0.0,,,,5.556,0.293,,,,,0.0,0.0,,,,,,,,,842.523,,,,,,,,,,,,,,,,,6615000.0,5.573,,,,,,,
14100,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,838.215,,,,,,,,,,,,,,,,,6649000.0,5.573,,,,,,,
14101,1986,,0.0,,,,6.227,0.347,,,,,0.0,0.0,,,,,,,,,878.775,,,,,,,,,,,,,,,,,6737000.0,5.92,,,,,,,
14102,1987,,0.0,,,,-26.118,-1.546,,,,,0.0,0.0,,,,,,,,,637.426,,,,,,,,,,,,,,,,,6862000.0,4.374,,,,,,,
14103,1988,,0.0,,,,0.306,0.013,,,,,0.0,0.0,,,,,,,,,626.326,,,,,,,,,,,,,,,,,7005000.0,4.387,,,,,,,
14104,1989,,0.0,,,,2.431,0.107,,,,,0.0,0.0,,,,,,,,,630.041,,,,,,,,,,,,,,,,,7133000.0,4.494,,,,,,,
14105,1990,,0.0,,,,-9.39,-0.422,,,,,0.0,0.0,,,,,,,,,563.613,,,,,,,,,,,,,,,,,7225000.0,4.072,,,,,,,
14106,1991,,0.0,,,,-40.408,-1.645,,,,,0.0,0.0,,,,,,,,,333.605,,,,,,,,,,,,,,,,,7274000.0,2.427,,,,,,,
14107,1992,,0.0,,,,-7.067,-0.171,,,,,0.0,0.0,,,,,,,,,309.136,,,,,,,,,,,,,,,,,7295000.0,2.255,,,,,,,
14108,1993,,0.0,,,,5.246,0.118,,,,,0.0,0.0,,,,,,,,,324.421,,,,,,,,,,,,,,,,,7316000.0,2.373,,,,,,,
14109,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,321.913,,,,,,,,,,,,,,,,,7373000.0,2.373,,,,,,,
14110,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,316.8,,,,,,,,,,,,,,,,,7492000.0,2.373,,,,,,,
14111,1996,,0.0,,,,0.274,0.007,,,,,0.0,0.0,,,,,,,,,309.771,,,,,,,,,,,,,,,,,7683000.0,2.38,,,,,,,
14112,1997,,0.0,,,,-0.273,-0.007,,,,,0.0,0.0,,,,,,,,,299.076,,,,,,,,,,,,,,,,,7936000.0,2.373,,,,,,,
14113,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,288.217,,,,,,,,,,,,,,,,,8235000.0,2.373,,,,,,,
14114,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,277.468,,,,,,,,,,,,,,,,,8554000.0,2.373,,,,,,,
14115,2000,,0.0,,,,25.084,0.595,,,,,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,,334.627,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.488,8872000.0,2.969,0.0,0.0,0.0,0.0,,0.0,0.0
14116,2001,,0.0,,,,1.66,0.049,,,,,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,,328.517,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.668,9187000.0,3.018,0.0,0.0,0.0,0.0,,0.0,0.0
14117,2002,,0.0,,,,8.104,0.245,,,,,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,,343.402,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,27.155,9501000.0,3.263,0.0,0.0,0.0,0.0,,0.0,0.0
14118,2003,,0.0,,,,0.876,0.029,,,,,0.0,0.0,0.273,0.01,0.0,0.0,0.01,0.0,0.0,,335.327,,,,3.663,1.019,3.663,0.01,1.019,0.0,0.0,,,,0.0,0.0,27.815,9815000.0,3.291,1.019,3.663,0.0,0.0,,0.0,0.0
14119,2004,,0.0,,,,-0.798,-0.026,,,,,0.0,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.0,,322.307,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,25.962,10130000.0,3.265,0.0,0.0,0.0,0.0,,0.0,0.0
14120,2005,,0.0,,,,0.968,0.032,,,,,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,,315.551,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.132,10447000.0,3.297,0.0,0.0,0.0,0.0,,0.0,0.0
14121,2006,,0.0,,,,0.763,0.025,,,,,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,,308.594,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.198,10764000.0,3.322,0.0,0.0,0.0,0.0,,0.0,0.0
14122,2007,,0.0,,,,1.438,0.048,,,,,0.0,0.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,,304.104,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.354,11080000.0,3.369,0.0,0.0,0.0,0.0,,0.0,0.0
14123,2008,,0.0,,,,-1.059,-0.036,,,,,0.0,0.0,0.301,0.0,0.0,0.0,0.0,0.0,0.0,,292.515,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.41,11397000.0,3.334,0.0,0.0,0.0,0.0,,0.0,0.0
14124,2009,,0.0,,,,-0.266,-0.009,,,,,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,,283.746,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.028,11718000.0,3.325,0.0,0.0,0.0,0.0,,0.0,0.0
14125,2010,,0.0,,,,2.499,0.083,,,,,0.0,0.0,0.307,0.0,0.0,0.0,0.0,0.0,0.0,,282.966,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,25.49,12044000.0,3.408,0.0,0.0,0.0,0.0,,0.0,0.0
14126,2011,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,,275.375,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,25.048,12376000.0,3.408,0.0,0.0,0.0,0.0,,0.0,0.0
14127,2012,,0.0,,,,0.335,0.011,,,,,0.0,0.0,0.324,0.0,0.0,0.0,0.004,0.0,0.004,,268.932,,,,0.0,0.0,1.235,0.004,0.315,0.0,0.0,,,,0.0,0.0,25.482,12715000.0,3.419,0.315,1.235,0.0,0.0,,1.235,0.315
14128,2013,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.334,0.0,0.0,0.0,0.004,0.0,0.004,,261.748,,,,0.0,0.0,1.198,0.004,0.306,0.0,0.0,,,,0.0,0.0,25.566,13064000.0,3.419,0.306,1.198,0.0,0.0,,1.198,0.306
14129,2014,,0.0,,,,0.084,0.003,,,,,0.0,0.0,0.334,0.0,0.0,0.0,0.004,0.0,0.004,,254.941,,,,0.0,0.0,1.227,0.004,0.305,0.0,0.0,,,,0.0,0.0,24.888,13424000.0,3.422,0.305,1.227,0.03,0.007,,1.197,0.298
14130,2015,,0.0,,,,0.167,0.006,,,,,0.0,0.0,0.335,0.0,0.0,0.0,0.005,0.0,0.005,,248.463,,,,0.0,0.0,1.551,0.005,0.377,0.0,0.0,,,,0.0,0.0,24.295,13797000.0,3.428,0.377,1.551,0.06,0.014,,1.492,0.362
14131,2016,,0.0,,,,0.884,0.03,,,,,0.0,0.0,0.342,0.0,0.0,0.0,0.012,0.007,0.005,,243.785,,,,0.0,0.0,3.509,0.012,0.846,0.0,0.0,,,,0.0,0.0,24.108,14186000.0,3.458,0.846,3.509,2.047,0.493,,1.462,0.352
14132,2017,,,,,,,,,,,,,,0.347,0.0,0.0,0.0,0.017,0.011,0.006,,,,,,0.0,0.0,4.954,0.017,1.179,0.0,0.0,,,,0.0,0.0,23.799,14589000.0,,1.179,4.954,3.168,0.754,,1.786,0.425
14133,2018,,,,,,,,,,,,,,0.347,0.0,0.0,0.0,0.017,0.011,0.006,,,,,,0.0,0.0,4.954,0.017,1.146,0.0,0.0,,,,0.0,0.0,23.134,15008000.0,,1.146,4.954,3.168,0.733,,1.786,0.413
14134,2019,,,,,,,,,,,,,,0.347,0.0,0.0,0.0,0.017,0.011,0.006,,,,,,0.0,0.0,4.954,0.017,1.114,0.0,0.0,,,,0.0,0.0,22.483,15443000.0,,1.114,4.954,3.168,0.712,,1.786,0.401
