,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14135,1965,,,,,,,,,,,67.21,,,,,,,,,,,,147.71,,,,,,,,,,995.218,2627.351,,,,,,1334.402,,,,,,,
14136,1966,,,,-1.055,-27.723,5.83,77.796,,,,67.898,,,,,,,,,,,,157.83,,,,,,,,,,1048.93,2599.628,,,,,,1412.198,,,,,,,
14137,1967,,,,6.43,167.165,4.059,57.319,,,,71.907,,,,,,,,,,,,170.155,,,,,,,,,,1082.271,2766.793,,,,,,1469.517,,,,,,,
14138,1968,,,,2.674,73.97,6.023,88.512,,,,68.969,,,,,,,,,,,,178.753,,,,,,,,,,1156.427,2840.763,,,,,,1558.029,,,,,,,
14139,1969,,,,0.2,5.668,4.453,69.383,,,,75.049,,,,,,,,,,,,184.28,,,,,,,,,,1202.525,2846.431,,,,,,1627.412,,,,,,,
14140,1970,,,,2.696,76.753,6.561,106.769,,,,83.175,,,,,,,,,,,,188.01,186.997,,,,,,,,,1267.388,2923.185,,,,,,1734.18,,,,,,,
14141,1971,,,5.097,-2.335,-68.267,5.386,93.396,,,,77.297,,,,,,,,,,,,191.486,192.094,,,,,,,,,1337.547,2854.918,,,,,,1827.577,,,,,,,
14142,1972,,,10.603,-4.72,-134.76,8.264,151.033,,,,75.724,,,,,,,,,,,,202.4,202.697,,,,,,,,,1451.122,2720.158,,,,,,1978.61,,,,,,,
14143,1973,,,28.764,6.42,174.63,9.801,193.917,,,,79.037,,,,,,,,,,,,229.728,231.46,,,,,,,,,1585.805,2894.788,,,,,,2172.527,,,,,,,
14144,1974,,,13.457,-8.921,-258.249,5.123,111.289,,,,86.276,,,,,,,,,,,,242.956,244.918,,,,,,,,,1635.311,2636.538,,,,,,2283.816,,,,,,,
14145,1975,,,-0.228,-15.554,-410.08,1.344,30.684,,,,90.535,,,,,,,,,,,,241.73,244.69,,,,,,,,,1633.144,2226.459,,,,,,2314.5,,,,,,,
14146,1976,,,29.572,-0.721,-16.064,6.662,154.2,,,,91.111,,,,,,,,,,,,282.584,274.262,,,,,,,,,1706.515,2210.395,,,,,,2468.699,,,,,,,
14147,1977,,,22.306,-0.853,-18.853,5.988,147.821,,,,104.112,,,,,,,,,,,,304.865,296.568,,,,,,,,,1778.704,2191.542,,,,,,2616.52,,,,,,,
14148,1978,,,16.87,0.179,3.932,5.629,147.278,,,,111.568,,,,,,,,,,,,315.205,313.438,,,,,,,,,1856.616,2195.474,,,,,,2763.798,,,,,,,
14149,1979,,,12.374,7.071,155.244,6.314,174.512,,,,117.996,,,,,,,,,,,,339.187,325.812,,,,,,,,,1935.41,2350.718,,,,,,2938.31,,,,,,,
14150,1980,,,26.73,-3.815,-89.676,4.652,136.702,,,,125.101,,,,,,,,,,,,360.907,352.542,,,,,,,,,1980.125,2261.043,,,,,,3075.012,,,,,,,
14151,1981,,,11.443,-0.919,-20.788,-0.207,-6.359,,,,123.514,78.991,,,,,,,,,,,372.047,363.985,,,,,,,,,1955.873,2240.255,,,,,,3068.653,,,,,,,
14152,1982,7.55,5.963,35.824,-4.221,-94.557,0.957,29.365,,,,124.226,84.954,,,,,,,,,,,412.864,399.809,,,,,,,,,1892.855,2145.699,,,,,,3098.017,,,,,,,
14153,1983,8.803,7.479,36.156,-0.868,-18.633,0.672,20.829,,,,138.185,92.433,,,,,,,,,,,427.558,435.964,,,,,,,,,1822.141,2127.066,,,,,,3118.846,,,,,,,
14154,1984,21.029,19.437,28.403,5.454,116.001,4.312,134.469,,,,158.663,111.87,,,,,,,,,,,461.57,464.367,,,,,,,,,1817.331,2243.067,,,,,,3253.315,,,,,,,
14155,1985,17.776,19.886,9.797,-0.281,-6.299,2.85,92.706,,,,183.842,131.756,,407.805,283.501,9.147,6.059,289.561,0.0,0.0,,,471.374,474.165,,69.519,,73.248,298.708,,2.243,,1796.689,2236.768,,,1.486,,,3346.021,,71.005,0.0,,,0.0,
14156,1986,10.003,13.179,39.471,7.192,160.877,6.533,218.603,,,,185.653,144.935,,438.972,305.986,5.855,6.251,312.237,0.0,0.0,,,509.4,513.635,,69.705,,72.463,318.092,,1.334,,1905.484,2397.645,,,1.424,,,3564.624,,71.129,0.0,,,0.0,
