,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14190,1900,,,,,,,,,,,,6.68,1419.19,,,,,,,,,,,,,,,,,,,,,,,,,,4706972.0,,,,,,,,
14191,1901,67.81,4.53,,,,,,,,,,11.21,2333.349,,,,,,,,,,,,,,,,,,,,,,,,,,4804198.0,,,,,,,,
14192,1902,49.068,5.5,,,,,,,,,,16.71,3410.273,,,,,,,,,,,,,,,,,,,,,,,,,,4899997.0,,,,,,,,
14193,1903,33.602,5.615,,,,,,,,,,22.325,4463.995,,,,,,,,,,,,,,,,,,,,,,,,,,5001210.0,,,,,,,,
14194,1904,12.681,2.831,,,,,,,,,,25.156,4928.283,,,,,,,,,,,,,,,,,,,,,,,,,,5104514.0,,,,,,,,
14195,1905,14.335,3.606,,,,,,,,,,28.763,5520.742,,,,,,,,,,,,,,,,,,,,,,,,,,5209951.0,,,,,,,,
14196,1906,14.343,4.125,,,,,,,,,,32.888,6184.81,,,,,,,,,,,,,,,,,,,,,,,,,,5317566.0,,,,,,,,
14197,1907,10.35,3.404,,,,,,,,,,36.292,6693.412,,,,,,,,,,,,,,,,,,,,,,,,,,5422080.0,,,,,,,,
14198,1908,2.823,1.025,,,,,,,,,,37.317,6743.096,,,,,,,,,,,,,,,,,,,,,,,,,,5534077.0,,,,,,,,
14199,1909,15.119,5.642,,,,,,,,,,42.959,7605.502,,,,,,,,,,,,,,,,,,,,,,,,,,5648387.0,,,,,,,,
14200,1910,13.385,5.75,,,,,,,,,,48.709,8448.95,,,,,,,,,,,,,,,,,,,,,,,,,,5765058.0,,,,,,,,
14201,1911,-3.75,-1.827,,,,,,,,,,46.882,7969.745,,,,,,,,,,,,,,,,,,,,,,,,,,5882489.0,,,,,,,,
14202,1912,6.154,2.885,,,,,,,,,,49.767,8288.977,,,,,,,,,,,,,,,,,,,,,,,,,,6003996.0,,,,,,,,
14203,1913,9.414,4.685,,,,,,,,,,54.452,8882.429,,,,,,,,,,,,,,,,,,,,,,,,,,6130283.0,,,,,,,,
14204,1914,-3.058,-1.665,,,,,,,,,,52.787,8430.385,,,,,,,,,,,,,,,,,,,,,,,,,,6261498.0,,,,,,,,
14205,1915,0.587,0.31,,,,,,,,,,53.097,8299.254,,,,,,,,,,,,,,,,,,,,,,,,,,6397794.0,,,,,,,,
14206,1916,17.837,9.471,,,,,,,,,,62.568,9571.231,,,,,,,,,,,,,,,,,,,,,,,,,,6537056.0,,,,,,,,
14207,1917,7.014,4.388,,,,,,,,,,66.956,10024.314,,,,,,,,,,,,,,,,,,,,,,,,,,6679350.0,,,,,,,,
14208,1918,-4.792,-3.209,,,,,,,,,,63.747,9339.784,,,,,,,,,,,,,,,,,,,,,,,,,,6825351.0,,,,,,,,
14209,1919,4.124,2.629,,,,,,,,,,66.376,9517.137,,,,,,,,,,,,,,,,,,,,,,,,,,6974387.0,,,,,,,,
14210,1920,10.927,7.253,,,,,,,,,,73.629,10331.498,,,,,,,,,,,,,,,,,,,,,,,,,,7126677.0,,,,,,,,
14211,1921,-0.989,-0.728,,,,,,,,,,72.901,10010.755,,,,,,,,,,,,,,,,,,,,,,,,,,7282293.0,,,,,,,,
14212,1922,-14.267,-10.401,,,,,,,,,,62.5,8399.098,,,,,,,,,,,,,,,,,,,,,,,,,,7441307.0,,,,,,,,
14213,1923,21.365,13.353,,,,,,,,,,75.854,9975.771,,,,,,,,,,,,,,,,,,,,,,,,,,7603793.0,,,,,,,,
14214,1924,5.039,3.822,,,,,,,,,,79.676,10254.501,,,,,,,,,,,,,,,,,,,,,,,,,,7769828.0,,,,,,,,
14215,1925,4.239,3.377,,,,,,,,,,83.053,10460.729,,,,,,,,,,,,,,,,,,,,,,,,,,7939487.0,,,,,,,,
14216,1926,5.105,4.24,,,,,,,,,,87.293,10759.813,,,,,,,,,,,,,,,,,,,,,,,,,,8112851.0,,,,,,,,
14217,1927,-2.857,-2.494,,,,,,,,,,84.799,10229.031,,,,,,,,,,,,,,,,,,,,,,,,,,8290001.0,,,,,,,,
14218,1928,0.207,0.175,,,,,,,,,,84.974,10031.135,,,,,,,,,,,,,,,,,,,,,,,,,,8471019.0,,,,,,,,
14219,1929,3.268,2.777,,,,,,,,,,87.751,10137.619,,,,,,,,,,,,,,,,,,,,,,,,,,8655990.0,,,,,,,,
14220,1930,-6.107,-5.359,,,,,,,,,,82.392,9315.12,,,,,,,,,,,,,,,,,,,,,,,,,,8844999.0,,,,,,,,
14221,1931,-10.979,-9.046,,,,,,,,,,73.346,8115.184,,,,,,,,,,,,,,,,,,,,,,,,,,9038136.0,,,,,,,,
14222,1932,-8.823,-6.471,,,,,,,,,,66.875,7241.09,,,,,,,,,,,,,,,,,,,,,,,,,,9235490.0,,,,,,,,
14223,1933,8.003,5.352,,,,,,,,,,72.227,7653.492,,,,,,,,,,,,,,,,,,,,,,,,,,9437153.0,,,,,,,,
14224,1934,13.803,9.97,,,,,,,,,,82.197,8523.786,,,,,,,,,,,,,,,,,,,,,,,,,,9643220.0,,,,,,,,
14225,1935,11.317,9.302,,,,,,,,,,91.499,9285.668,,,,,,,,,,,,,,,,,,,,,,,,,,9853786.0,,,,,,,,
14226,1936,9.341,8.547,,,,,,,,,,100.046,9936.116,,,,,,,,,,,,,,,,,,,,,,,,,,10068951.0,,,,,,,,
14227,1937,4.373,4.375,,,,,,,,,,104.421,10148.985,,,,,,,,,,,,,,,,,,,,,,,,,,10288813.0,,,,,,,,
14228,1938,5.119,5.345,,,,,,,,,,109.766,10440.546,,,,,,,,,,,,,,,,,,,,,,,,,,10513476.0,,,,,,,,
14229,1939,3.721,4.085,,,,,,,,,,113.851,10597.676,,,,,,,,,,,,,,,,,,,,,,,,,,10743046.0,,,,,,,,
14230,1940,3.57,4.065,,,,,,,,,,117.916,10741.483,,,,,,,,,,,,,,,,,,,,,,,,,,10977627.0,,,,,,,,
14231,1941,6.78,7.995,,,,,,,,,,125.911,11224.642,,,,,,,,,,,,,,,,,,,,,,,,,,11217332.0,,,,,,,,
14232,1942,9.256,11.655,,,,,,,,,,137.565,12001.575,,,,,,,,,,,,,,,,,,,,,,,,,,11462270.0,,,,,,,,
14233,1943,0.745,1.025,,,,,,,,,,138.59,11832.591,,,,,,,,,,,,,,,,,,,,,,,,,,11712556.0,,,,,,,,
14234,1944,11.804,16.36,,,,,,,,,,154.95,12946.667,,,,,,,,,,,,,,,,,,,,,,,,,,11968308.0,,,,,,,,
14235,1945,2.467,3.822,,,,,,,,,,158.772,12982.529,,,,,,,,,,,,,,,,,,,,,,,,,,12229644.0,,,,,,,,
14236,1946,0.204,0.324,,,,,,,,,,159.095,12730.995,,,,,,,,,,,,,,,,,,,,,,,,,,12496687.0,,,,,,,,
14237,1947,-0.441,-0.701,,,,,,,,,,158.394,12404.046,,,,,,,,,,,,,,,,,,,,,,,,,,12769561.0,,,,,,,,
14238,1948,2.238,3.546,,,,,,,,,,161.94,12410.713,,,,,,,,,,,,,,,,,,,,,,,,,,13048393.0,,,,,,,,
14239,1949,6.127,9.922,,,,,,,,,,171.862,12889.687,,,,,,,,,,,,,,,,,,,,,,,,,,13333314.0,,,,,,,,
14240,1950,3.832,6.586,,,,,,,,,,178.448,13094.215,,,,,,,,,,,,,,,,,,,,,,,,,,13628000.0,,,,,,71759691776.0,,
14241,1951,0.601,1.072,,,,,,,,,,179.52,12894.681,,,,,,,,,,,,,,,,,,,,,,,,,,13922000.0,,,,,,74323058688.0,,
14242,1952,5.381,9.659,,,,,,,,,,189.179,13298.133,,,,,,,,,,,,,,,,,,,,,,,,,,14226000.0,,,,,,70098206720.0,,
14243,1953,1.404,2.656,,,,,,,,,,191.835,13191.796,,,,,,,,,,,,,,,,,,,,,,,,,,14542000.0,,,,,,78209155072.0,,
