,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14453,1900,,,,,,,,,,,,17.809,954.79,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18652444.0,,,,,,71534796800.0,,
14454,1901,2.738,0.488,0.0,,0.0,,,,,,,18.297,975.369,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18758888.0,,,,,,77509484544.0,,
14455,1902,2.096,0.383,0.0,,0.0,,,,,,,18.68,990.627,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18857048.0,,,,,,74099875840.0,,
14456,1903,-0.142,-0.026,0.0,,0.0,,,,,,,18.654,983.094,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18974620.0,,,,,,73878691840.0,,
14457,1904,11.478,2.141,0.0,,0.0,,,,,,,20.795,1088.847,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19098102.0,,,,,,72980553728.0,,
14458,1905,8.131,1.691,0.0,,0.0,,,,,,,22.486,1169.452,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19227612.0,,,,,,72227078144.0,,
14459,1906,0.827,0.186,0.0,,0.0,,,,,,,22.672,1170.932,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19362032.0,,,,,,77167419392.0,,
14460,1907,14.317,3.246,0.0,,0.0,,,,,,,25.917,1329.72,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19490896.0,,,,,,79180947456.0,,
14461,1908,6.022,1.561,0.0,,0.0,,,,,,,27.478,1399.294,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19637152.0,,,,,,82237415424.0,,
14462,1909,0.512,0.141,0.0,,0.0,,,,,,,27.619,1396.73,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19773992.0,,,,,,84563648512.0,,
