,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14574,1965,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.373,584.851,0.0,,,,,,,,,,5.484,,,,,,11111000.0,6.498,,,,,17420767232.0,,
14575,1966,,,,,,3.49,0.227,0.0,0.0,0.0,0.0,,,,,,,,,,0.39,590.902,0.0,,,,,,,,,,5.617,,,,,,11381000.0,6.725,,,,,17230301184.0,,
14576,1967,,,,,,2.477,0.167,0.0,0.0,0.0,0.0,,,,,,,,,,0.366,591.15,0.0,,,,,,,,,,5.753,,,,,,11658000.0,6.892,,,,,18808551424.0,,
14577,1968,,,,,,4.577,0.315,0.0,0.0,0.0,0.0,,,,,,,,,,0.357,603.704,0.0,,,,,,,,,,5.89,,,,,,11938000.0,7.207,,,,,20206120960.0,,
14578,1969,,,,,,4.784,0.345,0.0,0.0,0.0,0.0,,,,,,,,,,0.36,618.241,0.0,,,,,,,,,,6.027,,,,,,12215000.0,7.552,,,,,21005199360.0,,
14579,1970,,,,,,86.819,6.556,0.0,0.0,0.0,0.0,,,,,,,,,,0.641,1129.92,0.0,,,,,,,,,,12.052,,,,,,12486000.0,14.108,,,,,22007535616.0,,
14580,1971,,,,,,-5.951,-0.84,0.0,0.0,0.0,0.0,,,,,,,,,,0.608,1040.834,0.0,,,,,,,,,,10.975,,,,,,12748000.0,13.269,,,,,21825824768.0,,
14581,1972,,,,,,8.099,1.075,0.0,0.0,0.0,0.0,,,,,,,,,,0.644,1103.151,0.0,,,,,,,,,,11.99,,,,,,13002000.0,14.343,,,,,22284083200.0,,
14582,1973,,,,,,0.582,0.084,0.0,0.0,0.0,0.0,,,,,,,,,,0.622,1088.642,0.0,,,,,,,,,,12.494,,,,,,13252000.0,14.427,,,,,23192424448.0,,
14583,1974,,,,,,-12.186,-1.758,0.0,0.0,0.0,0.0,,,,,,,,,,0.529,938.279,0.0,,,,,,,,,,9.898,,,,,,13502000.0,12.669,,,,,23936929792.0,,
