,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14629,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,0.459,1145.482,,,,,,,,,,,,,,,,,14507000.0,16.618,,,,,36240662528.0,,
14630,1981,,,,,,5.96,0.99,0.0,0.0,0.0,,,,,,,,,,,0.483,1171.756,,,,,,,,,,,,,,,,,15027000.0,17.608,,,,,36488105984.0,,
14631,1982,,,,,,8.735,1.538,0.0,0.0,0.0,,,,,,,,,,,0.431,1230.309,,,,,,,,,,,,,,,,,15562000.0,19.146,,,,,44379693056.0,,
14632,1983,,,,,,-3.064,-0.587,0.0,0.0,0.0,,,,,,,,,,,0.421,1152.186,,,,,,,,,,,,,,,,,16108000.0,18.559,,,,,44132777984.0,,
14633,1984,,,,,,-6.538,-1.213,0.0,0.0,0.0,,,,,,,,,,,0.387,1041.306,,,,,,,,,,,,,,,,,16658000.0,17.346,,,,,44852117504.0,,
14634,1985,,,,,,11.157,1.935,0.0,0.0,0.0,,,,,,,,,,,0.482,1120.355,,,,,,,,,,,,,,,,,17210000.0,19.281,,,,,39983992832.0,,
14635,1986,,,,,,11.048,2.13,0.0,0.0,0.0,,,,,,,,,,,0.545,1205.81,,,,,,,,,,,,,,,,,17757000.0,21.412,,,,,39252914176.0,,
14636,1987,,,,,,-3.449,-0.738,0.0,0.0,0.0,,,,,,,,,,,0.503,1129.494,,,,,,,,,,,,,,,,,18303000.0,20.673,,,,,41066881024.0,,
14637,1988,,,,,,7.821,1.617,0.0,0.0,0.0,,,,,,,,,,,0.561,1181.364,,,,,,,,,,,,,,,,,18868000.0,22.29,,,,,39739211776.0,,
14638,1989,,,,,,-2.851,-0.635,0.0,0.0,0.0,,,,,,,,,,,0.489,1111.8,,,,,,,,,,,,,,,,,19477000.0,21.655,,,,,44268978176.0,,
14639,1990,,,,,,-8.206,-1.777,0.0,0.0,0.0,,,,,,,,,,,0.495,986.576,,,,,,,,,,,,,,,,,20148000.0,19.878,,,,,40169099264.0,,
14640,1991,,,,,,36.477,7.251,0.0,0.0,0.0,,,,,,,,,,,0.628,1298.565,,,,,,,,,,,,,,,,,20891000.0,27.128,,,,,43168608256.0,,
14641,1992,,,,,,-7.263,-1.97,0.0,0.0,0.0,,,,,,,,,,,0.585,1159.565,,,,,,,,,,,,,,,,,21696000.0,25.158,,,,,42998136832.0,,
14642,1993,,,,,,-4.869,-1.225,0.0,0.0,0.0,,,,,,,,,,,0.549,1062.363,,,,,,,,,,,,1.144,50.776,,,,22528000.0,23.933,,,,,43579498496.0,,
14643,1994,,,,0.0,0.0,-7.693,-1.841,0.0,0.0,0.0,,,,,,,,,,,0.506,946.604,,,,,,,,,,,,1.144,49.013,,,,23338000.0,22.092,,,,,43619774464.0,,
14644,1995,,,,0.0,0.0,-7.197,-1.59,0.0,0.0,0.0,,,,,,,,,,,0.467,850.875,,,,,,,,,,,,1.144,47.474,,,,24095000.0,20.502,,,,,43888152576.0,,
14645,1996,,,,150.685,1.724,1.432,0.294,0.0,0.0,0.0,,,,,,,,,,,0.454,839.133,,,,,,,,,,,,2.868,115.71,,,,24782000.0,20.795,,,,,45844209664.0,,
14646,1997,,,,79.508,2.28,2.097,0.436,0.0,0.0,0.0,,,,,,,,,,,0.421,835.424,,,,,,,,,,,,5.147,202.543,,,,25414000.0,21.231,,,,,50376491008.0,,
14647,1998,,,,33.333,1.716,0.159,0.034,0.0,0.0,0.0,,,,,,,,,,,0.425,817.392,,,,,,,,,,,,6.863,263.809,,,,26016000.0,21.265,,,,,50004926464.0,,
14648,1999,,,,425.0,29.169,7.496,1.594,0.0,0.0,0.0,,,,,,,,,,,0.403,858.502,,,,,,,,,,,,36.032,1353.216,,,,26627000.0,22.859,,,,,56664113152.0,,
14649,2000,,,,185.115,66.701,40.355,9.225,0.0,0.0,0.0,,,,2.574,1.171,0.0,0.1,1.271,0.0,0.0,0.539,1176.323,,,,45.493,42.933,49.378,1.271,46.599,0.0,0.0,,102.733,3766.563,3.666,3.885,94.372,27275000.0,32.084,46.599,49.378,0.0,0.0,59498708992.0,0.0,0.0
14650,2001,,,,16.36,16.807,6.923,2.221,0.0,0.0,0.0,,,,2.843,1.255,0.0,0.11,1.365,0.0,0.0,0.598,1226.458,,,,44.144,44.868,48.013,1.365,48.801,0.0,0.0,,119.54,4273.699,3.933,3.869,101.641,27971000.0,34.305,48.801,48.013,0.0,0.0,57386381312.0,0.0,0.0
14651,2002,,,,13.003,15.543,18.019,6.181,0.0,0.0,0.0,,,,3.092,1.274,0.0,0.12,1.394,0.0,0.0,0.673,1410.443,,,,41.203,44.383,45.084,1.394,48.563,0.0,0.0,,135.083,4705.899,4.18,3.881,107.716,28705000.0,40.487,48.563,45.084,0.0,0.0,60166295552.0,0.0,0.0
14652,2003,,,,10.985,14.839,3.625,1.468,0.0,0.0,0.0,,,,3.341,1.151,0.0,0.13,1.281,0.0,0.0,0.645,1424.061,,,,34.451,39.069,38.342,1.281,43.481,0.0,0.0,,149.922,5088.837,4.413,3.891,113.404,29461000.0,41.954,43.481,38.342,0.0,0.0,65087254528.0,0.0,0.0
14653,2004,,,,11.37,17.046,9.489,3.981,0.0,0.0,0.0,,,,3.454,1.096,0.0,0.14,1.236,0.0,0.0,0.662,1520.331,,,,31.731,36.275,35.785,1.236,40.908,0.0,0.0,,166.969,5526.2,4.634,4.053,114.318,30214000.0,45.935,40.908,35.785,0.0,0.0,69422637056.0,0.0,0.0
14654,2005,,,,0.598,0.998,15.728,7.225,0.0,0.0,0.0,,,,3.803,1.248,0.0,0.144,1.392,0.0,0.0,0.656,1717.603,,,,32.816,40.323,36.603,1.392,44.976,0.0,0.0,,167.967,5427.041,4.653,3.786,122.876,30950000.0,53.16,44.976,36.603,0.0,0.0,81089241088.0,0.0,0.0
14655,2006,,,,21.275,35.735,18.974,10.086,0.0,0.0,0.0,,,,4.458,1.356,0.0,0.14,1.496,0.0,0.0,0.633,1997.545,,,,30.417,42.827,33.558,1.496,47.249,0.0,0.0,,203.702,6433.638,4.422,3.14,140.8,31662000.0,63.246,47.249,33.558,0.0,0.0,99844743168.0,0.0,0.0
14656,2007,,,,35.645,72.61,6.03,3.814,0.0,0.0,0.0,,,,4.941,1.436,0.0,0.149,1.585,0.0,0.0,0.61,2072.255,,,,29.064,44.374,32.08,1.585,48.979,0.0,0.0,,276.312,8538.429,4.604,3.016,152.678,32361000.0,67.06,48.979,32.08,0.0,0.0,110000000000.0,0.0,0.0
14657,2008,,,,-5.157,-14.248,6.775,4.543,0.0,0.0,0.0,,,,5.397,1.448,0.0,0.149,1.597,0.0,0.0,0.597,2165.803,,,,26.828,43.798,29.588,1.597,48.305,0.0,0.0,,262.064,7926.676,4.507,2.761,163.256,33061000.0,71.604,48.305,29.588,0.0,0.0,120000000000.0,0.0,0.0
14658,2009,,,,3.712,9.728,7.826,5.604,0.0,0.0,0.0,,,,6.415,3.196,0.0,0.151,3.348,0.001,0.0,0.613,2285.319,,,,49.821,94.601,52.19,3.348,99.1,0.0,0.0,,271.792,8044.991,4.47,2.354,189.883,33784000.0,77.207,99.1,52.19,0.016,0.03,126000000000.0,0.0,0.0
14659,2010,,,,-2.765,-7.516,13.379,10.329,0.0,0.0,0.0,,,,7.495,6.14,0.0,0.135,6.276,0.001,0.0,0.63,2533.987,,,,81.919,177.739,83.734,6.276,181.676,0.0,0.0,,264.276,7650.19,3.908,1.801,216.969,34545000.0,87.537,181.676,83.734,0.013,0.029,139000000000.0,0.0,0.0
14660,2011,,,,-37.022,-97.841,-3.423,-2.997,0.0,0.0,0.0,,,,8.396,6.402,0.0,0.121,6.527,0.004,0.0,0.556,2391.509,,,,76.253,181.103,77.742,6.527,184.639,0.0,0.0,,166.435,4708.209,3.423,1.441,237.503,35350000.0,84.54,184.639,77.742,0.048,0.113,152000000000.0,0.0,0.0
14661,2012,,,,-64.471,-107.303,-3.059,-2.586,0.0,0.0,0.0,,,,9.33,6.553,0.0,0.123,6.682,0.006,0.0,0.672,2264.296,,,,70.236,181.052,71.619,6.682,184.616,0.0,0.0,,59.133,1633.769,3.398,1.318,257.777,36194000.0,81.954,184.616,71.619,0.064,0.166,122000000000.0,0.0,0.0
14662,2013,,,,13.989,8.272,4.95,4.057,0.0,0.0,0.0,,,,10.232,8.232,0.0,0.136,8.381,0.013,0.0,0.585,2320.032,,,,80.455,222.048,81.911,8.381,226.067,0.0,0.0,,67.405,1818.164,3.668,1.329,275.992,37073000.0,86.011,226.067,81.911,0.127,0.351,147000000000.0,0.0,0.0
14663,2014,,,,1.486,1.002,2.744,2.36,0.0,0.0,0.0,,,,11.268,8.824,0.0,0.116,8.953,0.013,0.0,0.556,2326.891,,,,78.309,232.345,79.454,8.953,235.742,0.0,0.0,,68.406,1801.209,3.054,1.029,296.704,37978000.0,88.371,235.742,79.454,0.115,0.342,159000000000.0,0.0,0.0
14664,2015,,,,-8.814,-6.03,0.995,0.88,0.0,0.0,0.0,,,,12.809,8.336,0.0,0.111,8.46,0.013,0.0,0.538,2294.174,,,,65.077,214.277,66.045,8.46,217.464,0.0,0.0,,62.377,1603.392,2.853,0.867,329.265,38903000.0,89.25,217.464,66.045,0.101,0.334,166000000000.0,0.0,0.0
14665,2016,,,,-4.736,-2.954,-0.248,-0.221,0.0,0.0,0.0,,,,14.094,7.97,0.0,0.111,8.099,0.018,0.0,0.524,2234.268,,,,56.548,200.015,57.463,8.099,203.252,0.0,0.0,,59.423,1491.276,2.786,0.788,353.711,39847000.0,89.029,203.252,57.463,0.128,0.452,170000000000.0,0.0,0.0
14666,2017,,,,-8.934,-5.309,,,0.0,0.0,0.0,,,,15.214,9.254,0.0,0.117,9.391,0.02,0.0,,,,,,60.824,226.741,61.725,9.391,230.098,0.0,0.0,,54.114,1325.906,2.867,0.769,372.781,40813000.0,,230.098,61.725,0.131,0.49,,0.0,0.0
14667,2018,,,,5.734,3.103,,,0.0,0.0,0.0,,,,15.901,9.56,0.0,0.118,9.698,0.02,0.0,,,,,,60.126,228.707,60.994,9.698,232.01,0.0,0.0,,57.217,1368.767,2.824,0.742,380.379,41802000.0,,232.01,60.994,0.126,0.478,,0.0,0.0
14668,2019,,,,2.176,1.245,,,0.0,0.0,0.0,,,,16.929,9.969,0.0,0.12,10.109,0.02,0.0,,,,,,58.886,232.84,59.715,10.109,236.119,0.0,0.0,,58.462,1365.525,2.812,0.711,395.41,42813000.0,,236.119,59.715,0.118,0.467,,0.0,0.0
