,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14789,1900,,,,,,,,,,,,1.906,372.89,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5111095.0,,,,,,17592246272.0,,
14790,1901,7.937,0.151,,,0.0,,,,,,,2.057,399.591,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5148106.0,,,,,,18303799296.0,,
14791,1902,12.132,0.25,,,0.0,,,,,,,2.307,444.912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5184647.0,,,,,,18289362944.0,,
14792,1903,4.918,0.113,,,0.0,,,,,,,2.42,463.537,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5221069.0,,,,,,19464560640.0,,
14793,1904,0.313,0.008,,,0.0,,,,,,,2.428,461.793,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5257162.0,,,,,,20046825472.0,,
14794,1905,0.312,0.008,,,0.0,,,,,,,2.435,459.945,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5294734.0,,,,,,20024731648.0,,
14795,1906,-7.764,-0.189,,,0.0,,,,,,,2.246,421.129,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5333786.0,,,,,,21919059968.0,,
14796,1907,2.694,0.061,,,0.0,,,,,,,2.307,429.547,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5370102.0,,,,,,23715438592.0,,
14797,1908,0.0,0.0,,,0.0,,,,,,,2.307,426.372,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5410095.0,,,,,,23334471680.0,,
14798,1909,-19.016,-0.439,,,0.0,,,,,,,1.868,342.731,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5450521.0,,,,,,23818704896.0,,
14799,1910,22.672,0.424,,,0.0,,,,,,,2.292,417.202,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5492756.0,,,,,,24613523456.0,,
