,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14910,1965,,,,,,,,,0.0,0.0,14.833,,,,,,,,,,1.65,30646.816,0.0,,,,,,,,,,96.38,,,,,,5813000.0,178.15,,,,,108000000000.0,,
14911,1966,,,,,,7.31,13.023,0.0,0.0,0.0,12.264,,,,,,,,,,1.692,32407.643,0.0,,,,,,,,,,102.468,,,,,,5899000.0,191.173,,,,,113000000000.0,,
14912,1967,,,,,,6.759,12.922,0.0,0.0,0.0,10.344,,,,,,,,,,1.73,34163.764,0.0,,,,,,,,,,110.833,,,,,,5974000.0,204.094,,,,,118000000000.0,,
14913,1968,,,,,,5.195,10.603,0.0,0.0,0.0,9.778,,,,,,,,,,1.731,35557.744,0.0,,,,,,,,,,122.933,,,,,,6038000.0,214.698,,,,,124000000000.0,,
14914,1969,,,,,,3.622,7.777,0.0,0.0,0.0,8.844,,,,,,,,,,1.673,36495.201,0.003,,,,,,,,,,133.683,,,,,,6096000.0,222.475,,,,,133000000000.0,,
14915,1970,,,,,,9.555,21.258,0.0,0.0,0.0,7.589,,,,,,,,,,1.704,39624.827,0.385,,,,,,,,,,149.818,,,,,,6151000.0,243.732,,,,,143000000000.0,,
14916,1971,,,,,,2.397,5.843,0.0,0.0,0.0,5.125,,,,,,,,,,1.653,40234.672,0.93,,,,,,,,,,158.98,,,,,,6203000.0,249.576,,,,,151000000000.0,,
14917,1972,,,,,,-1.237,-3.086,0.0,0.0,0.0,4.336,,,,,,,,,,1.56,39431.967,1.18,,,,,,,,,,162.99,,,,,,6251000.0,246.489,,,,,158000000000.0,,
14918,1973,,,,,,10.556,26.02,0.0,0.0,0.0,4.117,,,,,,,,,,1.662,43303.617,1.598,,,,,,,,,,175.416,,,,,,6293000.0,272.51,,,,,164000000000.0,,
14919,1974,,,,,,-4.585,-12.495,0.0,0.0,0.0,3.55,,,,,,,,,,1.548,41128.578,3.365,,,,,,,,,,156.107,,,,,,6322000.0,260.015,,,,,168000000000.0,,
14920,1975,,,,,,3.571,9.284,0.0,0.0,0.0,2.661,,,,,,,,,,1.726,42496.338,5.42,,,,,,,,,,150.116,,,,,,6337000.0,269.299,,,,,156000000000.0,,
14921,1976,,,,,,-4.184,-11.269,0.0,0.0,0.0,2.5,,,,,,,,,,1.654,40724.521,5.658,,,,,,,,,,156.016,,,,,,6336000.0,258.031,,,,,156000000000.0,,
14922,1977,,,,,,10.707,27.626,0.0,0.0,0.0,2.917,,,,,,,,,,1.774,45184.57,6.46,,,,,,,,,,156.825,,,,,,6322000.0,285.657,,,,,161000000000.0,,
14923,1978,,,,,,-1.353,-3.865,0.0,0.0,0.0,2.625,,,,,,,,,,1.718,44714.645,7.088,,,,,,,,,,160.819,,,,,,6302000.0,281.792,,,,,164000000000.0,,
14924,1979,,,,,,-0.336,-0.946,0.0,0.0,0.0,2.714,,,,,,,,,,1.642,44670.91,7.95,,,,,,,,,,154.137,,,,,,6287000.0,280.846,,,,,171000000000.0,,
14925,1980,,,,,,6.928,19.458,0.0,0.0,0.0,3.972,,,,,,,,,,1.687,47788.645,9.07,,,,,,,,,,154.02,,,,,,6284000.0,300.304,,,,,178000000000.0,,
14926,1981,,,,,,-0.251,-0.755,0.0,0.0,0.0,5.875,,,,,,,,,,1.655,47577.625,9.785,,,,,,,,,,142.524,,,,,,6296000.0,299.549,,,,,181000000000.0,,
