,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
14966,1968,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.175,2051.052,,,,5936000.0,,,,,,16386531328.0,,
14967,1969,,,,151.691,18.468,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.644,4991.617,,,,6139000.0,,,,,,18946492416.0,,
14968,1970,,,,60.377,18.502,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,49.145,7738.198,,,,6351000.0,,,,,,20482433024.0,,
14969,1971,,,0.0,24.706,12.142,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,61.287,9326.902,,,,6571000.0,,,,,,22203533312.0,,
14970,1972,,,0.0,10.68,6.545,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,67.832,9975.351,,,,6800000.0,,,,,,27353481216.0,,
14971,1973,,,0.0,-5.387,-3.654,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,64.178,9118.78,,,,7038000.0,,,,,,24487223296.0,,
14972,1974,,,0.0,16.216,10.407,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,74.585,10241.001,,,,7283000.0,,,,,,30059616256.0,,
14973,1975,,,0.0,48.837,36.425,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,111.011,14730.699,,,,7536000.0,,,,,,35381735424.0,,
14974,1976,,,0.314,4.974,5.522,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.314,40.282,,,,,,,,,116.533,14949.655,,,,7795000.0,,,,,,38940590080.0,,
14975,1977,,,0.036,-9.204,-10.726,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.35,43.357,,,,,,,,,105.807,13125.782,,,,8061000.0,,,,,,38149795840.0,,
14976,1978,,,-0.013,-2.186,-2.313,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.337,40.427,,,,,,,,,103.494,12415.332,,,,8336000.0,,,,,,41146249216.0,,
14977,1979,,,0.011,-6.704,-6.938,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.348,40.285,,,,,,,,,96.556,11193.606,,,,8626000.0,,,,,,42318192640.0,,
14978,1980,,,0.12,-5.13,-4.953,,,0.0,0.0,0.0,,,,,,,,,,,1.697,8935.606,,0.468,52.374,,,,,,,,,91.603,10256.714,,,,8931000.0,79.804,,,,,47028641792.0,,
14979,1981,,,0.004,3.514,3.219,5.576,4.45,0.0,0.0,0.0,,,,,,,,,,,1.649,9105.588,,0.472,51.011,,,,,,,,,94.822,10247.65,,,,9253000.0,84.254,,,,,51099136000.0,,
14980,1982,,,0.021,-5.488,-5.204,2.117,1.783,0.0,0.0,0.0,,,,,,,,,,,1.661,8971.577,,0.493,51.356,,,,,,,,,89.618,9344.931,,,,9590000.0,86.037,,,,,51792642048.0,,
14981,1983,,,0.255,3.871,3.469,13.04,11.219,0.0,0.0,0.0,,,,,,,,,,,1.866,9785.37,,0.748,75.209,,,,,,,,,93.087,9365.829,,,,9939000.0,97.257,,,,,52131651584.0,,
14982,1984,,,0.515,0.897,0.835,10.319,10.036,0.0,0.0,0.0,,,,,,,,,,,2.161,10423.834,,1.263,122.656,,,,,,,,,93.922,9124.819,,,,10293000.0,107.293,,,,,49639510016.0,,
14983,1985,,,0.238,-1.935,-1.817,4.721,5.065,0.0,0.0,0.0,,,,,,,,,,,2.149,10551.012,,1.5,140.858,,,,,,,,,92.105,8649.148,,,,10649000.0,112.358,,,,,52289708032.0,,
14984,1986,,,2.293,25.8,23.763,0.206,0.232,0.0,0.0,0.0,,,,,,,,,,,2.282,10231.685,,3.793,344.67,,,,,,,,,115.868,10529.645,,,,11004000.0,112.589,,,,,49334206464.0,,
14985,1987,,,-0.059,15.07,17.462,11.824,13.312,0.0,0.0,0.0,,,,,,,,,,,2.523,11081.912,,3.734,328.691,,,,,,,,,133.33,11735.738,,,,11361000.0,125.902,,,,,49907675136.0,,
14986,1988,,,5.099,16.449,21.932,4.933,6.21,0.0,0.0,0.0,,,,,,,,,,,2.354,11273.308,,8.834,753.777,,,,,,,,,155.261,13248.693,,,,11719000.0,132.112,,,,,56124399616.0,,
14987,1989,,,5.626,26.652,41.38,6.834,9.029,0.0,0.0,0.0,,,,,,,,,,,2.782,11683.817,,14.459,1196.959,,,,,,,,,196.642,16278.279,,,,12080000.0,141.141,,,,,50727976960.0,,
14988,1990,,,1.463,19.424,38.195,15.94,22.497,0.0,0.0,0.0,,,,,,,,,,,3.018,13147.829,,15.922,1279.267,,,,,,,,,234.836,18868.417,,,,12446000.0,163.638,,,,,54220959744.0,,
14989,1991,,,2.662,16.043,37.675,-7.346,-12.021,0.0,0.0,0.0,,,,,,,,,,,2.544,11831.184,,18.584,1450.138,,,,,,,,,272.511,21264.995,,,,12815000.0,151.617,,,,,59606110208.0,,
14990,1992,,,0.639,9.226,25.142,3.103,4.705,0.0,0.0,0.0,,,,,,,,,,,2.332,11853.295,,19.222,1457.538,,,,,,,,,297.653,22569.968,,,,13188000.0,156.321,,,,,67035299840.0,,
14991,1993,,,-0.197,9.724,28.945,11.011,17.213,0.0,0.0,0.0,,,,,,,,,,,2.427,12792.796,,19.025,1402.508,,,,,,,,,326.598,24076.485,,,,13565000.0,173.534,,,,,71493500928.0,,
14992,1994,,,1.598,-0.506,-1.653,6.298,10.929,0.0,0.0,0.0,,,,,,,,,,,2.462,13223.201,,20.623,1478.352,,,,,,,,,324.944,23293.495,,,,13950000.0,184.464,,,,,74925047808.0,,
14993,1995,,,5.383,5.812,18.885,-3.757,-6.931,0.0,0.0,0.0,,,,,,,,,,,2.263,12375.922,,26.006,1812.863,,,,,,,,,343.829,23968.573,,,,14345000.0,177.533,,,,,78440718336.0,,
14994,1996,,,1.704,-1.414,-4.861,7.839,13.917,0.0,0.0,0.0,,,,,,,,,,,2.386,12976.143,,27.71,1878.102,,,,,,,,,338.968,22974.632,,,,14754000.0,191.45,,,,,80227819520.0,,
14995,1997,,,15.269,-1.803,-6.112,6.336,12.131,0.0,0.0,0.0,,,,,,,,,,,2.583,13415.537,,42.978,2832.16,,,,,,,,,332.855,21934.456,,,,15175000.0,203.581,,,,,78812667904.0,,
14996,1998,,,11.216,-0.17,-0.567,7.657,15.588,0.0,0.0,0.0,,,,,,,,,,,2.652,14049.284,,54.194,3473.961,,,,,,,,,332.289,21300.564,,,,15600000.0,219.169,,,,,82627387392.0,,
14997,1999,,,-0.471,0.466,1.549,3.228,7.074,0.0,0.0,0.0,,,,,,,,,,,2.845,14127.818,,53.723,3354.724,,,,,,,,,333.838,20846.607,,,,16014000.0,226.243,,,,,79509749760.0,,
14998,2000,,,0.0,-2.279,-7.608,-3.912,-8.851,0.0,0.0,0.0,,,,23.899,3.199,0.0,0.033,3.232,0.0,0.0,2.691,13246.703,,53.723,3273.569,13.385,194.93,13.524,3.232,196.941,0.0,0.0,,326.229,19878.691,2.011,0.138,1456.279,16411000.0,217.392,196.941,13.524,0.0,0.0,80787963904.0,0.0,0.0
14999,2001,,,1.32,6.425,20.959,-1.246,-2.709,0.0,0.0,0.0,,,,25.313,3.376,0.0,0.033,3.409,0.0,0.0,2.58,12803.876,,55.042,3282.76,13.337,201.348,13.467,3.409,203.316,0.0,0.0,,347.188,20706.631,1.968,0.13,1509.692,16767000.0,214.683,203.316,13.467,0.0,0.0,83203260416.0,0.0,0.0
15000,2002,,,5.844,9.493,32.96,8.397,18.026,0.0,0.0,0.0,,,,26.487,2.426,0.0,0.033,2.459,0.0,0.0,2.659,13620.663,,60.886,3563.684,9.159,141.996,9.284,2.459,143.927,0.0,0.0,,380.148,22250.385,1.932,0.125,1550.307,17085000.0,232.709,143.927,9.284,0.0,0.0,87528259584.0,0.0,0.0
15001,2003,,,3.676,-3.634,-13.816,-2.796,-6.506,0.0,0.0,0.0,,,,27.932,2.73,0.0,0.033,2.763,0.0,0.0,2.655,12988.98,,64.561,3707.224,9.774,156.761,9.892,2.763,158.656,0.0,0.0,,366.332,21035.419,1.895,0.118,1603.905,17415000.0,226.203,158.656,9.892,0.0,0.0,85187903488.0,0.0,0.0
15002,2004,,,-5.184,-25.548,-93.59,11.391,25.766,0.0,0.0,0.0,,,,30.394,4.133,0.0,0.033,4.166,0.0,0.0,2.784,14133.341,,59.378,3330.578,13.598,231.826,13.707,4.166,233.677,0.0,0.0,,272.741,15298.49,1.851,0.109,1704.846,17828000.0,251.969,233.677,13.707,0.0,0.0,90491551744.0,0.0,0.0
15003,2005,,,-1.885,-7.76,-21.166,13.019,32.803,0.0,0.0,0.0,,,,33.088,4.282,0.0,0.033,4.315,0.0,0.0,2.982,15509.651,,57.493,3131.232,12.941,233.212,13.041,4.315,235.009,0.0,0.0,,251.576,13701.626,1.797,0.1,1802.08,18361000.0,284.773,235.009,13.041,0.0,0.0,95494029312.0,0.0,0.0
15004,2006,,,1.414,-6.205,-15.611,4.287,12.208,0.0,0.0,0.0,,,,35.277,3.906,0.0,0.033,3.939,0.0,0.0,3.205,15582.197,,58.906,3090.734,11.072,204.943,11.166,3.939,206.674,0.0,0.0,,235.965,12380.749,1.731,0.094,1850.937,19059000.0,296.981,206.674,11.166,0.0,0.0,92664569856.0,0.0,0.0
15005,2007,,,-2.356,-4.165,-9.829,2.791,8.289,0.0,0.0,0.0,,,,36.53,3.443,0.0,0.033,3.476,0.0,0.0,3.022,15357.19,,56.55,2844.856,9.425,173.207,9.515,3.476,174.867,0.0,0.0,,226.136,11376.177,1.66,0.09,1837.718,19878000.0,305.27,174.867,9.515,0.0,0.0,101000000000.0,0.0,0.0
15006,2008,,,-0.943,0.787,1.779,1.673,5.106,0.0,0.0,0.0,,,,38.738,2.84,0.0,0.033,2.873,0.0,0.0,2.901,15020.149,,55.608,2691.035,7.331,137.437,7.417,2.873,139.034,0.0,0.0,,227.915,11029.555,1.597,0.085,1874.65,20664000.0,310.376,139.034,7.417,0.0,0.0,107000000000.0,0.0,0.0
15007,2009,,,5.749,-1.542,-3.514,-6.388,-19.826,0.0,0.0,0.0,,,,40.835,1.847,0.0,0.033,1.88,0.0,0.0,2.741,13701.318,,61.357,2893.37,4.523,87.098,4.604,1.88,88.654,0.0,0.0,,224.401,10581.963,1.556,0.081,1925.657,21206000.0,290.55,88.654,4.604,0.0,0.0,106000000000.0,0.0,0.0
15008,2010,,,22.903,-4.122,-9.251,3.588,10.424,0.0,0.0,0.0,,,,43.791,2.566,0.0,0.033,2.599,0.0,0.0,2.551,14088.584,,84.26,3944.182,5.86,120.114,5.935,2.599,121.659,0.0,0.0,,215.15,10071.162,1.545,0.075,2049.84,21363000.0,300.974,121.659,5.935,0.0,0.0,118000000000.0,0.0,0.0
15009,2011,,,-10.085,-8.53,-18.353,-9.481,-28.536,0.0,0.0,0.0,,,,39.545,3.25,0.0,0.033,3.283,0.0,0.0,2.233,12922.819,,74.175,3518.395,8.218,154.16,8.302,3.283,155.725,0.0,0.0,,196.797,9334.847,1.565,0.083,1875.789,21082000.0,272.439,155.725,8.302,0.0,0.0,122000000000.0,0.0,0.0
15010,2012,,,-13.384,-52.335,-102.993,-22.742,-61.958,0.0,0.0,0.0,,,,33.169,3.205,0.0,0.033,3.238,0.0,0.0,2.064,10297.992,,60.791,2974.279,9.663,156.808,9.762,3.238,158.423,0.0,0.0,,93.804,4589.477,1.615,0.099,1622.806,20439000.0,210.481,158.423,9.762,0.0,0.0,102000000000.0,0.0,0.0
