,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15018,1900,,,,,,,,,,,,0.342,121.711,,,,,,,,,,,,,,,,,,,,,,,,,,2809304.0,,,,,,,,
15019,1901,57.143,0.195,,,,,,,,,,0.537,188.565,,,,,,,,,,,,,,,,,,,,,,,,,,2849446.0,,,,,,2911524096.0,,
15020,1902,46.97,0.252,,,,,,,,,,0.79,273.507,,,,,,,,,,,,,,,,,,,,,,,,,,2887235.0,,,,,,2984388096.0,,
15021,1903,-16.495,-0.13,,,,,,,,,,0.659,225.223,,,,,,,,,,,,,,,,,,,,,,,,,,2927856.0,,,,,,3565826048.0,,
15022,1904,2.469,0.016,,,,,,,,,,0.676,227.714,,,,,,,,,,,,,,,,,,,,,,,,,,2967339.0,,,,,,3452265984.0,,
15023,1905,14.458,0.098,,,,,,,,,,0.773,257.278,,,,,,,,,,,,,,,,,,,,,,,,,,3006065.0,,,,,,2865324032.0,,
15024,1906,8.421,0.065,,,,,,,,,,0.839,275.36,,,,,,,,,,,,,,,,,,,,,,,,,,3045191.0,,,,,,3053489920.0,,
15025,1907,31.068,0.261,,,,,,,,,,1.099,355.456,,,,,,,,,,,,,,,,,,,,,,,,,,3091901.0,,,,,,3410791936.0,,
15026,1908,14.074,0.155,,,,,,,,,,1.254,400.842,,,,,,,,,,,,,,,,,,,,,,,,,,3127702.0,,,,,,3548391936.0,,
15027,1909,19.481,0.244,,,,,,,,,,1.498,473.396,,,,,,,,,,,,,,,,,,,,,,,,,,3164252.0,,,,,,4004707072.0,,
15028,1910,26.087,0.391,,,,,,,,,,1.889,588.789,,,,,,,,,,,,,,,,,,,,,,,,,,3207794.0,,,,,,4134311936.0,,
15029,1911,9.914,0.187,,,,,,,,,,2.076,638.042,,,,,,,,,,,,,,,,,,,,,,,,,,3253638.0,,,,,,3947099904.0,,
15030,1912,9.412,0.195,,,,,,,,,,2.271,685.109,,,,,,,,,,,,,,,,,,,,,,,,,,3315296.0,,,,,,3786210048.0,,
15031,1913,15.412,0.35,,,,,,,,,,2.621,776.275,,,,,,,,,,,,,,,,,,,,,,,,,,3376901.0,,,,,,4196739072.0,,
15032,1914,7.453,0.195,,,,,,,,,,2.817,821.84,,,,,,,,,,,,,,,,,,,,,,,,,,3427417.0,,,,,,4107756032.0,,
15033,1915,10.405,0.293,,,,,,,,,,3.11,898.035,,,,,,,,,,,,,,,,,,,,,,,,,,3462964.0,,,,,,4292995072.0,,
15034,1916,36.649,1.14,,,,,,,,,,4.25,1217.07,,,,,,,,,,,,,,,,,,,,,,,,,,3491669.0,,,,,,4661113856.0,,
15035,1917,29.885,1.27,,,,,,,,,,5.52,1567.48,,,,,,,,,,,,,,,,,,,,,,,,,,3521322.0,,,,,,5293824000.0,,
15036,1918,19.174,1.058,,,,,,,,,,6.578,1849.211,,,,,,,,,,,,,,,,,,,,,,,,,,3557157.0,,,,,,5089562112.0,,
15037,1919,35.644,2.345,,,,,,,,,,8.923,2482.315,,,,,,,,,,,,,,,,,,,,,,,,,,3594444.0,,,,,,5293278208.0,,
15038,1920,4.745,0.423,,,,,,,,,,9.346,2567.892,,,,,,,,,,,,,,,,,,,,,,,,,,3639512.0,,,,,,5280098816.0,,
15039,1921,-9.582,-0.896,,,,,,,,,,8.45,2285.596,,,,,,,,,,,,,,,,,,,,,,,,,,3697226.0,,,,,,5538917888.0,,
15040,1922,29.769,2.516,,,,,,,,,,10.966,2913.861,,,,,,,,,,,,,,,,,,,,,,,,,,3763369.0,,,,,,6231123968.0,,
15041,1923,7.275,0.798,,,,,,,,,,11.764,3069.788,,,,,,,,,,,,,,,,,,,,,,,,,,3832107.0,,,,,,6441600000.0,,
15042,1924,4.221,0.497,,,,,,,,,,12.26,3139.608,,,,,,,,,,,,,,,,,,,,,,,,,,3905059.0,,,,,,7011388928.0,,
15043,1925,11.288,1.384,,,,,,,,,,13.644,3421.571,,,,,,,,,,,,,,,,,,,,,,,,,,3987738.0,,,,,,7440224256.0,,
15044,1926,6.862,0.936,,,,,,,,,,14.581,3574.956,,,,,,,,,,,,,,,,,,,,,,,,,,4078524.0,,,,,,7588619776.0,,
15045,1927,3.685,0.537,,,,,,,,,,15.118,3622.322,,,,,,,,,,,,,,,,,,,,,,,,,,4173524.0,,,,,,7617600000.0,,
15046,1928,-14.701,-2.222,,,,,,,,,,12.895,3019.887,,,,,,,,,,,,,,,,,,,,,,,,,,4270145.0,,,,,,7850290176.0,,
15047,1929,-3.409,-0.44,,,,,,,,,,12.456,2846.687,,,,,,,,,,,,,,,,,,,,,,,,,,4375521.0,,,,,,8288315904.0,,
15048,1930,4.51,0.562,,,,,,,,,,13.017,2899.021,,,,,,,,,,,,,,,,,,,,,,,,,,4490299.0,,,,,,8651448320.0,,
15049,1931,-11.069,-1.441,,,,,,,,,,11.577,2510.323,,,,,,,,,,,,,,,,,,,,,,,,,,4611562.0,,,,,,8773132288.0,,
15050,1932,-4.712,-0.545,,,,,,,,,,11.031,2329.639,,,,,,,,,,,,,,,,,,,,,,,,,,4735095.0,,,,,,9314027520.0,,
15051,1933,13.137,1.449,,,,,,,,,,12.48,2567.803,,,,,,,,,,,,,,,,,,,,,,,,,,4860249.0,,,,,,9055152128.0,,
15052,1934,-0.783,-0.098,,,,,,,,,,12.382,2483.422,,,,,,,,,,,,,,,,,,,,,,,,,,4986051.0,,,,,,9553881088.0,,
15053,1935,4.997,0.619,,,,,,,,,,13.001,2543.18,,,,,,,,,,,,,,,,,,,,,,,,,,5112177.0,,,,,,10539265024.0,,
15054,1936,9.205,1.197,,,,,,,,,,14.198,2708.224,,,,,,,,,,,,,,,,,,,,,,,,,,5242519.0,,,,,,11171373056.0,,
15055,1937,11.984,1.701,,,,,,,,,,15.899,2955.458,,,,,,,,,,,,,,,,,,,,,,,,,,5379669.0,,,,,,11293127680.0,,
15056,1938,12.596,2.003,,,,,,,,,,17.902,3242.331,,,,,,,,,,,,,,,,,,,,,,,,,,5521359.0,,,,,,11997872128.0,,
15057,1939,19.1,3.419,,,,,,,,,,21.321,3760.679,,,,,,,,,,,,,,,,,,,,,,,,,,5669534.0,,,,,,11768960000.0,,
15058,1940,8.477,1.807,,,,,,,,,,23.129,3969.358,,,,,,,,,,,,,,,,,,,,,,,,,,5826786.0,,,,,,10973559808.0,,
15059,1941,1.549,0.358,,,,,,,,,,23.487,3917.903,,,,,,,,,,,,,,,,,,,,,,,,,,5994739.0,,,,,,,,
15060,1942,-19.896,-4.673,,,,,,,,,,18.814,3052.544,,,,,,,,,,,,,,,,,,,,,,,,,,6163340.0,,,,,,,,
15061,1943,0.563,0.106,,,,,,,,,,18.92,3013.127,,,,,,,,,,,,,,,,,,,,,,,,,,6279091.0,,,,,,,,
15062,1944,-28.873,-5.463,,,,,,,,,,13.457,2121.902,,,,,,,,,,,,,,,,,,,,,,,,,,6341992.0,,,,,,,,
15063,1945,-51.906,-6.985,,,,,,,,,,6.472,1018.485,,,,,,,,,,,,,,,,,,,,,,,,,,6354637.0,,,,,,,,
15064,1946,31.95,2.068,,,,,,,,,,8.54,1355.925,,,,,,,,,,,,,,,,,,,,,,,,,,6298221.0,,,,,,,,
15065,1947,24.69,2.109,,,,,,,,,,10.648,1676.551,,,,,,,,,,,,,,,,,,,,,,,,,,6351395.0,,,,,,,,
15066,1948,26.147,2.784,,,,,,,,,,13.433,2038.531,,,,,,,,,,,,,,,,,,,,,,,,,,6589382.0,,,,,,,,
