,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15139,1992,,,,,,,,,,,,2.711,492.688,,,,,,,,6.407,14885.165,,1.084,197.042,,,,,,,,,0.784,142.404,,,,5502000.0,81.898,,,,,12782000128.0,,
15140,1993,-9.662,-0.262,-1.084,-40.448,-0.317,-8.429,-6.903,,,,,2.449,437.843,,,,,,,,6.313,13408.781,,0.0,0.0,,,,,,,,,0.467,83.424,,,,5593000.0,74.995,,,,,11879531520.0,,
15141,1994,-70.856,-1.735,0.359,-26.985,-0.126,-3.625,-2.719,,,,,0.714,125.674,,,,,,,,9.038,12726.987,,0.359,63.273,,,,,,,,,0.341,59.99,,,,5679000.0,72.277,,,,,7996908032.0,,
15142,1995,-62.385,-0.445,0.064,18.479,0.063,-19.619,-14.18,,,,,0.268,46.567,,,,,,,,7.277,10077.51,,0.424,73.516,,,,,,,,,0.404,70.015,,,,5765000.0,58.097,,,,,7983267840.0,,
15143,1996,-51.22,-0.138,-0.12,-15.366,-0.062,10.919,6.344,,,,,0.131,22.382,,,,,,,,8.58,11013.572,,0.304,51.965,,,,,,,,,0.342,58.386,,,,5851000.0,64.44,,,,,7510492160.0,,
15144,1997,-15.0,-0.02,0.13,5.149,0.018,-4.931,-3.177,,,,,0.111,18.746,,,,,,,,6.517,10317.101,,0.434,73.061,,,,,,,,,0.359,60.493,,,,5938000.0,61.263,,,,,9399992320.0,,
15145,1998,11.765,0.013,0.217,-17.526,-0.063,4.053,2.483,,,,,0.124,20.642,,,,,,,,7.567,10576.76,,0.651,107.973,,,,,,,,,0.296,49.154,,,,6027000.0,63.746,,,,,8424064000.0,,
15146,1999,0.0,0.0,0.0,0.0,0.0,14.343,9.143,,,,,0.124,20.328,,,,,,,,9.536,11909.971,,0.651,106.332,,,,,,,,,0.296,48.407,,,,6120000.0,72.889,,,,,7643610112.0,,
15147,2000,15.79,0.02,-0.217,-18.99,-0.056,-23.795,-17.344,,,,,0.144,23.174,13.983,13.774,0.0,0.0,13.774,0.0,0.0,7.005,8935.86,,0.434,69.793,98.505,2215.894,98.505,13.774,2215.894,0.0,0.0,,0.24,38.609,0.0,0.0,2249.517,6216000.0,55.545,2215.894,98.505,0.0,0.0,7929517056.0,0.0,0.0
15148,2001,9.091,0.013,0.108,-14.484,-0.035,4.358,2.42,,,,,0.157,24.869,14.229,14.064,0.0,0.0,14.064,0.0,0.0,6.574,9173.241,,0.542,85.819,98.84,2225.669,98.84,14.064,2225.669,0.0,0.0,,0.205,32.479,0.0,0.0,2251.78,6319000.0,57.966,2225.669,98.84,0.0,0.0,8817549312.0,0.0,0.0
15149,2002,50.0,0.079,-0.325,-5.215,-0.011,3.773,2.187,,,,,0.236,36.676,15.142,15.012,0.0,0.0,15.012,0.0,0.0,6.377,9359.423,,0.217,33.751,99.141,2335.771,99.141,15.012,2335.771,0.0,0.0,,0.195,30.268,0.0,0.0,2355.998,6427000.0,60.153,2335.771,99.141,0.0,0.0,9432823808.0,0.0,0.0
