,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15409,2003,,,,,,,,,,,,0.0,0.0,,,,,,,,,738.903,,,,,,,,,,,,,,,,,947000.0,0.7,,,,,,,
15410,2004,,0.0,,,,8.282,0.058,,,,,0.0,0.0,,,,,,,,,779.523,,,,,,,,,,,,,,,,,972000.0,0.758,,,,,,,
15411,2005,,0.0,,,,0.348,0.003,,,,,0.0,0.0,,,,,,,,,764.155,,,,,,,,,,,,,,,,,995000.0,0.76,,,,,,,
15412,2006,,0.0,,,,2.023,0.015,,,,,0.0,0.0,,,,,,,,,763.502,,,,,,,,,,,,,,,,,1016000.0,0.776,,,,,,,
15413,2007,,0.0,,,,3.508,0.027,,,,,0.0,0.0,,,,,,,,,775.026,,,,,,,,,,,,,,,,,1036000.0,0.803,,,,,,,
15414,2008,,0.0,,,,9.903,0.08,,,,,0.0,0.0,,,,,,,,,836.438,,,,,,,,,,,,,,,,,1055000.0,0.882,,,,,,,
15415,2009,,0.0,,,,11.9,0.105,,,,,0.0,0.0,,,,,,,,,919.412,,,,,,,,,,,,,,,,,1074000.0,0.987,,,,,,,
15416,2010,,0.0,,,,4.087,0.04,,,,,0.0,0.0,,,,,,,,,939.49,,,,,,,,,,,,,,,,,1094000.0,1.028,,,,,,,
15417,2011,,0.0,,,,3.759,0.039,,,,,0.0,0.0,,,,,,,,,958.165,,,,,,,,,,,,,,,,,1113000.0,1.066,,,,,,,
15418,2012,,0.0,,,,18.25,0.195,,,,,0.0,0.0,,,,,,,,,1113.035,,,,,,,,,,,,,,,,,1133000.0,1.261,,,,,,,
15419,2013,,0.0,,,,50.633,0.639,,,,,0.0,0.0,,,,,,,,,1647.517,,,,,,,,,,,,,,,,,1153000.0,1.9,,,,,,,
15420,2014,,0.0,,,,14.762,0.28,,,,,0.0,0.0,,,,,,,,,1856.909,,,,,,,,,,,,,,,,,1174000.0,2.18,,,,,,,
15421,2015,,0.0,,,,-1.941,-0.042,,,,,0.0,0.0,,,,,,,,,1787.379,,,,,,,,,,,,,,,,,1196000.0,2.138,,,,,,,
15422,2016,,0.0,,,,1.15,0.025,,,,,0.0,0.0,,,,,,,,,1773.816,,,,,,,,,,,,,,,,,1219000.0,2.162,,,,,,,
