,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15423,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.567,1010.125,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2721000.0,2.749,,,,,4850222080.0,,
15424,1981,,0.0,0.0,,0.0,-10.672,-0.293,,,,,0.0,0.0,,,,,,,,0.53,873.122,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2812000.0,2.455,,,,,4629440000.0,,
15425,1982,,0.0,0.0,,0.0,2.211,0.054,,,,,0.0,0.0,,,,,,,,0.537,860.598,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2916000.0,2.51,,,,,4676219904.0,,
15426,1983,,0.0,0.0,,0.0,-4.326,-0.109,,,,,0.0,0.0,,,,,,,,0.553,793.173,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3027000.0,2.401,,,,,4344902144.0,,
15427,1984,,0.0,0.0,,0.0,26.696,0.641,,,,,0.0,0.0,,,,,,,,0.716,968.444,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3141000.0,3.042,,,,,4245910016.0,,
15428,1985,,0.0,0.0,,0.0,-6.074,-0.185,,,,,0.0,0.0,,,,,,,,0.651,878.304,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3253000.0,2.857,,,,,4386857984.0,,
15429,1986,,0.0,0.0,,0.0,-15.437,-0.441,,,,,0.0,0.0,,,,,,,,0.527,718.424,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3363000.0,2.416,,,,,4582773760.0,,
15430,1987,,0.0,0.0,,0.0,-5.951,-0.144,,,,,0.0,0.0,,,,,,,,0.496,654.461,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3472000.0,2.272,,,,,4577584128.0,,
15431,1988,,0.0,0.0,,0.0,3.706,0.084,,,,,0.0,0.0,,,,,,,,0.488,658.794,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3577000.0,2.357,,,,,4826775040.0,,
15432,1989,,0.0,0.0,,0.0,17.616,0.415,,,,,0.0,0.0,,,,,,,,0.54,753.367,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3679000.0,2.772,,,,,5132918784.0,,
