,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15463,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,1368.878,,,,,,,,,,,,,,,,,93000.0,0.127,,,,,,,
15464,1981,,0.0,,,,46.544,0.059,,,,,0.0,0.0,,,,,,,,,2006.005,,,,,,,,,,,,,,,,,93000.0,0.187,,,,,,,
15465,1982,,0.0,,,,-6.761,-0.013,,,,,0.0,0.0,,,,,,,,,1850.482,,,,,,,,,,,,,,,,,94000.0,0.174,,,,,,,
15466,1983,,0.0,,,,7.251,0.013,,,,,0.0,0.0,,,,,,,,,1984.665,,,,,,,,,,,,,,,,,94000.0,0.187,,,,,,,
15467,1984,,0.0,,,,0.314,0.001,,,,,0.0,0.0,,,,,,,,,1990.906,,,,,,,,,,,,,,,,,94000.0,0.187,,,,,,,
15468,1985,,0.0,,,,3.918,0.007,,,,,0.0,0.0,,,,,,,,,2068.919,,,,,,,,,,,,,,,,,94000.0,0.194,,,,,,,
15469,1986,,0.0,,,,-40.981,-0.08,,,,,0.0,0.0,,,,,,,,,1221.059,,,,,,,,,,,,,,,,,94000.0,0.115,,,,,,,
15470,1987,,0.0,,,,121.757,0.14,,,,,0.0,0.0,,,,,,,,,2707.779,,,,,,,,,,,,,,,,,94000.0,0.255,,,,,,,
15471,1988,,0.0,,,,25.046,0.064,,,,,0.0,0.0,,,,,,,,,3350.337,,,,,,,,,,,,,,,,,95000.0,0.318,,,,,,,
15472,1989,,0.0,,,,23.533,0.075,,,,,0.0,0.0,,,,,,,,,4138.77,,,,,,,,,,,,,,,,,95000.0,0.393,,,,,,,
