,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15503,1965,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,4.231,36870.264,11.428,,,,,,,,,,22.198,77.463,84937.635,,,,912000.0,33.626,,,,,7946757120.0,,
15504,1966,,,,13.362,10.351,6.399,2.152,0.0,0.0,0.0,0.0,,,,,,,,,,4.31,38930.808,13.424,,,,,,,,,,22.354,87.814,95553.73,,,,919000.0,35.777,,,,,8300630016.0,,
15505,1967,,,,17.026,14.951,6.598,2.36,0.0,0.0,0.0,0.0,,,,,,,,,,4.349,41230.124,14.816,,,,,,,,,,23.322,102.765,111097.262,,,,925000.0,38.138,,,,,8769599488.0,,
15506,1968,,,,7.171,7.369,3.085,1.176,0.0,0.0,0.0,0.0,,,,,,,,,,4.187,42228.055,15.546,,,,,,,,,,23.769,110.134,118296.368,,,,931000.0,39.314,,,,,9389249536.0,,
15507,1969,,,,-18.026,-19.852,3.124,1.228,0.0,0.0,0.0,0.0,,,,,,,,,,4.046,43268.217,15.624,,,,,,,,,,24.918,90.282,96351.741,,,,937000.0,40.542,,,,,10020977664.0,,
15508,1970,,,,-10.828,-9.776,10.207,4.138,0.0,0.0,0.0,0.0,,,,,,,,,,4.402,47281.077,19.12,17.768,18801.682,,,,,,,,25.561,80.506,85191.395,,,,945000.0,44.681,,,,,10149739520.0,,
15509,1971,,,0.867,-7.857,-6.325,1.041,0.465,0.0,0.0,0.0,0.0,,,,,,,,,,4.62,47223.525,18.635,18.635,19492.693,,,,,,,,26.413,74.18,77594.569,,,,956000.0,45.146,,,,,9771996160.0,,
15510,1972,,,0.626,9.602,7.123,37.842,17.084,0.0,0.0,0.0,0.0,,,,,,,,,,5.457,64286.86,19.261,19.261,19897.485,,,,,,,,42.872,81.303,83990.754,,,,968000.0,62.23,,,,,11403599872.0,,
15511,1973,,,-0.763,17.409,14.154,-0.811,-0.505,0.0,0.0,0.0,0.0,,,,,,,,,,5.286,62856.21,18.498,18.498,18837.082,,,,,,,,43.146,95.457,97206.679,,,,982000.0,61.725,,,,,11677174784.0,,
15512,1974,,,-1.598,12.651,12.076,-3.678,-2.27,0.0,0.0,0.0,0.0,,,,,,,,,,4.551,59693.177,16.9,16.9,16967.634,,,,,,,,42.485,107.533,107964.698,,,,996000.0,59.454,,,,,13064349696.0,,
15513,1975,,,-1.54,15.508,16.676,-19.425,-11.549,0.0,0.0,0.0,0.0,,,,,,,,,,3.638,47384.006,15.36,15.36,15192.643,,,,,,,,32.482,124.209,122857.621,,,,1011000.0,47.905,,,,,13168538624.0,,
15514,1976,,,1.929,-1.583,-1.966,12.442,5.96,0.0,0.0,0.0,0.0,,,,,,,,,,3.672,52551.871,17.288,17.288,16866.599,,,,,,,,36.525,122.243,119261.35,,,,1025000.0,53.866,,,,,14667685888.0,,
15515,1977,,,3.033,7.724,9.442,4.038,2.175,0.0,0.0,0.0,0.0,,,,,,,,,,3.751,53937.191,20.322,20.322,19558.726,,,,,,,,35.655,131.685,126741.674,,,,1039000.0,56.041,,,,,14941858816.0,,
15516,1978,,,3.939,0.437,0.575,0.683,0.383,0.0,0.0,0.0,0.0,,,,,,,,,,3.405,53532.83,24.26,24.26,23017.333,,,,,,,,32.083,132.26,125483.531,,,,1054000.0,56.424,,,,,16570752000.0,,
15517,1979,,,0.816,-6.957,-9.201,-11.648,-6.572,0.0,0.0,0.0,0.0,,,,,,,,,,2.788,46633.902,25.077,25.077,23457.923,,,,,,,,24.695,123.059,115115.969,,,,1069000.0,49.852,,,,,17881544704.0,,
15518,1980,,,3.256,-0.663,-0.816,-3.836,-1.912,0.0,0.0,0.0,0.0,,,,,,,,,,2.495,44183.885,28.333,28.333,26112.924,,,,,,,,19.535,122.243,112666.252,,,,1085000.0,47.94,,,,,19216873472.0,,
15519,1981,,,2.877,-11.093,-13.56,5.598,2.683,0.0,0.0,0.0,0.0,,,,,,,,,,2.555,45937.327,31.21,31.21,28320.803,,,,,,,,19.361,108.683,98623.342,,,,1102000.0,50.623,,,,,19814193152.0,,
15520,1982,,,6.722,-6.349,-6.901,17.449,8.833,0.0,0.0,0.0,0.0,,,,,,,,,,3.303,53085.895,37.931,37.931,33867.215,,,,,,,,21.475,101.782,90877.16,,,,1120000.0,59.456,,,,,18000443392.0,,
15521,1983,,,1.366,-9.605,-9.776,-2.431,-1.445,0.0,0.0,0.0,0.0,,,,,,,,,,3.565,50976.035,39.297,39.297,34531.882,,,,,,,,18.669,92.007,80849.479,,,,1138000.0,58.011,,,,,16272900096.0,,
15522,1984,,,1.879,6.541,6.018,-1.43,-0.829,0.0,0.0,0.0,0.0,,,,,,,,,,3.383,49507.747,41.176,41.176,35650.245,,,,,,,,15.969,98.025,84870.09,,,,1155000.0,57.181,,,,,16904908800.0,,
15523,1985,,,0.976,2.29,2.245,3.347,1.914,0.0,0.0,0.0,0.0,,,3.023,0.0,0.0,0.017,0.017,0.0,0.0,3.53,50508.739,42.152,42.152,36027.379,0.0,0.0,0.562,0.017,14.53,0.0,0.0,16.896,100.27,85700.906,14.53,0.562,2583.761,1170000.0,59.095,14.53,0.562,0.0,0.0,16742308864.0,0.0,0.0
15524,1986,,,0.983,-3.911,-3.921,3.969,2.345,0.0,0.0,0.0,0.0,,,3.291,0.0,0.0,0.026,0.026,0.0,0.0,4.196,51936.29,43.135,43.135,36461.99,0.0,0.0,0.79,0.026,21.978,0.0,0.0,18.234,96.349,81444.558,21.978,0.79,2781.91,1183000.0,61.441,21.978,0.79,0.0,0.0,14643376128.0,0.0,0.0
15525,1987,,,2.559,-8.248,-7.946,-5.598,-3.44,0.0,0.0,0.0,0.0,,,3.481,0.0,0.0,0.031,0.031,0.0,0.0,4.455,48536.374,45.694,45.694,38237.269,0.0,0.0,0.891,0.031,25.941,0.0,0.0,12.221,88.402,73976.964,25.941,0.891,2912.971,1195000.0,58.001,25.941,0.891,0.0,0.0,13019299840.0,0.0,0.0
15526,1988,,,6.901,-2.217,-1.96,9.9,5.742,0.0,0.0,0.0,0.0,,,3.485,0.0,0.0,0.027,0.027,0.0,0.0,5.274,52942.588,52.594,52.594,43682.967,0.0,0.0,0.775,0.027,22.425,0.0,0.0,11.074,86.443,71796.207,22.425,0.775,2894.518,1204000.0,63.743,22.425,0.775,0.0,0.0,12085355520.0,0.0,0.0
15527,1989,,,0.101,-1.363,-1.178,-1.619,-1.032,0.0,0.0,0.0,0.0,,,3.428,0.0,0.0,0.026,0.026,0.0,0.0,5.574,51698.84,52.695,52.695,43441.708,0.0,0.0,0.758,0.026,21.434,0.0,0.0,9.944,85.265,70292.383,21.434,0.758,2826.051,1213000.0,62.711,21.434,0.758,0.0,0.0,11250719744.0,0.0,0.0
15528,1990,,,1.939,0.43,0.367,10.965,6.876,0.0,0.0,0.0,0.0,,,3.577,0.0,0.0,0.031,0.031,0.0,0.0,5.904,56991.942,54.634,54.634,44745.122,0.0,0.0,0.867,0.031,25.389,0.0,0.0,14.867,85.631,70132.194,25.389,0.867,2929.566,1221000.0,69.587,25.389,0.867,0.0,0.0,11786959872.0,0.0,0.0
15529,1991,,,0.718,-1.771,-1.517,-0.3,-0.209,0.0,0.0,0.0,0.0,,,3.72,0.0,0.0,0.025,0.025,0.0,0.0,6.564,56451.229,55.352,55.352,45037.998,0.0,0.0,0.672,0.025,20.342,0.0,0.0,13.957,84.115,68441.448,20.342,0.672,3026.851,1229000.0,69.379,20.342,0.672,0.0,0.0,10570139648.0,0.0,0.0
15530,1992,,,-1.864,-4.077,-3.429,5.845,4.056,0.0,0.0,0.0,0.0,,,3.976,0.0,0.0,0.03,0.03,0.0,0.0,6.053,59364.651,53.488,53.488,43240.141,0.0,0.0,0.755,0.03,24.252,0.0,0.0,19.863,80.685,65226.751,24.252,0.755,3214.228,1237000.0,73.434,24.252,0.755,0.0,0.0,12132377600.0,0.0,0.0
15531,1993,,,6.545,-7.142,-5.763,5.409,3.972,0.0,0.0,0.0,0.0,,,3.817,0.0,0.0,0.028,0.028,0.0,0.0,7.266,62223.464,60.033,60.033,48258.188,0.0,0.0,0.734,0.028,22.508,0.0,0.0,17.295,74.923,60227.421,22.508,0.734,3068.328,1244000.0,77.406,22.508,0.734,0.0,0.0,10652565504.0,0.0,0.0
15532,1994,,,8.724,4.817,3.609,5.974,4.624,0.0,0.0,0.0,0.0,,,4.069,0.0,0.0,0.032,0.032,0.0,0.0,8.155,65624.064,68.757,68.757,55005.82,0.0,0.0,0.786,0.032,25.6,0.0,0.0,13.184,78.532,62825.296,25.6,0.786,3255.2,1250000.0,82.03,25.6,0.786,0.0,0.0,10059280384.0,0.0,0.0
15533,1995,,,5.056,-0.409,-0.322,8.446,6.928,0.0,0.0,0.0,0.0,,,4.307,0.0,0.0,0.033,0.033,0.0,0.0,8.569,70939.681,73.813,73.813,58862.265,0.0,0.0,0.766,0.033,26.316,0.0,0.0,15.053,78.21,62368.501,26.316,0.766,3434.609,1254000.0,88.958,26.316,0.766,0.0,0.0,10381232128.0,0.0,0.0
15534,1996,,,9.531,-0.893,-0.698,13.305,11.836,0.0,0.0,0.0,0.0,,,4.541,0.0,0.0,0.017,0.017,0.0,0.0,10.055,80122.644,83.344,83.344,66251.282,0.0,0.0,0.374,0.017,13.514,0.0,0.0,17.403,77.512,61615.076,13.514,0.374,3609.698,1258000.0,100.794,13.514,0.374,0.0,0.0,10024066048.0,0.0,0.0
15535,1997,,,7.099,-3.568,-2.765,-0.026,-0.026,0.0,0.0,0.0,0.0,,,4.988,0.0,0.0,0.018,0.018,0.0,0.0,9.785,79974.445,90.443,90.443,71780.505,0.0,0.0,0.361,0.018,14.286,0.0,0.0,10.274,74.746,59322.457,14.286,0.361,3958.73,1260000.0,100.768,14.286,0.361,0.0,0.0,10297979904.0,0.0,0.0
15536,1998,,,0.0,-0.63,-0.471,1.504,1.516,0.0,0.0,0.0,0.0,,,5.169,0.0,0.0,0.018,0.018,0.0,0.0,9.754,81048.846,90.443,90.443,71666.749,0.0,0.0,0.348,0.018,14.263,0.0,0.0,11.79,74.275,58855.309,14.263,0.348,4095.88,1262000.0,102.284,14.263,0.348,0.0,0.0,10485894144.0,0.0,0.0
15537,1999,,,23.632,3.871,2.875,11.144,11.398,0.0,0.0,0.0,0.0,,,5.247,0.0,0.0,0.018,0.018,0.0,0.0,9.013,89938.044,92.777,114.075,90249.55,0.0,0.0,0.343,0.018,14.241,0.0,0.0,20.854,77.151,61036.846,14.241,0.343,4151.108,1264000.0,113.682,14.241,0.343,0.0,0.0,12612731904.0,0.0,0.0
15538,2000,,,24.231,-1.087,-0.839,4.526,5.146,0.0,0.0,0.0,0.0,,,5.133,0.0,0.0,0.02,0.02,0.0,0.0,7.489,93786.269,98.13,138.307,109160.87,0.0,0.0,0.39,0.02,15.785,0.0,0.0,20.641,76.312,60230.521,15.785,0.39,4051.302,1267000.0,118.827,15.785,0.39,0.0,0.0,15867847680.0,0.0,0.0
