,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15558,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1651652.0,,,,,,,,
15559,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1670077.0,,,,,,,,
15560,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1688380.0,,,,,,,,
15561,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1707214.0,,,,,,,,
15562,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1726258.0,,,,,,,,
15563,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1745515.0,,,,,,,,
15564,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1764986.0,,,,,,,,
15565,1907,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1784190.0,,,,,,,,
15566,1908,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1804092.0,,,,,,,,
15567,1909,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1824216.0,,,,,,,,
15568,1910,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1844564.0,,,,,,,,
15569,1911,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1864995.0,,,,,,,,
15570,1912,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1885798.0,,,,,,,,
15571,1913,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1910946.0,,,,,,2397339904.0,,
15572,1914,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1940562.0,,,,,,,,
15573,1915,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1974771.0,,,,,,,,
15574,1916,,0.034,0.0,,0.0,,,,,,,0.034,17.156,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2009583.0,,,,,,,,
15575,1917,199.999,0.069,0.0,,0.0,,,,,,,0.103,50.578,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2045008.0,,,,,,,,
15576,1918,36.364,0.038,0.0,,0.0,,,,,,,0.141,67.802,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2080210.0,,,,,,,,
15577,1919,-100.0,-0.141,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2116233.0,,,,,,,,
15578,1920,,0.097,0.0,,0.0,,,,,,,0.097,45.132,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2152880.0,,,,,,,,
15579,1921,-25.806,-0.025,0.0,,0.0,,,,,,,0.072,32.915,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2190161.0,,,,,,,,
15580,1922,-100.0,-0.072,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2228089.0,,,,,,,,
15581,1923,,0.003,0.0,,0.0,,,,,,,0.003,1.383,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2266673.0,,,,,,,,
15582,1924,-100.0,-0.003,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2305925.0,,,,,,,,
15583,1925,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2345857.0,,,,,,,,
15584,1926,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2386480.0,,,,,,,,
15585,1927,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2427807.0,,,,,,,,
15586,1928,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2469850.0,,,,,,,,
15587,1929,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2512621.0,,,,,,,,
15588,1930,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2556132.0,,,,,,,,
15589,1931,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2600397.0,,,,,,,,
15590,1932,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2645428.0,,,,,,,,
15591,1933,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2691239.0,,,,,,,,
15592,1934,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2737844.0,,,,,,,,
15593,1935,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2785255.0,,,,,,,,
15594,1936,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2833488.0,,,,,,,,
15595,1937,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2882556.0,,,,,,,,
15596,1938,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2932473.0,,,,,,,,
15597,1939,,0.006,0.0,,0.0,,,,,,,0.006,2.101,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2983255.0,,,,,,,,
15598,1940,1299.997,0.081,0.0,,0.0,,,,,,,0.088,28.917,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3034916.0,,,,,,,,
15599,1941,307.143,0.27,0.0,,0.0,,,,,,,0.357,115.729,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3087472.0,,,,,,,,
15600,1942,24.561,0.088,0.0,,0.0,,,,,,,0.445,141.699,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3140939.0,,,,,,,,
15601,1943,-71.127,-0.317,0.0,,0.0,,,,,,,0.129,40.217,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3195331.0,,,,,,,,
15602,1944,63.415,0.081,0.0,,0.0,,,,,,,0.21,64.601,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3250664.0,,,,,,,,
15603,1945,4.478,0.009,0.0,,0.0,,,,,,,0.219,66.345,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3306957.0,,,,,,,,
15604,1946,35.714,0.078,0.0,,0.0,,,,,,,0.298,88.507,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3364223.0,,,,,,,,
15605,1947,-20.0,-0.06,0.0,,0.0,,,,,,,0.238,69.6,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3422482.0,,,,,,,,
15606,1948,-6.579,-0.016,0.0,,0.0,,,,,,,0.223,63.915,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3481750.0,,,,,,,,
15607,1949,-33.803,-0.075,0.0,,0.0,,,,,,,0.147,41.589,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3542043.0,,,,,,,,
15608,1950,-12.766,-0.019,0.012,,0.0,,,,,,,0.129,35.647,,,,,,,,,,,0.012,3.341,,,,,,,,,0.0,0.0,,,,3605000.0,,,,,,5694023168.0,,
15609,1951,-80.488,-0.103,0.012,,0.0,,,,,,,0.025,6.784,,,,,,,,,,,0.024,6.517,,,,,,,,,0.0,0.0,,,,3696000.0,,,,,,5757880832.0,,
15610,1952,-100.0,-0.025,0.012,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.036,9.576,,,,,,,,,0.0,0.0,,,,3773000.0,,,,,,6464256000.0,,
15611,1953,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.036,9.414,,,,,,,,,0.0,0.0,,,,3838000.0,,,,,,6705677824.0,,
15612,1954,,0.0,0.012,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.048,12.371,,,,,,,,,0.0,0.0,,,,3894000.0,,,,,,6855106048.0,,
15613,1955,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.048,12.214,,,,,,,,,0.0,0.0,,,,3944000.0,,,,,,6503585792.0,,
15614,1956,,0.0,0.024,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.072,18.115,,,,,,,,,0.0,0.0,,,,3989000.0,,,,,,6935630848.0,,
15615,1957,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.072,17.917,,,,,,,,,0.0,0.0,,,,4033000.0,,,,,,6649532928.0,,
15616,1958,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.072,17.724,,,,,,,,,0.0,0.0,,,,4077000.0,,,,,,7513124864.0,,
15617,1959,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.072,17.517,,,,,,,,,0.0,0.0,,,,4125000.0,,,,,,7200524800.0,,
15618,1960,,0.0,0.012,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.084,20.178,,,,,,,,,0.0,0.0,,,,4178000.0,,,,,,8090549760.0,,
15619,1961,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.084,19.892,,,,,,,,,0.0,0.0,,,,4238000.0,,,,,,8790360064.0,,
15620,1962,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.084,19.583,,,,,,,,,0.0,0.0,,,,4305000.0,,,,,,8586861056.0,,
15621,1963,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.084,19.247,,,,,,,,,0.0,0.0,,,,4380000.0,,,,,,9880865792.0,,
15622,1964,,0.0,0.012,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.096,21.597,,,,,,,,,0.0,0.0,,,,4461000.0,,,,,,10312143872.0,,
15623,1965,,0.0,-0.012,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.084,18.536,,,,,,,,,0.0,0.0,,,,4548000.0,,,,,,10958399488.0,,
15624,1966,,,,,8.952,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.952,1928.932,,,,4641000.0,,,,,,11231752192.0,,
15625,1967,,,,190.661,17.068,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,26.021,5488.403,,,,4741000.0,,,,,,11158497280.0,,
15626,1968,,,,42.392,11.031,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,37.051,7647.283,,,,4845000.0,,,,,,12332879872.0,,
15627,1969,,,,16.17,5.991,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.042,8690.172,,,,4953000.0,,,,,,12769775616.0,,
15628,1970,,,,11.977,5.155,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,48.198,9517.725,,,,5064000.0,,,,,,13527647232.0,,
15629,1971,,,,-1.012,-0.488,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.71,9217.561,,,,5176000.0,,,,,,14965042176.0,,
15630,1972,,,,-3.212,-1.533,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,46.177,8727.542,,,,5291000.0,,,,,,17619888128.0,,
15631,1973,,,,-2.489,-1.15,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,45.028,8324.63,,,,5409000.0,,,,,,17498849280.0,,
15632,1974,,,,6.73,3.031,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,48.058,8688.922,,,,5531000.0,,,,,,18907068416.0,,
15633,1975,,,,11.355,5.457,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,53.516,9460.077,,,,5657000.0,,,,,,20260608000.0,,
15634,1976,,,,-19.505,-10.438,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.077,7445.084,,,,5786000.0,,,,,,21859928064.0,,
15635,1977,,,,16.011,6.897,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,49.974,8441.598,,,,5920000.0,,,,,,22608824320.0,,
15636,1978,,,,14.87,7.431,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,57.405,9472.835,,,,6060000.0,,,,,,24065392640.0,,
15637,1979,,,,11.974,6.874,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,64.279,10349.245,,,,6211000.0,,,,,,25641240576.0,,
15638,1980,,,,1.644,1.057,,,0.0,0.0,0.0,,,,,,,,,,,1.351,5836.529,,,,,,,,,,,,65.336,10250.357,,,,6374000.0,37.202,,,,,27543824384.0,,
15639,1981,,,,-3.91,-2.554,9.794,3.644,0.0,0.0,0.0,,,,,,,,,,,1.405,6235.029,,,,,,,,,,,,62.781,9583.472,,,,6551000.0,40.846,,,,,29066399744.0,,
15640,1982,,,,-4.827,-3.031,-4.498,-1.837,0.0,0.0,0.0,,,,,,,,,,,1.349,5786.725,,,,,,,,,,,,59.751,8863.793,,,,6741000.0,39.008,,,,,28922529792.0,,
15641,1983,,,,7.501,4.482,13.34,5.204,0.0,0.0,0.0,,,,,,,,,,,1.46,6373.378,,,,,,,,,,,,64.233,9259.438,,,,6937000.0,44.212,,,,,30280040448.0,,
15642,1984,,,,-0.94,-0.604,9.148,4.045,0.0,0.0,0.0,,,,,,,,,,,1.508,6763.397,,,,,,,,,,,,63.629,8917.861,,,,7135000.0,48.257,,,,,32009175040.0,,
