,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15679,1900,,,,,,,,,,,,3.176,226.4,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14030306.0,,,,,,,,
15680,1901,-8.333,-0.265,0.0,,0.0,,,,,,,2.912,206.352,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14110626.0,,,,,,,,
15681,1902,10.39,0.303,0.0,,0.0,,,,,,,3.214,226.506,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14190665.0,,,,,,,,
15682,1903,15.059,0.484,0.0,,0.0,,,,,,,3.698,259.132,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14271903.0,,,,,,,,
15683,1904,13.497,0.499,0.0,,0.0,,,,,,,4.197,292.433,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14353606.0,,,,,,,,
15684,1905,12.072,0.507,0.0,,0.0,,,,,,,4.704,325.87,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14435776.0,,,,,,,,
15685,1906,3.055,0.144,0.0,,0.0,,,,,,,4.848,333.912,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14518416.0,,,,,,,,
15686,1907,19.033,0.923,0.0,,0.0,,,,,,,5.771,395.232,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14600463.0,,,,,,,,
15687,1908,-8.519,-0.492,0.0,,0.0,,,,,,,5.279,359.504,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14684046.0,,,,,,,,
15688,1909,13.754,0.726,0.0,,0.0,,,,,,,6.005,406.621,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14768107.0,,,,,,,,
15689,1910,-3.778,-0.227,0.0,,0.0,,,,,,,5.778,389.03,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14852648.0,,,,,,,,
15690,1911,18.325,1.059,0.0,,0.0,,,,,,,6.837,457.708,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14937363.0,,,,,,,,
15691,1912,-10.398,-0.711,0.0,,0.0,,,,,,,6.126,407.78,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,15022873.0,,,,,,,,
15692,1913,2.099,0.129,0.0,,0.0,,,,,,,6.255,415.82,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,15041582.0,,,,,,27509999616.0,,
15693,1914,-18.38,-1.15,0.0,,0.0,,,,,,,5.105,340.48,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14993614.0,,,,,,,,
15694,1915,-37.778,-1.929,0.0,,0.0,,,,,,,3.176,213.485,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14879090.0,,,,,,,,
15695,1916,-50.476,-1.603,0.0,,0.0,,,,,,,1.573,106.54,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14765440.0,,,,,,,,
15696,1917,-23.558,-0.371,0.0,,0.0,,,,,,,1.203,82.068,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14652658.0,,,,,,,,
15697,1918,16.981,0.204,0.0,,0.0,,,,,,,1.407,96.758,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14538524.0,,,,,,,,
15698,1919,104.839,1.475,0.0,,0.0,,,,,,,2.882,199.746,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14425828.0,,,,,,,,
15699,1920,49.344,1.422,0.0,,0.0,,,,,,,4.303,300.639,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14314005.0,,,,,,,,
15700,1921,-39.895,-1.717,0.0,,0.0,,,,,,,2.587,182.112,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14203050.0,,,,,,,,
15701,1922,20.175,0.522,0.0,,0.0,,,,,,,3.108,220.563,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14092954.0,,,,,,,,
15702,1923,45.255,1.407,0.0,,0.0,,,,,,,4.515,321.351,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14050409.0,,,,,,13530075136.0,,
15703,1924,66.499,3.003,0.0,,0.0,,,,,,,7.518,534.106,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14075128.0,,,,,,14359103488.0,,
15704,1925,-3.353,-0.252,0.0,,0.0,,,,,,,7.266,512.847,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14167162.0,,,,,,15535195136.0,,
15705,1926,26.967,1.959,0.0,,0.0,,,,,,,9.225,646.824,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14261883.0,,,,,,17504786432.0,,
15706,1927,9.03,0.833,0.0,,0.0,,,,,,,10.058,698.372,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14401949.0,,,,,,15432750080.0,,
15707,1928,-5.57,-0.56,0.0,,0.0,,,,,,,9.498,651.063,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14588032.0,,,,,,16575020032.0,,
15708,1929,13.665,1.298,0.0,,0.0,,,,,,,10.796,728.654,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,14815765.0,,,,,,18601824256.0,,
15709,1930,12.077,1.304,0.0,,0.0,,,,,,,12.099,803.935,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,15050216.0,,,,,,19570608128.0,,
15710,1931,-1.346,-0.163,0.0,,0.0,,,,,,,11.937,780.759,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,15288362.0,,,,,,20864249856.0,,
15711,1932,1.471,0.176,0.0,,0.0,,,,,,,12.112,779.735,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,15533561.0,,,,,,19714506752.0,,
15712,1933,16.644,2.016,0.0,,0.0,,,,,,,14.128,895.346,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,15779433.0,,,,,,22453571584.0,,
