,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15800,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2877000.0,,,,,,19920875520.0,,
15801,1981,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948000.0,,,,,,20128010240.0,,
15802,1982,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019000.0,,,,,,20329248768.0,,
15803,1983,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3092000.0,,,,,,20697335808.0,,
15804,1984,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3166000.0,,,,,,20471220224.0,,
15805,1985,,,,,,,,0.0,0.0,0.0,3.745,,,10.987,0.003,0.0,0.0,0.003,0.0,0.0,6.968,44113.332,81.751,787.32,242700.355,0.027,0.925,0.027,0.003,0.925,0.0,0.0,57.599,78.723,24267.385,0.0,0.0,3386.868,3244000.0,143.104,0.925,0.027,0.0,0.0,20538359808.0,0.0,0.0
15806,1986,,,14.291,-3.245,-2.554,24.46,35.003,0.0,0.0,0.0,3.745,,,12.396,0.003,0.0,0.0,0.003,0.0,0.0,8.43,53582.134,132.422,801.611,241158.474,0.024,0.903,0.024,0.003,0.903,0.0,0.0,41.932,76.169,22914.847,0.0,0.0,3729.242,3324000.0,178.107,0.903,0.024,0.0,0.0,21127344128.0,0.0,0.0
15807,1987,,,32.178,-1.372,-1.045,-0.519,-0.924,0.0,0.0,0.0,3.745,,,13.267,0.003,0.0,0.0,0.003,0.0,0.0,8.185,52005.525,131.542,833.789,244728.139,0.023,0.881,0.023,0.003,0.881,0.0,0.0,41.888,75.124,22049.882,0.0,0.0,3894.042,3407000.0,177.183,0.881,0.023,0.0,0.0,21646206976.0,0.0,0.0
15808,1988,,,1.893,-11.592,-8.708,0.677,1.2,0.0,0.0,0.0,3.21,,,12.891,0.003,0.0,0.0,0.003,0.0,0.0,7.554,51053.985,133.307,835.682,239176.186,0.023,0.859,0.023,0.003,0.859,0.0,0.0,41.858,66.416,19008.474,0.0,0.0,3689.468,3494000.0,178.383,0.859,0.023,0.0,0.0,23612903424.0,0.0,0.0
15809,1989,,,15.143,0.524,0.348,2.751,4.907,0.0,0.0,0.0,3.745,,,14.508,0.003,0.0,0.0,0.003,0.0,0.0,8.466,51112.683,137.722,850.824,237262.739,0.021,0.837,0.021,0.003,0.837,0.0,0.0,41.815,66.764,18617.943,0.0,0.0,4045.733,3586000.0,183.29,0.837,0.021,0.0,0.0,21649891328.0,0.0,0.0
15810,1990,,,-58.397,-0.87,-0.581,-17.131,-31.399,0.0,0.0,0.0,4.28,,,14.61,0.003,0.0,0.0,0.003,0.0,0.0,6.993,41229.989,92.786,792.427,215099.588,0.021,0.814,0.021,0.003,0.814,0.0,0.0,54.817,66.183,17965.089,0.0,0.0,3965.798,3684000.0,151.891,0.814,0.021,0.0,0.0,21721204736.0,0.0,0.0
15811,1991,,,-30.993,-5.263,-3.483,2.699,4.099,0.0,0.0,0.0,3.745,,,14.954,0.003,0.0,0.0,0.003,0.0,0.0,7.591,41169.289,90.931,761.434,200959.187,0.02,0.792,0.02,0.003,0.792,0.0,0.0,61.306,62.7,16547.915,0.0,0.0,3946.556,3789000.0,155.99,0.792,0.02,0.0,0.0,20548814848.0,0.0,0.0
15812,1992,,,-258.431,-3.704,-2.322,-4.5,-7.02,0.0,0.0,0.0,1.605,,,13.183,0.004,0.0,0.0,0.004,0.0,0.0,8.428,38197.595,88.291,503.003,128975.103,0.032,1.077,0.032,0.004,1.077,0.0,0.0,59.063,60.378,15481.494,0.0,0.0,3380.205,3900000.0,148.971,1.077,0.032,0.0,0.0,17675450368.0,0.0,0.0
15813,1993,,,85.855,-15.731,-9.498,-17.908,-26.678,0.0,0.0,0.0,0.0,,,12.637,0.005,0.0,0.0,0.005,0.0,0.0,6.153,30489.232,88.291,588.858,146810.763,0.04,1.247,0.04,0.005,1.247,0.0,0.0,33.988,50.88,12685.098,0.0,0.0,3150.536,4011000.0,122.292,1.247,0.04,0.0,0.0,19874859008.0,0.0,0.0
15814,1994,,,-265.554,-4.336,-2.206,6.673,8.161,0.0,0.0,0.0,0.058,,,10.52,0.004,0.0,0.0,0.004,0.0,0.0,9.287,31701.841,96.231,323.304,78567.195,0.038,0.972,0.038,0.004,0.972,0.0,0.0,34.153,48.674,11828.388,0.0,0.0,2556.501,4115000.0,130.453,0.972,0.038,0.0,0.0,14046527488.0,0.0,0.0
15815,1995,,,-31.666,-2.91,-1.417,-17.687,-23.074,0.0,0.0,0.0,0.058,,,9.905,0.004,0.0,0.0,0.004,0.0,0.0,8.707,25517.921,75.921,291.638,69305.545,0.04,0.951,0.04,0.004,0.951,0.0,0.0,31.389,47.257,11230.337,0.0,0.0,2353.85,4208000.0,107.379,0.951,0.04,0.0,0.0,12331872256.0,0.0,0.0
15816,1996,,,25.988,7.002,3.309,45.66,49.03,0.0,0.0,0.0,0.535,,,10.13,0.005,0.0,0.0,0.005,0.0,0.0,13.208,36484.473,119.35,317.625,74090.332,0.049,1.166,0.049,0.005,1.166,0.0,0.0,36.51,50.566,11795.295,0.0,0.0,2362.958,4287000.0,156.409,1.166,0.049,0.0,0.0,11841978368.0,0.0,0.0
15817,1997,,,-161.411,23.261,11.762,-23.426,-36.64,0.0,0.0,0.0,0.0,,,9.498,0.005,0.0,0.0,0.005,0.0,0.0,9.553,27501.4,84.026,156.214,35870.006,0.053,1.148,0.053,0.005,1.148,0.0,0.0,35.728,62.328,14311.939,0.0,0.0,2180.941,4355000.0,119.769,1.148,0.053,0.0,0.0,12536999936.0,0.0,0.0
15818,1998,,,-36.094,18.648,11.623,24.519,29.366,0.0,0.0,0.0,0.0,,,9.416,0.006,0.0,0.0,0.006,0.0,0.0,10.983,33794.365,103.276,120.12,27219.6,0.064,1.36,0.064,0.006,1.36,0.0,0.0,45.842,73.951,16757.586,0.0,0.0,2133.696,4413000.0,149.135,1.36,0.064,0.0,0.0,13578731520.0,0.0,0.0
15819,1999,,,85.759,10.897,8.058,-4.545,-6.778,0.0,0.0,0.0,0.0,,,8.86,0.005,0.0,0.0,0.005,0.0,0.0,9.881,31875.54,92.304,205.879,46099.175,0.056,1.12,0.056,0.005,1.12,0.0,0.0,50.038,82.009,18363.042,0.0,0.0,1983.878,4466000.0,142.356,1.12,0.056,0.0,0.0,14407568384.0,0.0,0.0
15820,2000,,,218.488,3.072,2.52,-15.831,-22.536,0.0,0.0,0.0,0.0,,,9.255,0.005,0.0,0.0,0.005,0.0,0.0,6.683,26532.31,71.61,424.367,93969.573,0.054,1.107,0.054,0.005,1.107,0.0,0.0,48.201,84.529,18717.661,0.0,0.0,2049.38,4516000.0,119.82,1.107,0.054,0.0,0.0,17930264576.0,0.0,0.0
