,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15840,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8000.0,0.0,,,,,,,
15841,1981,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8000.0,0.0,,,,,,,
15842,1982,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9000.0,0.0,,,,,,,
15843,1983,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9000.0,0.0,,,,,,,
15844,1984,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,,,,,,,
15845,1985,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,,,,,,,
15846,1986,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,,,,,,,
15847,1987,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,11000.0,0.0,,,,,,,
15848,1988,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,11000.0,0.0,,,,,,,
15849,1989,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12000.0,0.0,,,,,,,
15850,1990,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12000.0,0.0,,,,,,,
15851,1991,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13000.0,0.0,,,,,,,
15852,1992,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,14000.0,0.0,,,,,,,
15853,1993,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,15000.0,0.0,,,,,,,
15854,1994,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,15000.0,0.0,,,,,,,
15855,1995,,0.0,,,,inf,0.055,,,,,0.0,0.0,,,,,,,,,3466.75,,,,,,,,,,,,,,,,,16000.0,0.055,,,,,,,
15856,1996,,0.0,,,,0.274,0.0,,,,,0.0,0.0,,,,,,,,,3271.762,,,,,,,,,,,,,,,,,17000.0,0.056,,,,,,,
15857,1997,,0.0,,,,-0.273,0.0,,,,,0.0,0.0,,,,,,,,,3081.556,,,,,,,,,,,,,,,,,18000.0,0.055,,,,,,,
15858,1998,,0.0,,,,10.001,0.006,,,,,0.0,0.0,,,,,,,,,3389.733,,,,,,,,,,,,,,,,,18000.0,0.061,,,,,,,
15859,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3211.326,,,,,,,,,,,,,,,,,19000.0,0.061,,,,,,,
15860,2000,,0.0,,,,374.221,0.228,,,,,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,,14467.333,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3550.0,20000.0,0.289,0.0,0.0,0.0,0.0,,0.0,0.0
15861,2001,,0.0,,,,6.167,0.018,,,,,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,,13963.261,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3409.091,22000.0,0.307,0.0,0.0,0.0,0.0,,0.0,0.0
15862,2002,,0.0,,,,33.162,0.102,,,,,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,,17785.32,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4173.913,23000.0,0.409,0.0,0.0,0.0,0.0,,0.0,0.0
15863,2003,,0.0,,,,2.829,0.012,,,,,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,,16825.453,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4120.0,25000.0,0.421,0.0,0.0,0.0,0.0,,0.0,0.0
15864,2004,,0.0,,,,3.03,0.013,,,,,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,16051.212,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4074.074,27000.0,0.433,0.0,0.0,0.0,0.0,,0.0,0.0
15865,2005,,0.0,,,,17.647,0.076,,,,,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,,18209.358,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4428.571,28000.0,0.51,0.0,0.0,0.0,0.0,,0.0,0.0
15866,2006,,0.0,,,,15.0,0.076,,,,,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,,20218.667,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5137.931,29000.0,0.586,0.0,0.0,0.0,0.0,,0.0,0.0
15867,2007,,0.0,,,,17.391,0.102,,,,,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,,22943.791,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5700.0,30000.0,0.688,0.0,0.0,0.0,0.0,,0.0,0.0
15868,2008,,0.0,,,,6.481,0.045,,,,,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,,23642.798,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6000.0,31000.0,0.733,0.0,0.0,0.0,0.0,,0.0,0.0
15869,2009,,0.0,,,,0.87,0.006,,,,,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,,23103.124,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6125.0,32000.0,0.739,0.0,0.0,0.0,0.0,,0.0,0.0
15870,2010,,0.0,,,,3.448,0.025,,,,,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,,23175.548,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5939.394,33000.0,0.765,0.0,0.0,0.0,0.0,,0.0,0.0
15871,2011,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,,23175.548,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5909.091,33000.0,0.765,0.0,0.0,0.0,0.0,,0.0,0.0
15872,2012,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.197,0.0,0.0,0.0,0.0,0.0,0.0,,22493.914,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5794.118,34000.0,0.765,0.0,0.0,0.0,0.0,,0.0,0.0
15873,2013,,0.0,,,,0.833,0.006,,,,,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,,22033.322,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5600.0,35000.0,0.771,0.0,0.0,0.0,0.0,,0.0,0.0
15874,2014,,0.0,,,,7.438,0.057,,,,,0.0,0.0,0.213,0.0,0.0,0.0,0.0,0.0,0.0,,23672.171,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6085.714,35000.0,0.829,0.0,0.0,0.0,0.0,,0.0,0.0
15875,2015,,0.0,,,,3.077,0.025,,,,,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,,23722.752,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6250.0,36000.0,0.854,0.0,0.0,0.0,0.0,,0.0,0.0
15876,2016,,0.0,,,,4.266,0.036,,,,,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,,24066.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6351.351,37000.0,0.89,0.0,0.0,0.0,0.0,,0.0,0.0
15877,2017,,,,,,,,,,,,,,0.222,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6000.0,37000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
15878,2018,,,,,,,,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5263.158,38000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
