,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
15912,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.406,381.119,,,,,,,,,,,,,,,,,12442000.0,4.742,,,,,11670099968.0,,
15913,1981,,0.0,,,,-25.788,-1.223,,,,,0.0,0.0,,,,,,,,0.291,274.388,,,,,,,,,,,,,,,,,12825000.0,3.519,,,,,12101475328.0,,
15914,1982,,0.0,,,,11.746,0.413,,,,,0.0,0.0,,,,,,,,0.301,297.411,,,,,,,,,,,,,,,,,13222000.0,3.932,,,,,13079000064.0,,
15915,1983,,0.0,,,,-3.052,-0.12,,,,,0.0,0.0,,,,,,,,0.272,279.519,,,,,,,,,,,,,,,,,13639000.0,3.812,,,,,14022269952.0,,
15916,1984,,0.0,,,,7.419,0.283,,,,,0.0,0.0,,,,,,,,0.32,290.792,,,,,,,,,,,,,,,,,14083000.0,4.095,,,,,12806400000.0,,
15917,1985,,0.0,,,,1.116,0.046,,,,,0.0,0.0,,,,,,,,0.318,284.424,,,,,,,,,,,,,,,,,14559000.0,4.141,,,,,13039152128.0,,
15918,1986,,0.0,,,,8.527,0.353,,,,,0.0,0.0,,,,,,,,0.344,298.21,,,,,,,,,,,,,,,,,15070000.0,4.494,,,,,13062036480.0,,
15919,1987,,0.0,,,,-9.032,-0.406,,,,,0.0,0.0,,,,,,,,0.295,261.841,,,,,,,,,,,,,,,,,15613000.0,4.088,,,,,13874880512.0,,
15920,1988,,0.0,,,,27.719,1.133,,,,,0.0,0.0,,,,,,,,0.352,322.703,,,,,,,,,,,,,,,,,16180000.0,5.221,,,,,14849567744.0,,
15921,1989,,0.0,,,,-0.716,-0.037,,,,,0.0,0.0,,,,,,,,0.326,309.251,,,,,,,,,,,,,,,,,16763000.0,5.184,,,,,15906240512.0,,
