,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16073,1965,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,5696.892,0.0,,,,,,,,,,0.855,158.681,1057874.694,,,,150000.0,0.855,,,,,,,
16074,1966,,,,27.569,43.747,6.73,0.058,0.0,0.0,0.0,0.0,,,,,,,,,,,5700.262,0.0,,,,,,,,,,0.912,202.428,1265176.148,,,,160000.0,0.912,,,,,,,
16075,1967,,,,6.139,12.427,492.819,4.495,0.0,0.0,0.0,0.0,,,,,,,,,,,31804.472,4.427,,,,,,,,,,0.98,214.855,1263853.088,,,,170000.0,5.407,,,,,,,
16076,1968,,,,30.322,65.148,28.445,1.538,0.0,0.0,0.0,0.0,,,,,,,,,,,37949.282,5.85,,,,,,,,,,1.095,280.003,1530073.607,,,,183000.0,6.945,,,,,,,
16077,1969,,,,26.074,73.009,0.349,0.024,0.0,0.0,0.0,0.0,,,,,,,,,,,34329.709,5.753,,,,,,,,,,1.216,353.012,1738976.652,,,,203000.0,6.969,,,,,,,
16078,1970,,,,24.18,85.357,37.835,2.637,0.0,0.0,0.0,0.0,,,,,,,,,,,40874.888,8.19,8.122,34560.666,,,,,,,,1.416,438.369,1865402.033,,,,235000.0,9.606,,,,,,,
16079,1971,,,6.221,35.903,157.388,52.391,5.032,0.0,0.0,0.0,0.0,,,,,,,,,,,52844.918,12.968,14.342,51777.117,,,,,,,,1.671,595.757,2150748.703,,,,277000.0,14.638,,,,,,,
16080,1972,,,0.215,13.827,82.374,6.914,1.012,0.0,0.0,0.0,0.0,,,,,,,,,,,47281.458,13.455,14.557,43978.132,,,,,,,,2.195,678.132,2048736.08,,,,331000.0,15.65,,,,,,,
16081,1973,,,2.364,27.082,183.65,29.667,4.643,0.0,0.0,0.0,0.0,,,,,,,,,,,51375.006,16.868,16.921,42838.325,,,,,,,,3.426,861.782,2181725.98,,,,395000.0,20.293,,,,,,,
16082,1974,,,0.024,9.526,82.096,9.867,2.002,0.0,0.0,0.0,0.0,,,,,,,,,,,47742.032,17.55,16.946,36285.896,,,,,,,,4.746,943.878,2021151.256,,,,467000.0,22.296,,,,,,,
16083,1975,,,-0.761,-0.882,-8.322,7.014,1.564,0.0,0.0,0.0,0.0,,,,,,,,,,,43538.736,16.185,16.185,29534.695,,,,,,,,7.674,935.556,1707218.228,,,,548000.0,23.859,,,,,,,
16084,1976,,,2.73,16.703,156.267,26.535,6.331,0.0,0.0,0.0,0.0,,,,,,,,,,,47320.157,18.915,18.915,29647.359,,,,,,,,11.275,1091.823,1711321.247,,,,638000.0,30.19,,,,,,,
16085,1977,,,19.11,2.936,32.053,64.396,19.441,0.0,0.0,0.0,0.0,,,,,,,,,,,67525.904,32.955,38.025,51734.735,,,,,,,,16.677,1123.876,1529082.521,,,,735000.0,49.632,,,,,,,
16086,1978,,,17.648,-8.416,-94.584,15.473,7.68,0.0,0.0,0.0,0.0,,,,,,,,,,,68635.996,39.098,55.673,66673.706,,,,,,,,18.214,1029.292,1232684.606,,,,835000.0,57.311,,,,,,,
16087,1979,,,3.9,0.01,0.106,17.553,10.06,0.0,0.0,0.0,0.0,,,,,,,,,,,72286.091,42.51,59.573,63919.043,,,,,,,,24.861,1029.398,1104504.207,,,,932000.0,67.371,,,,,,,
16088,1980,,,13.748,-5.471,-56.317,60.722,40.909,0.0,0.0,0.0,0.0,,,,,,,,,,,106156.191,47.97,73.32,71882.41,,,,,,,,60.309,973.081,954000.544,,,,1020000.0,108.279,,,,,,,
16089,1981,,,13.065,-11.597,-112.851,16.867,18.263,0.0,0.0,0.0,0.0,,,,,,,,,,,115353.264,60.548,86.385,78746.645,,,,,,,,65.995,860.229,784165.243,,,,1097000.0,126.543,,,,,,,
16090,1982,,,6.24,-13.017,-111.98,8.162,10.328,0.0,0.0,0.0,0.0,,,,,,,,,,,117485.355,63.57,92.625,79506.501,,,,,,,,73.3,748.249,642273.835,,,,1165000.0,136.87,,,,,,,
16091,1983,,,-11.115,-5.81,-43.473,-3.787,-5.183,0.0,0.0,0.0,0.0,,,,,,,,,,,107237.52,58.013,81.51,66376.275,,,,,,,,73.675,704.776,573922.209,,,,1228000.0,131.688,,,,,,,
16092,1984,,,25.74,-4.213,-29.692,24.612,32.411,0.0,0.0,0.0,0.0,,,,,,,,,,,126815.157,79.755,107.25,82882.601,,,,,,,,84.344,675.084,521703.284,,,,1294000.0,164.099,,,,,,,
16093,1985,,,21.743,-3.751,-25.325,23.969,39.332,0.0,0.0,0.0,0.0,,,12.185,0.0,0.0,0.0,0.0,0.0,0.0,,148924.755,98.67,128.993,94430.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.761,649.759,475665.78,0.0,0.0,8920.205,1366000.0,203.431,0.0,0.0,0.0,0.0,,0.0,0.0
16094,1986,,,19.403,15.476,100.556,21.126,42.977,0.0,0.0,0.0,0.0,,,12.815,0.0,0.0,0.0,0.0,0.0,0.0,,170406.805,119.828,148.395,102624.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.581,750.316,518890.63,0.0,0.0,8862.379,1446000.0,246.408,0.0,0.0,0.0,0.0,,0.0,0.0
16095,1987,,,16.283,5.537,41.542,11.625,28.645,0.0,0.0,0.0,0.0,,,13.658,0.0,0.0,0.0,0.0,0.0,0.0,,179304.736,136.695,164.678,107351.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.358,791.857,516204.31,0.0,0.0,8903.52,1534000.0,275.053,0.0,0.0,0.0,0.0,,0.0,0.0
16096,1988,,,4.583,5.642,44.677,10.456,28.761,0.0,0.0,0.0,0.0,,,14.84,0.0,0.0,0.0,0.0,0.0,0.0,,186732.793,138.255,169.26,104032.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.559,836.534,514157.635,0.0,0.0,9121.082,1627000.0,303.814,0.0,0.0,0.0,0.0,,0.0,0.0
16097,1989,,,29.445,18.087,151.307,12.608,38.305,0.0,0.0,0.0,0.0,,,15.612,0.0,0.0,0.0,0.0,0.0,0.0,,198214.976,168.383,198.705,115124.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.736,987.842,572329.986,0.0,0.0,9045.191,1726000.0,342.119,0.0,0.0,0.0,0.0,,0.0,0.0
16098,1990,,,-2.633,9.491,93.751,1.432,4.899,0.0,0.0,0.0,0.0,,,17.081,0.0,0.0,0.0,0.0,0.0,0.0,,189835.038,164.873,196.073,107260.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.146,1081.593,591681.008,0.0,0.0,9344.092,1828000.0,347.018,0.0,0.0,0.0,0.0,,0.0,0.0
16099,1991,,,36.075,14.707,159.074,21.89,75.963,0.0,0.0,0.0,0.0,,,17.222,0.0,0.0,0.0,0.0,0.0,0.0,,218369.336,198.51,232.148,119849.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.471,1240.666,640509.269,0.0,0.0,8891.069,1937000.0,422.981,0.0,0.0,0.0,0.0,,0.0,0.0
16100,1992,,,-15.99,10.134,125.729,-3.338,-14.119,0.0,0.0,0.0,0.0,,,18.689,0.0,0.0,0.0,0.0,0.0,0.0,,199153.415,182.813,216.158,105288.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.049,1366.396,665560.483,0.0,0.0,9103.264,2053000.0,408.862,0.0,0.0,0.0,0.0,,0.0,0.0
16101,1993,,,7.995,-2.82,-38.534,4.092,16.73,0.0,0.0,0.0,0.0,,,21.73,0.0,0.0,0.0,0.0,0.0,0.0,2.252,195854.575,191.49,224.153,103153.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.102,1327.862,611073.033,0.0,0.0,10000.0,2173000.0,425.592,0.0,0.0,0.0,0.0,189000000000.0,0.0,0.0
16102,1994,,,27.593,0.829,11.003,9.724,41.382,0.0,0.0,0.0,0.0,,,23.736,0.0,0.0,0.0,0.0,0.0,0.0,2.347,203563.401,221.423,251.745,109740.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.552,1338.864,583637.441,0.0,0.0,10346.992,2294000.0,466.974,0.0,0.0,0.0,0.0,199000000000.0,0.0,0.0
16103,1995,,,53.625,-0.778,-10.421,4.349,20.309,0.0,0.0,0.0,0.0,,,24.982,0.0,0.0,0.0,0.0,0.0,0.0,2.235,201773.488,241.703,305.37,126447.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.58,1328.443,550079.989,0.0,0.0,10344.513,2415000.0,487.283,0.0,0.0,0.0,0.0,218000000000.0,0.0,0.0
16104,1996,,,24.18,2.192,29.118,3.073,14.973,0.0,0.0,0.0,0.0,,,26.572,0.0,0.0,0.0,0.0,0.0,0.0,2.184,197816.546,264.713,329.55,129795.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.543,1357.561,534683.42,0.0,0.0,10465.538,2539000.0,502.256,0.0,0.0,0.0,0.0,230000000000.0,0.0,0.0
16105,1997,,,24.473,0.332,4.511,4.401,22.103,0.0,0.0,0.0,0.0,,,28.464,0.0,0.0,0.0,0.0,0.0,0.0,2.158,196315.856,282.75,354.023,132543.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.609,1362.072,509948.431,0.0,0.0,10656.683,2671000.0,524.36,0.0,0.0,0.0,0.0,243000000000.0,0.0,0.0
16106,1998,,,7.41,3.593,48.933,2.356,12.355,0.0,0.0,0.0,0.0,,,33.392,0.0,0.0,0.0,0.0,0.0,0.0,2.354,190797.969,296.303,361.433,128486.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.412,1411.006,501601.724,0.0,0.0,11870.601,2813000.0,536.715,0.0,0.0,0.0,0.0,228000000000.0,0.0,0.0
16107,1999,,,13.845,-7.812,-110.225,0.811,4.355,0.0,0.0,0.0,0.0,,,37.126,0.0,0.0,0.0,0.0,0.0,0.0,2.147,182424.01,306.345,375.278,126526.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.724,1300.781,438564.01,0.0,0.0,12517.195,2966000.0,541.07,0.0,0.0,0.0,0.0,252000000000.0,0.0,0.0
16108,2000,,,-1.073,8.475,110.242,-0.406,-2.198,0.0,0.0,0.0,0.0,,,37.547,0.0,0.0,0.0,0.0,0.0,0.0,1.663,171943.728,306.443,374.205,119401.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.429,1411.022,450230.49,0.0,0.0,11980.536,3134000.0,538.872,0.0,0.0,0.0,0.0,324000000000.0,0.0,0.0
16109,2001,,,9.555,-2.559,-36.108,1.104,5.95,0.0,0.0,0.0,0.215,,,40.582,0.0,0.0,0.0,0.0,0.0,0.0,1.746,164947.5,314.73,383.76,116185.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.876,1374.915,416262.403,0.0,0.0,12286.406,3303000.0,544.822,0.0,0.0,0.0,0.0,312000000000.0,0.0,0.0
16110,2002,,,39.293,-7.934,-109.089,9.281,50.563,0.0,0.0,0.0,1.097,,,44.045,0.0,0.0,0.0,0.0,0.0,0.0,1.872,171136.584,355.29,423.053,121601.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.997,1265.825,363847.453,0.0,0.0,12660.247,3479000.0,595.384,0.0,0.0,0.0,0.0,318000000000.0,0.0,0.0
16111,2003,,,13.65,15.751,199.378,6.63,39.472,0.0,0.0,0.0,1.29,,,46.483,0.0,0.0,0.0,0.0,0.0,0.0,1.856,171027.983,369.33,436.703,117646.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.236,1465.203,394720.738,0.0,0.0,12522.36,3712000.0,634.856,0.0,0.0,0.0,0.0,342000000000.0,0.0,0.0
16112,2004,,,14.625,4.031,59.057,6.932,44.007,0.0,0.0,0.0,1.462,,,49.272,0.0,0.0,0.0,0.0,0.0,0.0,1.835,166837.843,392.048,451.328,110918.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.353,1524.261,374603.236,0.0,0.0,12109.118,4069000.0,678.863,0.0,0.0,0.0,0.0,370000000000.0,0.0,0.0
16113,2005,,,14.625,4.02,61.272,4.327,29.375,0.0,0.0,0.0,1.691,,,57.056,0.0,0.0,0.0,0.0,0.0,0.0,1.659,154367.463,409.988,465.953,101559.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.559,1585.533,345582.551,0.0,0.0,12435.92,4588000.0,708.238,0.0,0.0,0.0,0.0,427000000000.0,0.0,0.0
16114,2006,,,9.75,6.666,105.698,5.205,36.862,0.0,0.0,0.0,3.275,,,62.762,0.0,0.0,0.0,0.0,0.0,0.0,1.499,140584.963,422.76,475.703,89755.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.065,1691.23,319100.051,0.0,0.0,11841.887,5300000.0,745.1,0.0,0.0,0.0,0.0,497000000000.0,0.0,0.0
16115,2007,,,14.625,-1.382,-23.369,10.3,76.743,0.0,0.0,0.0,1.577,,,74.035,0.0,0.0,0.0,0.0,0.0,0.0,1.525,133221.44,479.383,490.328,79482.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.884,1667.861,270361.722,0.0,0.0,12001.135,6169000.0,821.843,0.0,0.0,0.0,0.0,539000000000.0,0.0,0.0
16116,2008,,,-0.488,1.116,18.618,14.6,119.992,0.0,0.0,0.0,3.992,,,77.065,0.0,0.0,0.0,0.0,0.0,0.0,1.615,132858.604,579.722,489.84,69098.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.121,1686.479,237900.865,0.0,0.0,10871.068,7089000.0,941.835,0.0,0.0,0.0,0.0,583000000000.0,0.0,0.0
16117,2009,,,-13.65,-10.97,-185.008,-1.267,-11.936,0.0,0.0,0.0,3.185,,,82.91,0.0,0.0,0.0,0.01,0.01,0.0,1.886,117455.873,575.881,476.19,60147.831,0.0,0.0,0.012,0.01,1.263,0.0,0.0,350.815,1501.471,189651.493,0.0,0.0,10472.401,7917000.0,929.898,1.263,0.012,0.012,1.263,493000000000.0,0.0,0.0
