,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16370,1980,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,,
16371,1981,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,,
16372,1982,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,,
16373,1983,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,,
16374,1984,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,,
16375,1985,,0.0,,,,7.792,0.046,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632,,,,,,,
16376,1986,,0.0,,,,-10.979,-0.069,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563,,,,,,,
16377,1987,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563,,,,,,,
16378,1988,,0.0,,,,35.673,0.201,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764,,,,,,,
16379,1989,,0.0,,,,60.448,0.462,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,,,
16380,1990,,0.0,,,,5.089,0.062,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.288,,,,,,,
16381,1991,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.288,,,,,,,
16382,1992,,0.0,,,,-6.411,-0.083,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.205,,,,,,,
16383,1993,,0.0,,,,-5.436,-0.066,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,
16384,1994,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,
16385,1995,,0.0,,,,5.472,0.062,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.202,,,,,,,
16386,1996,,0.0,,,,0.262,0.003,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.205,,,,,,,
16387,1997,,0.0,,,,-0.262,-0.003,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.202,,,,,,,
16388,1998,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.202,,,,,,,
16389,1999,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.202,,,,,,,
16390,2000,,0.0,,,,1.127,0.014,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.216,,,,,,,
