,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16407,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,118517.559,,,,,,,,,,,,,,,,,99000.0,11.733,,,,,,,
16408,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,116170.677,,,,,,,,,,,,,,,,,101000.0,11.733,,,,,,,
16409,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,115031.748,,,,,,,,,,,,,,,,,102000.0,11.733,,,,,,,
16410,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,112819.599,,,,,,,,,,,,,,,,,104000.0,11.733,,,,,,,
16411,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,111745.127,,,,,,,,,,,,,,,,,105000.0,11.733,,,,,,,
16412,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,111745.127,,,,,,,,,,,,,,,,,105000.0,11.733,,,,,,,
16413,1986,,0.0,,,,6.316,0.741,,,,,0.0,0.0,,,,,,,,,118803.13,,,,,,,,,,,,,,,,,105000.0,12.474,,,,,,,
16414,1987,,0.0,,,,0.41,0.051,,,,,0.0,0.0,,,,,,,,,119290.35,,,,,,,,,,,,,,,,,105000.0,12.525,,,,,,,
16415,1988,,0.0,,,,-2.23,-0.279,,,,,0.0,0.0,,,,,,,,,117751.267,,,,,,,,,,,,,,,,,104000.0,12.246,,,,,,,
16416,1989,,0.0,,,,-0.393,-0.048,,,,,0.0,0.0,,,,,,,,,117288.393,,,,,,,,,,,,,,,,,104000.0,12.198,,,,,,,
16417,1990,,0.0,,,,4.432,0.541,,,,,0.0,0.0,,,,,,,,,122486.809,,,,,,,,,,,,,,,,,104000.0,12.739,,,,,,,
16418,1991,,0.0,,,,3.463,0.441,,,,,0.0,0.0,,,,,,,,,126728.018,,,,,,,,,,,,,,,,,104000.0,13.18,,,,,,,
16419,1992,,0.0,,,,6.024,0.794,,,,,0.0,0.0,,,,,,,,,133082.962,,,,,,,,,,,,,,,,,105000.0,13.974,,,,,,,
16420,1993,,0.0,,,,4.381,0.612,,,,,0.0,0.0,,,,,,,,,137602.387,,,,,,,,,,,,,,,,,106000.0,14.586,,,,,,,
16421,1994,,0.0,,,,-1.481,-0.216,,,,,0.0,0.0,,,,,,,,,134297.21,,,,,,,,,,,,,,,,,107000.0,14.37,,,,,,,
16422,1995,,0.0,,,,-3.174,-0.456,,,,,0.0,0.0,,,,,,,,,130034.815,,,,,,,,,,,,,,,,,107000.0,13.914,,,,,,,
16423,1996,,0.0,,,,-1.474,-0.205,,,,,0.0,0.0,,,,,,,,,126932.119,,,,,,,,,,,,,,,,,108000.0,13.709,,,,,,,
16424,1997,,0.0,,,,-0.767,-0.105,,,,,0.0,0.0,,,,,,,,,125957.962,,,,,,,,,,,,,,,,,108000.0,13.603,,,,,,,
16425,1998,,0.0,,,,0.337,0.046,,,,,0.0,0.0,,,,,,,,,125223.534,,,,,,,,,,,,,,,,,109000.0,13.649,,,,,,,
16426,1999,,0.0,,,,2.565,0.35,,,,,0.0,0.0,,,,,,,,,128435.815,,,,,,,,,,,,,,,,,109000.0,14.0,,,,,,,
16427,2000,,0.0,,,,190.412,26.657,,,,,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0,0.0,,372993.169,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9403.67,109000.0,40.656,0.0,0.0,0.0,0.0,,0.0,0.0
16428,2001,,0.0,,,,38.071,15.478,,,,,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.0,,514994.048,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8880.734,109000.0,56.134,0.0,0.0,0.0,0.0,,0.0,0.0
16429,2002,,0.0,,,,-0.615,-0.345,,,,,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.0,0.0,,511827.604,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8972.477,109000.0,55.789,0.0,0.0,0.0,0.0,,0.0,0.0
16430,2003,,0.0,,,,17.755,9.905,,,,,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.0,0.0,,608281.435,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9055.556,108000.0,65.694,0.0,0.0,0.0,0.0,,0.0,0.0
16431,2004,,0.0,,,,2.523,1.658,,,,,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,,623629.438,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9138.889,108000.0,67.352,0.0,0.0,0.0,0.0,,0.0,0.0
16432,2005,,0.0,,,,-2.184,-1.471,,,,,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,,610011.979,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7913.87,108000.0,65.881,0.0,0.0,0.0,0.0,,0.0,0.0
16433,2006,,0.0,,,,6.402,4.218,,,,,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0,0.0,,655132.715,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8072.57,107000.0,70.099,0.0,0.0,0.0,0.0,,0.0,0.0
16434,2007,,0.0,,,,-6.649,-4.661,,,,,0.0,0.0,0.871,0.0,0.0,0.0,0.0,0.0,0.0,,611574.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8138.654,107000.0,65.439,0.0,0.0,0.0,0.0,,0.0,0.0
16435,2008,,0.0,,,,-42.047,-27.515,,,,,0.0,0.0,0.844,0.0,0.0,0.0,0.0,0.0,0.0,,354425.174,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7883.813,107000.0,37.923,0.0,0.0,0.0,0.0,,0.0,0.0
16436,2009,,0.0,,,,-12.707,-4.819,,,,,0.0,0.0,0.872,0.0,0.0,0.0,0.0,0.0,0.0,,312306.501,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8226.415,106000.0,33.104,0.0,0.0,0.0,0.0,,0.0,0.0
16437,2010,,0.0,,,,-9.518,-3.151,,,,,0.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,,282581.604,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,7783.019,106000.0,29.954,0.0,0.0,0.0,0.0,,0.0,0.0
16438,2011,,0.0,,,,-33.787,-10.12,,,,,0.0,0.0,0.795,0.0,0.0,0.0,0.001,0.001,0.0,,187105.422,,,,0.0,0.0,0.087,0.001,6.509,0.0,0.0,,,,0.0,0.0,7497.075,106000.0,19.833,6.509,0.087,0.087,6.509,,0.0,0.0
16439,2012,,0.0,,,,-42.7,-8.469,,,,,0.0,0.0,0.779,0.0,0.0,0.0,0.001,0.001,0.0,,107212.195,,,,0.0,0.0,0.114,0.001,8.349,0.0,0.0,,,,0.0,0.0,7347.179,106000.0,11.364,8.349,0.114,0.114,8.349,,0.0,0.0
16440,2013,,0.0,,,,-47.522,-5.401,,,,,0.0,0.0,0.727,0.0,0.0,0.0,0.001,0.001,0.0,,56798.707,,,,0.0,0.0,0.172,0.001,11.886,0.0,0.0,,,,0.0,0.0,6926.171,105000.0,5.964,11.886,0.172,0.172,11.886,,0.0,0.0
16441,2014,,0.0,,,,104.492,6.232,,,,,0.0,0.0,0.7,0.0,0.0,0.0,0.007,0.007,0.0,,116148.661,,,,0.0,0.0,1.025,0.007,68.371,0.0,0.0,,,,0.0,0.0,6668.371,105000.0,12.196,68.371,1.025,1.025,68.371,,0.0,0.0
16442,2015,,0.0,,,,-0.656,-0.08,,,,,0.0,0.0,0.692,0.0,0.0,0.0,0.013,0.013,0.0,,115386.79,,,,0.0,0.0,1.917,0.013,126.419,0.0,0.0,,,,0.0,0.0,6593.086,105000.0,12.116,126.419,1.917,1.917,126.419,,0.0,0.0
