,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16249,1900,,,,,,,,,,,,1829.396,23519.693,,,,,,,,,,,73.84,949.333,,,,,,,,,98.646,1268.242,,,,77781472.0,,,,,,478000000000.0,,
16250,1901,8.757,160.198,7.988,9.078,8.955,,,,,,,1989.595,25098.591,,,,,,,,,,,81.828,1032.256,,,,,,,,,107.601,1357.377,,,,79271168.0,,,,,,531000000000.0,,
16251,1902,4.33,86.156,7.988,27.918,30.04,,,,,,,2075.751,25715.303,,,,,,,,,,,89.816,1112.677,,,,,,,,,137.641,1705.159,,,,80720440.0,,,,,,537000000000.0,,
16252,1903,16.783,348.37,7.988,13.181,18.143,,,,,,,2424.12,29464.742,,,,,,,,,,,97.803,1188.783,,,,,,,,,155.784,1893.526,,,,82271904.0,,,,,,563000000000.0,,
16253,1904,-1.55,-37.575,7.988,16.543,25.772,,,,,,,2386.546,28455.291,,,,,,,,,,,105.791,1261.369,,,,,,,,,181.556,2164.731,,,,83870024.0,,,,,,556000000000.0,,
16254,1905,11.627,277.483,7.988,15.06,27.342,,,,,,,2664.029,31149.38,,,,,,,,,,,113.779,1330.367,,,,,,,,,208.898,2442.56,,,,85524304.0,,,,,,597000000000.0,,
16255,1906,5.458,145.4,7.988,-6.102,-12.746,,,,,,,2809.429,32208.082,,,,,,,,,,,121.766,1395.964,,,,,,,,,196.152,2248.738,,,,87227464.0,,,,,,666000000000.0,,
16256,1907,15.986,449.107,7.988,31.306,61.406,,,,,,,3258.536,36679.182,,,,,,,,,,,129.754,1460.555,,,,,,,,,257.558,2899.162,,,,88838848.0,,,,,,676000000000.0,,
16257,1908,-13.431,-437.666,7.988,7.487,19.283,,,,,,,2820.87,31130.006,,,,,,,,,,,137.742,1520.062,,,,,,,,,276.841,3055.105,,,,90615784.0,,,,,,621000000000.0,,
16258,1909,10.814,305.06,7.988,2.6,7.199,,,,,,,3125.93,33844.339,,,,,,,,,,,145.729,1577.806,,,,,,,,,284.04,3075.288,,,,92361976.0,,,,,,697000000000.0,,
16259,1910,8.85,276.638,7.988,14.404,40.914,,,,,,,3402.568,36163.374,,,,,,,,,,,153.717,1633.743,,,,,,,,,324.954,3453.696,,,,94088792.0,,,,,,704000000000.0,,
16260,1911,-1.042,-35.443,8.286,5.197,16.887,,,,,,,3367.125,35126.057,,,,,,,,,,,162.003,1690.029,,,,,,,,,341.841,3566.105,,,,95858320.0,,,,,,727000000000.0,,
16261,1912,7.675,258.423,8.286,1.13,3.861,,,,,,,3625.548,37175.121,,,,,,,,,,,170.29,1746.092,,,,,,,,,345.702,3544.71,,,,97526184.0,,,,,,761000000000.0,,
16262,1913,6.641,240.768,8.286,11.442,39.554,,,,,,,3866.316,38919.438,,,,,,,,,,,178.576,1797.598,,,,,,,,,385.256,3878.093,,,,99341520.0,,,,,,791000000000.0,,
16263,1914,-9.901,-382.819,8.286,6.97,26.854,,,,,,,3483.497,34440.064,,,,,,,,,,,186.862,1847.441,,,,,,,,,412.109,4074.375,,,,101146656.0,,,,,,730000000000.0,,
16264,1915,3.505,122.1,8.286,5.771,23.783,,,,,,,3605.598,35077.377,,,,,,,,,,,195.149,1898.523,,,,,,,,,435.893,4240.621,,,,102789832.0,,,,,,750000000000.0,,
16265,1916,11.0,396.622,8.286,6.99,30.471,,,,,,,4002.22,38378.645,,,,,,,,,,,203.435,1950.809,,,,,,,,,466.363,4472.117,,,,104282472.0,,,,,,854000000000.0,,
16266,1917,10.389,415.795,8.286,11.496,53.614,,,,,,,4418.015,41807.279,,,,,,,,,,,211.722,2003.502,,,,,,,,,519.978,4920.503,,,,105675728.0,,,,,,833000000000.0,,
16267,1918,4.134,182.631,8.286,6.144,31.948,,,,,,,4600.645,43108.766,,,,,,,,,,,220.008,2061.509,,,,,,,,,551.925,5171.627,,,,106721808.0,,,,,,908000000000.0,,
16268,1919,-18.322,-842.918,8.286,9.781,53.987,,,,,,,3757.728,34870.498,,,,,,,,,,,228.294,2118.497,,,,,,,,,605.912,5622.666,,,,107762376.0,,,,,,916000000000.0,,
16269,1920,18.831,707.605,8.286,19.238,116.568,,,,,,,4465.332,40920.23,,,,,,,,,,,236.581,2168.021,,,,,,,,,722.479,6620.789,,,,109122856.0,,,,,,907000000000.0,,
16270,1921,-23.071,-1030.207,8.286,4.179,30.192,,,,,,,3435.125,30996.043,,,,,,,,,,,244.867,2209.5,,,,,,,,,752.671,6791.549,,,,110824640.0,,,,,,886000000000.0,,
16271,1922,-5.814,-199.732,8.286,18.074,136.036,,,,,,,3235.393,28709.408,,,,,,,,,,,253.153,2246.368,,,,,,,,,888.707,7885.983,,,,112694536.0,,,,,,935000000000.0,,
16272,1923,37.94,1227.494,43.37,31.35,278.609,,,,,,,4462.887,38945.102,,,,,,,,,,,296.523,2587.591,,,,,,,,,1167.316,10186.506,,,,114594312.0,,,,,,1060000000000.0,,
16273,1924,-13.116,-585.347,43.37,-2.338,-27.296,,,,,,,3877.54,33265.314,,,,,,,,,,,339.893,2915.934,,,,,,,,,1140.02,9780.202,,,,116564056.0,,,,,,1090000000000.0,,
16274,1925,1.812,70.244,43.37,6.731,76.735,,,,,,,3947.784,33336.652,,,,,,,,,,,383.263,3236.424,,,,,,,,,1216.755,10274.761,,,,118421720.0,,,,,,1120000000000.0,,
16275,1926,13.031,514.423,43.37,1.77,21.539,,,,,,,4462.207,37153.862,,,,,,,,,,,426.633,3552.29,,,,,,,,,1238.294,10310.457,,,,120100752.0,,,,,,1190000000000.0,,
16276,1927,-9.113,-406.635,43.37,15.978,197.85,,,,,,,4055.572,33326.392,,,,,,,,,,,470.003,3862.214,,,,,,,,,1436.143,11801.412,,,,121692504.0,,,,,,1200000000000.0,,
16277,1928,-3.641,-147.651,43.37,0.086,1.233,,,,,,,3907.921,31724.588,,,,,,,,,,,513.372,4167.568,,,,,,,,,1437.376,11668.651,,,,123182720.0,,,,,,1210000000000.0,,
16278,1929,5.68,221.985,23.151,11.742,168.775,,,,,,,4129.906,33145.969,,,,,,,,,,,536.523,4306.047,,,,,,,,,1606.151,12890.711,,,,124597536.0,,,,,,1290000000000.0,,
16279,1930,-11.811,-487.773,23.151,-10.852,-174.299,,,,,,,3642.133,28942.296,,,,,,,,,,,559.673,4447.459,,,,,,,,,1431.852,11378.245,,,,125841184.0,,,,,,1170000000000.0,,
16280,1931,-17.727,-645.631,23.151,-5.226,-74.827,,,,,,,2996.502,23608.466,,,,,,,,,,,582.824,4591.882,,,,,,,,,1357.024,10691.555,,,,126924880.0,,,,,,1100000000000.0,,
16281,1932,-18.602,-557.396,23.151,-7.746,-105.112,,,,,,,2439.105,19088.62,,,,,,,,,,,605.975,4742.402,,,,,,,,,1251.912,9797.559,,,,127777984.0,,,,,,944000000000.0,,
16282,1933,6.565,160.138,23.151,13.833,173.182,,,,,,,2599.244,20215.879,,,,,,,,,,,629.125,4893.084,,,,,,,,,1425.095,11083.817,,,,128574368.0,,,,,,917000000000.0,,
16283,1934,8.707,226.322,23.151,0.322,4.594,,,,,,,2825.566,21836.368,,,,,,,,,,,652.276,5040.878,,,,,,,,,1429.689,11048.834,,,,129397240.0,,,,,,1000000000000.0,,
16284,1935,2.008,56.73,23.151,9.553,136.583,,,,,,,2882.296,22129.527,,,,,,,,,,,675.426,5185.749,,,,,,,,,1566.272,12025.43,,,,130246608.0,,,,,,1130000000000.0,,
16285,1936,16.288,469.457,23.151,10.344,162.018,,,,,,,3351.753,25568.161,,,,,,,,,,,698.577,5328.95,,,,,,,,,1728.289,13183.901,,,,131090880.0,,,,,,1250000000000.0,,
16286,1937,0.753,25.246,23.151,16.324,282.132,,,,,,,3376.998,25587.268,,,,,,,,,,,721.727,5468.475,,,,,,,,,2010.422,15232.816,,,,131979640.0,,,,,,1350000000000.0,,
16287,1938,-20.646,-697.223,61.405,-5.066,-101.856,,,,,,,2679.775,20156.225,,,,,,,,,,,783.132,5890.416,,,,,,,,,1908.566,14355.491,,,,132950240.0,,,,,,1280000000000.0,,
16288,1939,13.088,350.735,61.405,4.167,79.538,,,,,,,3030.51,22611.053,,,,,,,,,,,844.537,6301.208,,,,,,,,,1988.104,14833.514,,,,134027824.0,,,,,,1380000000000.0,,
16289,1940,14.751,447.039,61.405,6.977,138.711,,,,,,,3477.549,25721.876,,,,,,,,,,,905.942,6700.848,,,,,,,,,2126.815,15731.096,,,,135198128.0,,,,,,1500000000000.0,,
16290,1941,11.36,395.054,61.405,3.622,77.026,,,,,,,3872.603,28369.763,,,,,,,,,,,967.347,7086.552,,,,,,,,,2203.84,16144.805,,,,136504608.0,,,,,,1720000000000.0,,
