,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16447,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.1,10867.789,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2915000.0,31.68,,,,,28787249152.0,,
16448,1981,,0.0,0.0,,0.0,-5.933,-1.879,,,,,0.0,0.0,,,,,,,,1.064,10153.384,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2935000.0,29.8,,,,,28007231488.0,,
16449,1982,,0.0,0.0,,0.0,-4.909,-1.463,,,,,0.0,0.0,,,,,,,,1.083,9592.813,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2954000.0,28.337,,,,,26174791680.0,,
16450,1983,,0.0,0.0,,0.0,31.777,9.005,,,,,0.0,0.0,,,,,,,,1.6,12560.299,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2973000.0,37.342,,,,,23338110976.0,,
16451,1984,,0.0,0.0,,0.0,-2.984,-1.114,,,,,0.0,0.0,,,,,,,,1.567,12108.118,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2992000.0,36.227,,,,,23113472000.0,,
16452,1985,,0.0,0.0,,0.0,-8.357,-3.028,,,,,0.0,0.0,,,,,,,,1.444,11022.537,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3012000.0,33.2,,,,,22984572928.0,,
16453,1986,,0.0,0.0,,0.0,5.624,1.867,,,,,0.0,0.0,,,,,,,,1.343,11569.41,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3031000.0,35.067,,,,,26102972416.0,,
16454,1987,,0.0,0.0,,0.0,5.946,2.085,,,,,0.0,0.0,,,,,,,,1.286,12181.009,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3050000.0,37.152,,,,,28889274368.0,,
16455,1988,,0.0,0.0,,0.0,-2.178,-0.809,,,,,0.0,0.0,,,,,,,,1.264,11841.973,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3069000.0,36.343,,,,,28756363264.0,,
16456,1989,,0.0,0.0,,0.0,-14.659,-5.327,,,,,0.0,0.0,,,,,,,,1.073,10040.664,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3089000.0,31.016,,,,,28909856768.0,,
