,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16488,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15899000.0,,,,,,78002741248.0,,
16489,1981,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16322000.0,,,,,,80769998848.0,,
16490,1982,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16747000.0,,,,,,83645095936.0,,
16491,1983,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17178000.0,,,,,,86198419456.0,,
16492,1984,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17615000.0,,,,,,83397214208.0,,
16493,1985,,,,,,,,0.0,0.0,0.0,17.305,17.305,958.159,47.939,5.431,0.0,0.0,5.431,0.0,0.0,5.628,26669.331,311.379,327.364,18125.454,11.33,300.728,11.33,5.431,300.728,0.0,0.0,137.903,26.822,1485.061,0.0,0.0,2654.283,18061000.0,481.675,300.728,11.33,0.0,0.0,85592285184.0,0.0,0.0
16494,1986,13.208,2.286,37.951,9.524,2.554,-1.601,-7.709,0.0,0.0,0.0,19.591,19.591,1058.053,52.171,4.618,0.0,0.0,4.618,0.0,0.0,5.605,25597.61,300.173,365.315,19729.69,8.852,249.421,8.852,4.618,249.421,0.0,0.0,141.372,29.376,1586.527,0.0,0.0,2817.617,18516000.0,473.965,249.421,8.852,0.0,0.0,84567924736.0,0.0,0.0
16495,1987,-16.667,-3.265,11.357,5.534,1.626,2.006,9.505,0.0,0.0,0.0,16.326,16.326,860.337,54.755,6.771,0.0,0.0,6.771,0.0,0.0,5.754,25478.014,314.294,376.672,19849.91,12.365,356.794,12.365,6.771,356.794,0.0,0.0,134.044,31.002,1633.732,0.0,0.0,2885.487,18976000.0,483.471,356.794,12.365,0.0,0.0,84025466880.0,0.0,0.0
16496,1988,10.0,1.633,0.946,-8.614,-2.671,6.111,29.547,0.0,0.0,0.0,17.958,17.958,923.593,50.59,7.164,0.0,0.0,7.164,0.0,0.0,5.625,26384.371,309.874,377.618,19420.813,14.161,368.435,14.161,7.164,368.435,0.0,0.0,165.286,28.331,1457.063,0.0,0.0,2601.831,19444000.0,513.018,368.435,14.161,0.0,0.0,91197374464.0,0.0,0.0
16497,1989,12.727,2.286,11.357,10.656,3.019,1.554,7.973,0.0,0.0,0.0,20.244,20.244,1016.364,55.874,5.502,0.0,0.0,5.502,0.0,0.0,5.602,26156.796,327.534,388.975,19528.83,9.847,276.24,9.847,5.502,276.24,0.0,0.0,157.929,31.35,1573.954,0.0,0.0,2805.201,19918000.0,520.991,276.24,9.847,0.0,0.0,92993183744.0,0.0,0.0
16498,1990,4.839,0.98,-20.915,3.704,1.161,-2.544,-13.253,0.0,0.0,0.0,21.223,21.223,1040.469,56.325,6.648,0.0,0.0,6.648,0.0,0.0,5.565,24891.539,348.639,368.06,18043.94,11.803,325.914,11.803,6.648,325.914,0.0,0.0,119.408,32.511,1593.839,0.0,0.0,2761.3,20398000.0,507.738,325.914,11.803,0.0,0.0,91235319808.0,0.0,0.0
16499,1991,-8.492,-1.802,10.106,0.0,0.0,1.266,6.428,0.0,0.0,0.0,19.421,19.421,929.908,54.165,6.031,0.0,0.0,6.031,0.0,0.0,5.929,24618.916,351.374,378.167,18107.089,11.134,288.772,11.134,6.031,288.772,0.0,0.0,126.618,32.511,1556.674,0.0,0.0,2593.488,20885000.0,514.166,288.772,11.134,0.0,0.0,86720962560.0,0.0,0.0
16500,1992,-21.318,-4.14,6.449,17.857,5.806,-4.896,-25.173,0.0,0.0,0.0,15.281,15.281,714.896,50.911,6.281,0.0,0.0,6.281,0.0,0.0,6.847,22876.85,353.135,384.615,17993.699,12.337,293.848,12.337,6.281,293.848,0.0,0.0,103.13,38.317,1792.594,0.0,0.0,2381.801,21375000.0,488.993,293.848,12.337,0.0,0.0,71417741312.0,0.0,0.0
16501,1993,-18.654,-2.85,21.753,21.242,8.139,7.65,37.408,0.0,0.0,0.0,12.43,12.43,568.586,49.149,7.358,0.0,0.0,7.358,0.0,0.0,6.197,24078.326,384.915,406.368,18587.861,14.971,336.566,14.971,7.358,336.566,0.0,0.0,108.616,46.456,2124.97,0.0,0.0,2248.147,21862000.0,526.4,336.566,14.971,0.0,0.0,84945551360.0,0.0,0.0
16502,1994,0.998,0.124,19.828,37.891,17.602,-1.77,-9.318,0.0,0.0,0.0,12.555,12.555,562.075,47.8,7.156,0.0,0.0,7.156,0.0,0.0,7.146,23150.176,391.095,426.195,19081.095,14.971,320.38,14.971,7.156,320.38,0.0,0.0,93.555,64.059,2867.951,0.0,0.0,2140.043,22336000.0,517.082,320.38,14.971,0.0,0.0,72355405824.0,0.0,0.0
