,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16528,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,5057.431,,,,,,,,,,,,,,,,,116000.0,0.587,,,,,,,
16529,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4929.932,,,,,,,,,,,,,,,,,119000.0,0.587,,,,,,,
16530,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4848.446,,,,,,,,,,,,,,,,,121000.0,0.587,,,,,,,
16531,1983,,0.0,,,,-50.0,-0.293,,,,,0.0,0.0,,,,,,,,,2365.572,,,,,,,,,,,,,,,,,124000.0,0.293,,,,,,,
16532,1984,,0.0,,,,100.0,0.293,,,,,0.0,0.0,,,,,,,,,4619.385,,,,,,,,,,,,,,,,,127000.0,0.587,,,,,,,
16533,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4512.784,,,,,,,,,,,,,,,,,130000.0,0.587,,,,,,,
16534,1986,,0.0,,,,-17.643,-0.104,,,,,0.0,0.0,,,,,,,,,3632.781,,,,,,,,,,,,,,,,,133000.0,0.483,,,,,,,
16535,1987,,0.0,,,,-11.64,-0.056,,,,,0.0,0.0,,,,,,,,,3139.105,,,,,,,,,,,,,,,,,136000.0,0.427,,,,,,,
16536,1988,,0.0,,,,29.553,0.126,,,,,0.0,0.0,,,,,,,,,3979.045,,,,,,,,,,,,,,,,,139000.0,0.553,,,,,,,
16537,1989,,0.0,,,,-12.43,-0.069,,,,,0.0,0.0,,,,,,,,,3386.976,,,,,,,,,,,,,,,,,143000.0,0.484,,,,,,,
