,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16568,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2695885.0,,,,,,2249669888.0,,
16569,1901,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2732223.0,,,,,,2184448000.0,,
16570,1902,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2770622.0,,,,,,2068936960.0,,
16571,1903,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2805191.0,,,,,,2241264128.0,,
16572,1904,,0.008,,,,,,,,,,0.008,2.868,,,,,,,,,,,,,,,,,,,,,,,,,,2838174.0,,,,,,2305329920.0,,
16573,1905,-100.0,-0.008,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2869565.0,,,,,,2343396096.0,,
16574,1906,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2899953.0,,,,,,2331040000.0,,
16575,1907,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2929263.0,,,,,,2272289024.0,,
16576,1908,,0.008,,,,,,,,,,0.008,2.756,,,,,,,,,,,,,,,,,,,,,,,,,,2953734.0,,,,,,2239171072.0,,
16577,1909,-100.0,-0.008,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2981466.0,,,,,,2254579968.0,,
16578,1910,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3009467.0,,,,,,2249609984.0,,
16579,1911,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3039097.0,,,,,,2168009984.0,,
16580,1912,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3067210.0,,,,,,2341920000.0,,
16581,1913,,0.049,,,,,,,,,,0.049,15.788,,,,,,,,,,,,,,,,,,,,,,,,,,3093944.0,,,,,,2411286016.0,,
16582,1914,49.999,0.024,,,,,,,,,,0.073,23.486,,,,,,,,,,,,,,,,,,,,,,,,,,3119653.0,,,,,,2806232064.0,,
