,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16688,1900,,,,,,,,,,,,1.579,108.191,,,,,,,,,,,,,,,,,,,,,,,,,,14597796.0,,,,,,,,
16689,1901,-2.577,-0.041,,,,,,,,,,1.539,104.138,,,,,,,,,,,,,,,,,,,,,,,,,,14775074.0,,,,,,,,
16690,1902,-20.635,-0.317,,,,,,,,,,1.221,81.685,,,,,,,,,,,,,,,,,,,,,,,,,,14949459.0,,,,,,,,
16691,1903,40.0,0.488,,,,,,,,,,1.71,112.988,,,,,,,,,,,,,,,,,,,,,,,,,,15130877.0,,,,,,,,
16692,1904,43.81,0.749,,,,,,,,,,2.459,160.54,,,,,,,,,,,,,,,,,,,,,,,,,,15314431.0,,,,,,,,
16693,1905,-1.324,-0.033,,,,,,,,,,2.426,156.516,,,,,,,,,,,,,,,,,,,,,,,,,,15500144.0,,,,,,,,
16694,1906,5.705,0.138,,,,,,,,,,2.564,163.463,,,,,,,,,,,,,,,,,,,,,,,,,,15688040.0,,,,,,,,
16695,1907,1.587,0.041,,,,,,,,,,2.605,164.146,,,,,,,,,,,,,,,,,,,,,,,,,,15870738.0,,,,,,,,
16696,1908,8.437,0.22,,,,,,,,,,2.825,175.866,,,,,,,,,,,,,,,,,,,,,,,,,,16062986.0,,,,,,,,
16697,1909,10.663,0.301,,,,,,,,,,3.126,192.29,,,,,,,,,,,,,,,,,,,,,,,,,,16257490.0,,,,,,,,
16698,1910,29.948,0.936,,,,,,,,,,4.062,246.888,,,,,,,,,,,,,,,,,,,,,,,,,,16454277.0,,,,,,,,
16699,1911,-12.425,-0.505,,,,,,,,,,3.558,213.656,,,,,,,,,,,,,,,,,,,,,,,,,,16651151.0,,,,,,,,
