,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16809,1965,,,,,,,,,,,5.491,,,,,,,,,,,,0.956,,,,,,,,,,43.994,,,,,,,51.768,,,,,,,
16810,1966,,,,,,9.956,5.154,,,,5.196,,,,,,,,,,,,1.716,,,,,,,,,,47.423,,,,,,,56.922,,,,,,,
16811,1967,,,,,,1.566,0.891,,,,2.452,,,,,,,,,,,,1.766,,,,,,,,,,48.223,,,,,,,57.813,,,,,,,
16812,1968,,,,,,0.943,0.545,,,,0.424,,,,,,,,,,,,1.434,,,,,,,,,,48.126,,,,,,,58.358,,,,,,,
16813,1969,,,,,,12.202,7.121,,,,0.519,,,,,,,,,,,,0.624,,,,,,,,,,53.25,,,,,,,65.479,,,,,,,
16814,1970,,,,,,12.298,8.053,,,,0.927,,,,,,,,,,,,1.055,,,,,,,,,,58.641,,,,,,,73.532,,,,,,,
16815,1971,,,,,,28.909,21.257,,,,1.808,,,,,,,,,,,,1.952,,,,,,,,,,77.689,,,,,,,94.789,,,,,,,
16816,1972,,,,,,8.022,7.604,,,,2.358,,,,,,,,,,,,2.617,,,,,,,,,,82.931,,,,,,,102.393,,,,,,,
16817,1973,,,,,,12.233,12.526,,,,2.399,,,,,,,,,,,,4.009,,,,,,,,,,91.557,,,,,,,114.919,,,,,,,
16818,1974,,,,,,2.763,3.175,,,,1.95,,,,,,,,,,,,3.743,,,,,,,,,,94.193,,,,,,,118.094,,,,,,,
16819,1975,,,,,,7.766,9.171,,,,2.121,,,,,,,,,,,,3.354,,,,,,,,,,102.455,,,,,,,127.265,,,,,,,
16820,1976,,,,,,21.781,27.72,,,,1.958,,,,,,,,,,,,6.227,,,,,,,,,,125.54,,,,,,,154.984,,,,,,,
16821,1977,,,,,,8.314,12.885,,,,2.056,,,,,,,,,,,,8.199,,,,,,,,,,135.464,,,,,,,167.869,,,,,,,
16822,1978,,,,,,5.4,9.065,,,,1.858,,,,,,,,,,,,9.932,,,,,,,,,,145.465,,,,,,,176.935,,,,,,,
16823,1979,,,,,,16.155,28.584,,,,1.826,,,,,,,,,,,,13.091,,,,,,,,,,164.067,,,,,,,205.518,,,,,,,
16824,1980,,,,,,6.549,13.46,,,,1.62,,,,,,,,,,,,15.822,,,,,,,,,,174.541,,,,,,,218.978,,,,,,,
16825,1981,,,,,,4.466,9.779,,,,1.483,,,,,,,,,,,,23.304,,,,,,,,,,176.948,,,,,,,228.757,,,,,,,
16826,1982,,,,,,4.349,9.95,,,,0.938,,,,,,,,,,,,24.277,,,,,,,,,,187.158,,,,,,,238.706,,,,,,,
16827,1983,,,,,,-7.835,-18.702,,,,0.914,,,,,,,,,,,,27.522,,,,,,,,,,175.522,,,,,,,220.005,,,,,,,
16828,1984,,,,,,-8.064,-17.74,,,,1.044,,,,,,,,,,,,26.477,,,,,,,,,,160.369,,,,,,,202.265,,,,,,,
16829,1985,,,,,,7.018,14.195,,,,1.251,,,18.222,8.213,0.0,0.042,8.255,0.0,0.0,,,25.08,,,45.072,,45.302,8.255,,0.0,,167.198,,,,0.23,,,216.46,,45.302,0.0,,,0.0,
16830,1986,,,,,,-1.236,-2.674,,,,1.554,,,20.252,9.969,0.0,0.042,10.011,0.0,0.0,,,29.251,,,49.226,,49.433,10.011,,0.0,,155.173,,,,0.207,,,213.785,,49.433,0.0,,,0.0,
16831,1987,,,,,,4.532,9.689,,,,1.468,,,21.439,9.767,0.0,0.043,9.81,0.0,0.0,,,28.969,,,45.558,,45.758,9.81,,0.0,,165.787,,,,0.201,,,223.474,,45.758,0.0,,,0.0,
16832,1988,,,,,,6.784,15.16,,,,0.982,,,22.192,10.821,0.0,0.043,10.864,0.0,0.0,,,34.9,,,48.76,,48.954,10.864,,0.0,,172.575,,,,0.194,,,238.634,,48.954,0.0,,,0.0,
16833,1989,,,,,,5.306,12.662,,,,1.037,,,23.779,11.741,0.0,0.043,11.784,0.0,0.0,,,40.406,,,49.376,,49.557,11.784,,0.0,,177.12,,,,0.181,,,251.296,,49.557,0.0,,,0.0,
16834,1990,,,,,,-2.908,-7.309,,,,1.053,,,24.422,11.917,0.0,0.05,11.967,0.0,0.0,,,38.454,,,48.796,,49.0,11.967,,0.0,,171.239,,,,0.204,,,243.988,,49.0,0.0,,,0.0,
16835,1991,,,,,,6.674,16.283,,,,1.04,,,25.496,13.887,0.0,0.064,13.951,0.0,0.0,,,37.499,,,54.467,,54.718,13.951,,0.0,,182.978,,,,0.251,,,260.271,,54.718,0.0,,,0.0,
16836,1992,,,,,,8.225,21.407,,,,0.834,,,26.711,14.273,0.0,0.075,14.348,0.0,0.0,,,40.568,,,53.435,,53.716,14.348,,0.0,,200.421,,,,0.281,,,281.678,,53.716,0.0,,,0.0,
16837,1993,,,,,,0.58,1.635,,,,0.558,,,26.614,13.667,0.0,0.085,13.754,0.0,0.002,,,46.336,,,51.355,,51.682,13.754,,0.0,,198.213,,,,0.319,,,283.313,,51.682,0.0,,,0.008,
16838,1994,,,,,,-1.407,-3.986,,,,0.665,,,27.632,13.468,0.0,0.097,13.57,0.0,0.005,,,42.398,,,48.74,,49.111,13.57,,0.0,,198.569,,,,0.351,,,279.327,,49.111,0.0,,,0.02,
16839,1995,,,,,,2.819,7.875,,,,0.7,,,28.638,14.168,0.0,0.114,14.288,0.0,0.006,,,46.87,,,49.472,,49.893,14.288,,0.0,,199.943,,,,0.398,,,287.202,,49.893,0.0,,,0.022,
16840,1996,,,,,,8.26,23.723,,,,0.646,,,30.08,14.688,0.0,0.127,14.822,0.0,0.007,,,57.904,,,48.829,,49.274,14.822,,0.0,,211.203,,,,0.422,,,310.925,,49.274,0.0,,,0.024,
16841,1997,,,,,,-0.459,-1.427,,,,0.637,,,31.081,15.026,0.0,0.128,15.162,0.0,0.007,,,56.299,,,48.347,,48.782,15.162,,0.0,,210.445,,,,0.412,,,309.498,,48.782,0.0,,,0.023,
16842,1998,,,,,,2.073,6.417,,,,0.681,,,28.925,11.908,0.0,0.133,12.049,0.0,0.008,,,68.784,,,41.17,,41.656,12.049,,0.0,,212.98,,,,0.46,,,315.915,,41.656,0.0,,,0.026,
16843,1999,,,,,,0.285,0.901,,,,0.671,,,31.777,13.961,0.0,0.138,14.106,0.0,0.008,,,50.443,,,43.933,,44.392,14.106,,0.0,,226.517,,,,0.434,,,316.816,,44.392,0.0,,,0.025,
16844,2000,,,,,,6.845,21.685,,,,0.627,,,31.763,14.957,0.0,0.155,15.122,0.002,0.008,,,72.872,,,47.089,,47.609,15.122,,0.0,,222.996,,,,0.488,,,338.501,,47.609,0.008,,,0.025,
16845,2001,,,,,,8.414,28.48,,,,0.549,,,33.758,15.35,0.0,0.165,15.525,0.003,0.007,,,92.359,,,45.471,,45.989,15.525,,0.0,,231.229,,,,0.489,,,366.982,,45.989,0.009,,,0.02,
16846,2002,,,,,,9.157,33.605,,,,0.852,,,40.073,16.436,0.0,0.175,16.621,0.004,0.007,,,110.985,,,41.015,,41.478,16.621,,0.0,,243.175,,,,0.437,,,400.586,,41.478,0.009,,,0.017,
16847,2003,,,,,,-0.99,-3.964,,,,0.727,,,37.342,14.769,0.0,0.163,14.944,0.005,0.007,,,115.673,,,39.551,,40.021,14.944,,0.0,,239.508,,,,0.437,,,396.622,,40.021,0.014,,,0.02,
16848,2004,,,,,,3.419,13.561,,,,1.6,,,42.288,16.825,0.0,0.257,17.097,0.007,0.008,,,111.367,,,39.787,,40.431,17.097,,0.0,,250.934,,,,0.608,,,410.183,,40.431,0.016,,,0.02,
16849,2005,,,,,,3.204,13.141,,,,1.727,,,42.755,16.432,0.0,0.269,16.718,0.008,0.009,,,114.808,,,38.434,,39.102,16.718,,0.0,,261.819,,,,0.629,,,423.324,,39.102,0.019,,,0.02,
16850,2006,,,,,,-8.471,-35.859,,,,1.887,,,44.13,14.913,0.0,0.276,15.208,0.01,0.01,,,100.688,,,33.793,,34.462,15.208,,0.0,,244.239,,,,0.625,,,387.465,,34.462,0.022,,,0.022,
16851,2007,,,,,,6.843,26.512,,,,2.194,,,43.092,13.349,0.0,0.272,13.643,0.012,0.009,,,125.053,,,30.979,,31.66,13.643,,0.0,,250.491,,,,0.631,,,413.977,,31.66,0.029,,,0.021,
