,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16864,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,3885.178,,,,,,,,,,,,,,,,,151000.0,0.587,,,,,,,
16865,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3643.863,,,,,,,,,,,,,,,,,161000.0,0.587,,,,,,,
16866,1982,,0.0,,,,50.0,0.293,,,,,0.0,0.0,,,,,,,,,5238.053,,,,,,,,,,,,,,,,,168000.0,0.88,,,,,,,
16867,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,5086.664,,,,,,,,,,,,,,,,,173000.0,0.88,,,,,,,
16868,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4971.711,,,,,,,,,,,,,,,,,177000.0,0.88,,,,,,,
16869,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4835.126,,,,,,,,,,,,,,,,,182000.0,0.88,,,,,,,
16870,1986,,0.0,,,,-10.231,-0.09,,,,,0.0,0.0,,,,,,,,,4179.693,,,,,,,,,,,,,,,,,189000.0,0.79,,,,,,,
16871,1987,,0.0,,,,1.669,0.013,,,,,0.0,0.0,,,,,,,,,4118.706,,,,,,,,,,,,,,,,,195000.0,0.803,,,,,,,
16872,1988,,0.0,,,,0.238,0.002,,,,,0.0,0.0,,,,,,,,,3965.812,,,,,,,,,,,,,,,,,203000.0,0.805,,,,,,,
16873,1989,,0.0,,,,-0.238,-0.002,,,,,0.0,0.0,,,,,,,,,3824.512,,,,,,,,,,,,,,,,,210000.0,0.803,,,,,,,
16874,1990,,0.0,,,,7.765,0.062,,,,,0.0,0.0,,,,,,,,,3988.54,,,,,,,,,,,,,,,,,217000.0,0.866,,,,,,,
16875,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3863.898,,,,,,,,,,,,,,,,,224000.0,0.866,,,,,,,
16876,1992,,0.0,,,,0.241,0.002,,,,,0.0,0.0,,,,,,,,,3739.64,,,,,,,,,,,,,,,,,232000.0,0.868,,,,,,,
16877,1993,,0.0,,,,-4.685,-0.041,,,,,0.0,0.0,,,,,,,,,3460.027,,,,,,,,,,,,,,,,,239000.0,0.827,,,,,,,
16878,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3347.961,,,,,,,,,,,,,,,,,247000.0,0.827,,,,,,,
16879,1995,,0.0,,,,12.804,0.106,,,,,0.0,0.0,,,,,,,,,3643.85,,,,,,,,,,,,,,,,,256000.0,0.933,,,,,,,
16880,1996,,0.0,,,,0.243,0.002,,,,,0.0,0.0,,,,,,,,,3542.02,,,,,,,,,,,,,,,,,264000.0,0.935,,,,,,,
16881,1997,,0.0,,,,-0.243,-0.002,,,,,0.0,0.0,,,,,,,,,3416.944,,,,,,,,,,,,,,,,,273000.0,0.933,,,,,,,
16882,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3296.204,,,,,,,,,,,,,,,,,283000.0,0.933,,,,,,,
16883,1999,,0.0,,,,0.001,0.0,,,,,0.0,0.0,,,,,,,,,3140.867,,,,,,,,,,,,,,,,,297000.0,0.933,,,,,,,
16884,2000,,0.0,,,,14.688,0.137,,,,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,,3407.183,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,254.777,314000.0,1.07,0.0,0.0,0.0,0.0,,0.0,0.0
