,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
17025,1970,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6193000.0,,,,,,10107551744.0,,
17026,1971,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6290000.0,,,,,,11869887488.0,,
17027,1972,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6391000.0,,,,,,12814109696.0,,
17028,1973,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6501000.0,,,,,,14394420224.0,,
17029,1974,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6630000.0,,,,,,15223064576.0,,
17030,1975,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6785000.0,,,,,,16383710208.0,,
17031,1976,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6968000.0,,,,,,18940377088.0,,
17032,1977,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7179000.0,,,,,,21035212800.0,,
17033,1978,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7414000.0,,,,,,22820880384.0,,
17034,1979,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7670000.0,,,,,,24081813504.0,,
