,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
17075,1900,,,,,,,,,,,,1.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17076,1901,8.086,0.156,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17077,1902,-6.811,-0.142,,,,,,,,,,1.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17078,1903,8.833,0.172,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17079,1904,6.437,0.136,,,,,,,,,,2.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17080,1905,8.573,0.193,,,,,,,,,,2.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17081,1906,20.0,0.49,,,,,,,,,,2.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17082,1907,1.449,0.043,,,,,,,,,,2.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17083,1908,7.717,0.23,,,,,,,,,,3.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17084,1909,2.267,0.073,,,,,,,,,,3.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17085,1910,-1.617,-0.053,,,,,,,,,,3.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17086,1911,7.913,0.256,,,,,,,,,,3.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17087,1912,1.2,0.042,,,,,,,,,,3.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17088,1913,176.915,6.244,,,,,,,,,,9.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17089,1914,-100.0,-9.773,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17090,1915,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17091,1916,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17092,1917,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17093,1918,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17094,1919,,6.955,,,,,,,,,,6.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17095,1920,34.009,2.365,,,,,,,,,,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17096,1921,6.562,0.612,,,,,,,,,,9.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17097,1922,20.205,2.007,,,,,,,,,,11.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17098,1923,11.735,1.401,,,,,,,,,,13.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17099,1924,1.549,0.207,,,,,,,,,,13.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17100,1925,0.987,0.134,,,,,,,,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17101,1926,0.896,0.123,,,,,,,,,,13.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17102,1927,15.585,2.151,,,,,,,,,,15.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17103,1928,7.416,1.183,,,,,,,,,,17.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17104,1929,12.212,2.093,,,,,,,,,,19.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17105,1930,-7.051,-1.356,,,,,,,,,,17.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17106,1931,-6.47,-1.156,,,,,,,,,,16.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17107,1932,-7.963,-1.331,,,,,,,,,,15.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17108,1933,-5.848,-0.9,,,,,,,,,,14.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109,1934,3.168,0.459,,,,,,,,,,14.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17110,1935,1.731,0.259,,,,,,,,,,15.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17111,1936,2.969,0.451,,,,,,,,,,15.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17112,1937,10.225,1.601,,,,,,,,,,17.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17113,1938,13.82,2.385,,,,,,,,,,19.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17114,1939,5.207,1.023,,,,,,,,,,20.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17115,1940,4.903,1.013,,,,,,,,,,21.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17116,1941,-100.0,-21.677,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17117,1942,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17118,1943,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17119,1944,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17120,1945,,12.078,,,,,,,,,,12.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17121,1946,99.687,12.04,,,,,,,,,,24.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17122,1947,36.985,8.92,,,,,,,,,,33.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17123,1948,12.581,4.156,,,,,,,,,,37.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17124,1949,14.676,5.458,,,,,,,,,,42.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17125,1950,4.524,1.93,,,,,,,,,,44.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17126,1951,-7.133,-3.18,,,,,,,,,,41.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17127,1952,0.593,0.246,,,,,,,,,,41.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17128,1953,-7.174,-2.988,,,,,,,,,,38.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17129,1954,19.974,7.722,,,,,,,,,,46.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17130,1955,11.76,5.454,,,,,,,,,,51.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17131,1956,12.289,6.37,,,,,,,,,,58.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17132,1957,4.739,2.759,,,,,,,,,,60.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17133,1958,4.918,2.998,,,,,,,,,,63.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17134,1959,10.912,6.98,,,,,,,,,,70.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17135,1960,7.017,4.978,,,,,,,,,,75.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17136,1961,5.76,4.373,,,,,,,,,,80.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17137,1962,1.845,1.482,,,,,,,,,,81.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17138,1963,10.902,8.915,,,,,,,,,,90.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17139,1964,7.122,6.459,,,,,,,,,,97.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17140,1965,1.086,1.055,,,,,,,,,,98.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17141,1966,-2.261,-2.22,,,,,,,,,,95.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17142,1967,-10.082,-9.677,,,,,,,,,,86.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17143,1968,0.646,0.558,,,,,,,,,,86.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17144,1969,-1.497,-1.301,,,,,,,,,,85.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17145,1970,6.883,5.89,,,,,,,,,,91.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17146,1971,8.757,8.009,,,,,,,,,,99.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17147,1972,-0.281,-0.279,,,,,,,,,,99.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17148,1973,4.686,4.648,,,,,,,,,,103.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17149,1974,3.509,3.643,,,,,,,,,,107.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17150,1975,5.688,6.113,,,,,,,,,,113.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17151,1976,3.576,4.062,,,,,,,,,,117.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17152,1977,0.873,1.027,,,,,,,,,,118.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17153,1978,6.27,7.441,,,,,,,,,,126.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17154,1979,5.658,7.136,,,,,,,,,,133.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17155,1980,9.932,13.235,,,,,,,,,,146.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.67,,,,,,,
17156,1981,25.719,37.675,,,,4.287,20.734,,,,,184.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.404,,,,,,,
17157,1982,5.279,9.722,,,,2.225,11.225,,,,,193.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.629,,,,,,,
17158,1983,8.649,16.769,,,,2.407,12.412,,,,,210.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.041,,,,,,,
