,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
17312,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1911594.0,,,,,,,,
17313,1901,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1925066.0,,,,,,,,
17314,1902,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1938469.0,,,,,,,,
17315,1903,,0.35,,,,,,,,,,0.35,179.324,,,,,,,,,,,,,,,,,,,,,,,,,,1952131.0,,,,,,,,
17316,1904,25.581,0.09,,,,,,,,,,0.44,223.621,,,,,,,,,,,,,,,,,,,,,,,,,,1965889.0,,,,,,,,
17317,1905,62.963,0.277,,,,,,,,,,0.716,361.869,,,,,,,,,,,,,,,,,,,,,,,,,,1979744.0,,,,,,,,
17318,1906,7.955,0.057,,,,,,,,,,0.773,387.92,,,,,,,,,,,,,,,,,,,,,,,,,,1993697.0,,,,,,,,
17319,1907,10.526,0.081,,,,,,,,,,0.855,425.804,,,,,,,,,,,,,,,,,,,,,,,,,,2007509.0,,,,,,,,
17320,1908,41.905,0.358,,,,,,,,,,1.213,600.008,,,,,,,,,,,,,,,,,,,,,,,,,,2021657.0,,,,,,,,
17321,1909,4.027,0.049,,,,,,,,,,1.262,619.801,,,,,,,,,,,,,,,,,,,,,,,,,,2035905.0,,,,,,,,
17322,1910,5.161,0.065,,,,,,,,,,1.327,647.229,,,,,,,,,,,,,,,,,,,,,,,,,,2050253.0,,,,,,,,
17323,1911,18.405,0.244,,,,,,,,,,1.571,761.014,,,,,,,,,,,,,,,,,,,,,,,,,,2064633.0,,,,,,,,
17324,1912,1.554,0.024,,,,,,,,,,1.596,767.435,,,,,,,,,,,,,,,,,,,,,,,,,,2079183.0,,,,,,,,
17325,1913,12.245,0.195,,,,,,,,,,1.791,855.378,,,,,,,,,,,,,,,,,,,,,,,,,,2093837.0,,,,,,,,
17326,1914,44.091,0.79,,,,,,,,,,2.581,1223.896,,,,,,,,,,,,,,,,,,,,,,,,,,2108593.0,,,,,,,,
17327,1915,17.35,0.448,,,,,,,,,,3.028,1426.193,,,,,,,,,,,,,,,,,,,,,,,,,,2123454.0,,,,,,,,
17328,1916,19.892,0.602,,,,,,,,,,3.631,1697.932,,,,,,,,,,,,,,,,,,,,,,,,,,2138419.0,,,,,,,,
17329,1917,11.659,0.423,,,,,,,,,,4.054,1882.629,,,,,,,,,,,,,,,,,,,,,,,,,,2153489.0,,,,,,,,
17330,1918,-10.643,-0.431,,,,,,,,,,3.623,1670.236,,,,,,,,,,,,,,,,,,,,,,,,,,2169003.0,,,,,,,,
17331,1919,4.045,0.147,,,,,,,,,,3.769,1725.434,,,,,,,,,,,,,,,,,,,,,,,,,,2184544.0,,,,,,,,
17332,1920,13.175,0.497,,,,,,,,,,4.266,1938.866,,,,,,,,,,,,,,,,,,,,,,,,,,2200197.0,,,,,,,,
17333,1921,-0.382,-0.016,,,,,,,,,,4.25,1917.726,,,,,,,,,,,,,,,,,,,,,,,,,,2215961.0,,,,,,,,
17334,1922,-10.345,-0.44,,,,,,,,,,3.81,1707.109,,,,,,,,,,,,,,,,,,,,,,,,,,2231838.0,,,,,,,,
17335,1923,19.658,0.749,,,,,,,,,,4.559,2028.163,,,,,,,,,,,,,,,,,,,,,,,,,,2247829.0,,,,,,,,
17336,1924,5.536,0.252,,,,,,,,,,4.811,2125.209,,,,,,,,,,,,,,,,,,,,,,,,,,2263935.0,,,,,,,,
